Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, ArbuMenz, eco1, 76636, 0.99, 1, 0.03, 0.02, 201.94, 67, 307, 
1, ArbuMenz, eco2, 193005, 0.98, 1, 0.32, 0.19, 181.67, 57, 312, 
1, ArbuMenz, eco3, 118801, 0.96, 1, 0.43, 0.26, 151.54, 72, 305, 
1, Arctosta, eco1, 73185, 1, 1, 0.38, 0.23, 201.78, 67, 307, 
1, Arctosta, eco2, 169889, 1, 1, 0.52, 0.31, 181.61, 57, 312, 
1, Arctosta, eco3, 121784, 1, 1, 0.59, 0.35, 149.93, 72, 305, 
1, CaloDecu, eco1, 178642, 0.94, 1, 0, 0, 202.84, 67, 307, 
1, CaloDecu, eco2, 379813, 0.96, 1, 0.07, 0.04, 181.58, 57, 312, 
1, CaloDecu, eco3, 247537, 0.99, 1, 0.21, 0.13, 153.34, 72, 305, 
1, Ceanothu, eco1, 76856, 1, 1, 0.38, 0.23, 201.97, 67, 307, 
1, Ceanothu, eco2, 192898, 1, 1, 0.52, 0.31, 181.66, 57, 312, 
1, Ceanothu, eco3, 118219, 1, 1, 0.58, 0.35, 151.58, 72, 305, 
1, ChryChry, eco1, 75040, 0.91, 1, 0, 0, 202.25, 67, 307, 
1, ChryChry, eco2, 201405, 0.92, 1, 0.07, 0.04, 181.47, 57, 312, 
1, ChryChry, eco3, 122535, 0.97, 1, 0.21, 0.12, 153.71, 72, 305, 
1, Frangula, eco1, 74829, 1, 1, 0.02, 0.01, 202.29, 67, 307, 
1, Frangula, eco2, 201473, 1, 1, 0.33, 0.2, 181.46, 57, 312, 
1, Frangula, eco3, 122587, 0.98, 1, 0.41, 0.25, 153.73, 72, 305, 
1, Garrya, eco1, 178752, 0.99, 1, 0.24, 0.15, 202.84, 67, 307, 
1, Garrya, eco2, 380220, 1, 1, 0.46, 0.27, 181.59, 57, 312, 
1, Garrya, eco3, 248350, 1, 1, 0.52, 0.31, 153.36, 72, 305, 
1, GaulShal, eco1, 178788, 0.99, 1, 0.02, 0.01, 202.84, 67, 307, 
1, GaulShal, eco2, 379853, 0.98, 1, 0.32, 0.19, 181.58, 57, 312, 
1, GaulShal, eco3, 248044, 0.96, 1, 0.42, 0.25, 153.36, 72, 305, 
1, MahoNerv, eco1, 178785, 1, 1, 0.24, 0.15, 202.86, 67, 307, 
1, MahoNerv, eco2, 379654, 1, 1, 0.46, 0.27, 181.6, 57, 312, 
1, MahoNerv, eco3, 248010, 0.98, 1, 0.52, 0.31, 153.3, 72, 305, 
1, NothDens, eco1, 178579, 0.9, 1, 0.24, 0.15, 202.84, 67, 307, 
1, NothDens, eco2, 379946, 0.92, 1, 0.46, 0.27, 181.6, 57, 312, 
1, NothDens, eco3, 248094, 0.98, 1, 0.52, 0.31, 153.33, 72, 305, 
1, PinuJeff, eco1, 76552, 0.9, 1, 0.25, 0.15, 201.96, 67, 307, 
1, PinuJeff, eco2, 193210, 0.89, 1, 0.46, 0.27, 181.63, 57, 312, 
1, PinuJeff, eco3, 118041, 0.85, 1, 0.53, 0.32, 151.55, 72, 305, 
1, PinuLamb, eco1, 74915, 0.99, 1, 0, 0, 202.29, 67, 307, 
1, PinuLamb, eco2, 201437, 1, 1, 0.07, 0.04, 181.48, 57, 312, 
1, PinuLamb, eco3, 122574, 1, 1, 0.21, 0.12, 153.72, 72, 305, 
1, PinuMont, eco1, 76865, 0, 1, 0.03, 0, 201.94, 67, 307, 
1, PinuMont, eco2, 193133, 0.04, 1, 0.32, 0.02, 181.64, 57, 312, 
1, PinuMont, eco3, 118790, 0.25, 1, 0.43, 0.15, 151.53, 72, 305, 
1, PseuMenz, eco1, 74855, 0.99, 1, 0, 0, 202.28, 67, 307, 
1, PseuMenz, eco2, 201596, 0.99, 1, 0.07, 0.04, 181.46, 57, 312, 
1, PseuMenz, eco3, 122978, 0.98, 1, 0.21, 0.12, 153.73, 72, 305, 
1, Quercus, eco1, 76784, 0.98, 1, 0.38, 0.23, 201.91, 67, 307, 
1, Quercus, eco2, 192770, 0.97, 1, 0.52, 0.31, 181.66, 57, 312, 
1, Quercus, eco3, 118549, 0.95, 1, 0.58, 0.35, 151.57, 72, 305, 
1, Rhododen, eco1, 178935, 0.42, 1, 0.02, 0.01, 202.84, 67, 307, 
1, Rhododen, eco2, 379030, 0.48, 1, 0.32, 0.19, 181.61, 57, 312, 
1, Rhododen, eco3, 248019, 0.64, 1, 0.42, 0.25, 153.37, 72, 305, 
1, Rubus, eco1, 74921, 1, 1, 0.25, 0.15, 202.25, 67, 307, 
1, Rubus, eco2, 201276, 1, 1, 0.46, 0.27, 181.47, 57, 312, 
1, Rubus, eco3, 122434, 0.99, 1, 0.52, 0.31, 153.74, 72, 305, 
1, Vacciniu, eco1, 179148, 0.92, 1, 0.24, 0.15, 202.85, 67, 307, 
1, Vacciniu, eco2, 380094, 0.91, 1, 0.46, 0.27, 181.55, 57, 312, 
1, Vacciniu, eco3, 248279, 0.88, 1, 0.52, 0.31, 153.35, 72, 305, 
1, WhipMode, eco1, 178657, 0.99, 1, 0.24, 0.15, 202.86, 67, 307, 
1, WhipMode, eco2, 379067, 0.98, 1, 0.46, 0.27, 181.58, 57, 312, 
1, WhipMode, eco3, 247820, 0.96, 1, 0.52, 0.31, 153.35, 72, 305, 
