Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 1, 457557, 0, 3106.7, 19757.1, 0, 0, 0, 0, 4, 263, 0, 0, 0, 9285.9, 1608, 100, 517.4, 84.2, 14.9, 0, 0, 31.1, 62.1, 1833, 1180.6, 0, 0, 23.2, 8.8, 0.5, 2.6, 0.4, 1.5, 0, 0, 3.1, 6.2, 73.3, 139.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227.9, 0, 0, 
0, eco2, 2, 903912, 0, 832.9, 19056.5, 0, 0, 0, 0, 4, 99.3, 0, 0, 0, 8956.6, 1594.1, 121.7, 548.4, 102.4, 18.1, 0, 0, 8.3, 16.7, 491.4, 316.5, 0, 0, 22, 8.2, 0.6, 2.7, 0.5, 1.8, 0, 0, 0.8, 1.7, 19.7, 37.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65.8, 0, 0, 
0, eco3, 3, 540517, 0, 1373.4, 15716.6, 0, 0, 0, 0, 4, 132.9, 0, 0, 0, 7386.8, 1327.1, 156.4, 463.4, 131.6, 23.2, 0, 0, 13.7, 27.5, 810.3, 521.9, 0, 0, 18.1, 6.6, 0.8, 2.3, 0.7, 2.3, 0, 0, 1.4, 2.7, 32.4, 61.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105.1, 0, 0, 
1, eco1, 1, 457557, -517.1, 3165.8, 15987.4, 506.8, 147, 10.3, 261.2, 0.81, 259.2, 2.8, 91, 63.2, 7420.3, 1297.8, 1460.2, 612.3, 13.6, 12.8, 2.8, 2.7, 105.1, 96.6, 1783.8, 1180.3, 2, 1.2, 18.5, 7.1, 3.9, 3.1, 0.1, 1, 0, 0.1, 2.8, 8.8, 70.6, 139.3, 0.1, 0.1, 0, 0, 0.3, 0.3, -0.1, 0, 0.05, 0.07, 0.11, 35.9, 0.9, 4.1, 0.1, 223.4, 0.03, 0, 
1, eco2, 2, 903912, -638.4, 929.1, 16784.1, 578.8, 168.2, 13.2, 296.8, 0.62, 98.2, 1.3, 102.6, 71.2, 7780.7, 1398, 1150.3, 632.2, 15, 16.7, 3.4, 3.4, 93, 30.5, 489.2, 316.4, 2.2, 1.4, 19, 7.2, 3.2, 3.1, 0.1, 1.3, 0, 0.1, 1.3, 2.4, 18.9, 37.3, 0.2, 0.2, 0, 0, 0.1, 0.1, 0.1, 0, 0.05, 0.05, 0.14, 19.7, 0.3, 4, 0.1, 62, 0.02, 0, 
1, eco3, 3, 540517, -647.6, 1454.9, 15199, 591.8, 171.8, 14.5, 271.1, 0.53, 133.3, 2, 103.8, 72.3, 7032.8, 1281.8, 803.9, 519.5, 18.2, 21.7, 3.7, 3.8, 100.8, 45.1, 787.3, 521.8, 2.3, 1.4, 17.2, 6.3, 2.4, 2.6, 0.1, 1.8, 0, 0.1, 1.9, 3.9, 31.1, 61.6, 0.2, 0.3, 0, 0, 0.2, 0.2, 0.1, 0, 0.05, 0.12, 0.18, 4, 0.1, 4.5, 0.2, 101, 0.02, 0, 
2, eco1, 1, 457557, -349.9, 3244.4, 14564.9, 410.8, 117.2, 28.4, 234.7, 0.65, 259.3, 3.4, 136.5, 95.1, 6707.4, 1179.1, 2012.9, 655.2, 11.9, 20, 9.6, 9.8, 178.8, 139.5, 1746, 1180.1, 2.9, 1.8, 16.8, 6.4, 5.3, 3.3, 0.1, 1, 0, 0.4, 2.8, 11.3, 67.5, 139.2, 0, 0.1, 0, 0, 0.3, 0.5, 0.3, 0, 0.05, 0.13, 0.09, 27.4, 0.4, 1.6, 0.3, 222.9, 0.01, 0, 
2, eco2, 2, 903912, -476.4, 1025.7, 16278.4, 470.6, 134.7, 33.1, 281.6, 0.49, 100.7, 1.6, 160.4, 111.7, 7484.5, 1347.6, 1496.2, 672.4, 13, 23.5, 10.2, 10.7, 155.8, 52.1, 501.4, 316.4, 3.4, 2.2, 18.3, 6.9, 4, 3.3, 0.1, 1.2, 0.1, 0.4, 1.6, 3.2, 18.1, 37.3, 0, 0.1, 0, 0, 0.2, 0.2, 0.1, 0, 0.05, 0.09, 0.1, 15.5, 0.1, 0.8, 0.3, 62.5, 0.01, 0, 
2, eco3, 3, 540517, -490.9, 1504, 15440.7, 465, 133.1, 33.7, 265.1, 0.34, 136, 2.2, 164.4, 114.7, 7085.1, 1293.6, 1013.9, 552.8, 13.4, 27.2, 10.2, 10.9, 141.3, 68.6, 772.4, 521.6, 3.5, 2.3, 17.3, 6.4, 3, 2.7, 0.1, 1.5, 0.1, 0.4, 2.3, 4.9, 29.6, 61.5, 0, 0.2, 0, 0, 0.3, 0.3, 0.3, 0, 0.05, 0.22, 0.11, 1.7, 0, 1.4, 0.4, 100.7, 0.01, 0, 
3, eco1, 1, 457557, -325.5, 3345.9, 13587.2, 415.8, 118.7, 34.7, 220.7, 0.62, 259.9, 3.6, 174.3, 121.4, 6206.1, 1096, 2380.6, 683.4, 16.2, 27.4, 15.5, 16.2, 257.6, 183.4, 1725, 1179.9, 3.6, 2.2, 15.6, 5.9, 6.2, 3.4, 0.1, 1, 0.1, 0.6, 3, 13.7, 64.7, 139.2, 0, 0, 0, 0.1, 0.3, 0.7, 0.2, 0, 0.05, 0.18, 0.08, 26.3, 0.3, 1.5, 0.3, 223, 0.01, 0, 
3, eco2, 2, 903912, -457.1, 1142, 15501.9, 476, 136.3, 41.1, 270.7, 0.42, 102.9, 1.7, 205.8, 143.4, 7070.7, 1277.1, 1879.9, 708.2, 18.8, 31.2, 17.1, 18, 221, 77.1, 527.7, 316.3, 4.4, 2.8, 17.3, 6.5, 5, 3.5, 0.1, 1.2, 0.1, 0.7, 2.1, 4.1, 17.4, 37.3, 0, 0, 0, 0.1, 0.2, 0.2, 0, 0, 0.05, 0.17, 0.09, 25.2, 0.2, 0.7, 0.4, 63.4, 0.01, 0, 
3, eco3, 3, 540517, -526.8, 1560.9, 15818.1, 495.5, 142.1, 43.8, 271.3, 0.29, 139.3, 2, 221.6, 154.6, 7202.3, 1317.2, 1191.9, 582, 20.2, 35.5, 16.8, 18.2, 178, 91.9, 769.5, 521.5, 4.7, 3.1, 17.6, 6.5, 3.4, 2.9, 0.1, 1.5, 0.1, 0.7, 2.6, 5.8, 28.5, 61.5, 0, 0, 0, 0.1, 0.3, 0.3, 0.3, 0, 0.05, 0.34, 0.09, 0.7, 0, 1.1, 0.4, 101.1, 0, 0, 
4, eco1, 1, 457557, -258.6, 3482.2, 12327.8, 406.5, 115.4, 41, 203.2, 0.66, 260, 4.1, 196.3, 136.8, 5594.3, 991.8, 2757.1, 704.5, 20.3, 34.5, 20.7, 22.2, 349.3, 231.5, 1721.8, 1179.7, 4.1, 2.5, 14.1, 5.3, 7.1, 3.5, 0.1, 1.1, 0.1, 0.8, 3.2, 16.3, 62, 139.2, 0, -0.1, 0, 0.1, 0.4, 0.9, -0.1, 0.1, 0.05, 0.13, 0.06, 35.8, 0.3, 1.5, 0.4, 223.4, 0.01, 0, 
4, eco2, 2, 903912, -453.9, 1278.6, 15463.3, 499.4, 142.2, 52, 275.3, 0.35, 106, 2, 251.3, 175.2, 7007.2, 1268, 2055.9, 726.9, 25.2, 40.1, 22.4, 24.2, 291.5, 105.8, 565.1, 316.3, 5.3, 3.5, 17.1, 6.4, 5.4, 3.6, 0.1, 1.4, 0.1, 0.9, 2.6, 5, 16.9, 37.3, 0, -0.1, 0, 0.1, 0.3, 0.2, -0.1, 0, 0.05, 0.18, 0.07, 11.5, 0.1, 0.8, 0.5, 64.7, 0.01, 0, 
4, eco3, 3, 540517, -565.7, 1639.6, 16284.4, 550.8, 157, 57.1, 288.5, 0.24, 143, 2.4, 277.5, 193.6, 7366, 1348.7, 1350.6, 606.5, 27.7, 45.3, 23.2, 25.6, 222.8, 119.6, 775.8, 521.4, 5.9, 3.9, 18, 6.6, 3.8, 3, 0.1, 1.6, 0.1, 1, 3.1, 6.7, 27.4, 61.5, 0, -0.1, 0, 0.1, 0.4, 0.4, 0.3, 0, 0.05, 0.36, 0.07, 0, 0, 1.2, 0.6, 101.8, 0, 0, 
5, eco1, 1, 457557, -170.7, 3634.7, 11402.9, 367.3, 103.6, 44.2, 186, 0.69, 260.1, 4.5, 208.4, 145.2, 5145.1, 915.3, 2958.6, 711.5, 23.3, 40.5, 23.8, 26.2, 442.5, 280.2, 1732.5, 1179.5, 4.3, 2.7, 13, 4.8, 7.6, 3.6, 0.1, 1.2, 0.1, 0.9, 3.6, 18.9, 59.4, 139.1, 0, -0.1, 0, 0.1, 0.5, 1, -0.3, 0.1, 0.05, 0.21, 0.09, 26.7, 0.2, 1.6, 0.4, 224.1, 0.01, 0, 
5, eco2, 2, 903912, -397.4, 1434.7, 15107.2, 486.1, 137.2, 59.2, 268.7, 0.31, 108.4, 2.4, 279.7, 194.9, 6811.8, 1233.5, 2243.9, 742, 30, 48.2, 27.3, 30.1, 364.5, 138.6, 615.3, 316.3, 5.9, 3.9, 16.7, 6.3, 5.8, 3.7, 0.2, 1.5, 0.1, 1.1, 3.2, 6.1, 16.4, 37.3, 0.1, -0.1, 0, 0.2, 0.4, 0.3, -0.1, 0, 0.05, 0.25, 0.06, 23.4, 0.2, 0.9, 0.6, 66.2, 0.01, 0, 
5, eco3, 3, 540517, -530.6, 1735.4, 16681.7, 544.1, 154, 67.5, 294.9, 0.22, 146.4, 2.7, 321.5, 224.3, 7510.3, 1376.2, 1497.6, 627, 34.5, 55.6, 29.1, 32.6, 272.3, 149.7, 792, 521.3, 6.8, 4.5, 18.4, 6.8, 4.1, 3.1, 0.2, 1.8, 0.1, 1.2, 3.7, 7.7, 26.3, 61.5, 0.1, -0.1, 0, 0.2, 0.4, 0.4, 0.2, 0, 0.05, 0.46, 0.07, 0.1, 0, 1.3, 0.7, 102.7, 0, 0, 
