Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, ArbuMenz, eco1, 76988, 0.99, 1, 0.01, 0.01, 178.55, 92, 299, 
1, ArbuMenz, eco2, 193807, 0.98, 1, 0.18, 0.11, 175.2, 83, 309, 
1, ArbuMenz, eco3, 117428, 0.96, 1, 0.23, 0.14, 152.19, 95, 298, 
1, Arctosta, eco1, 76311, 1, 1, 0.35, 0.21, 178.68, 92, 299, 
1, Arctosta, eco2, 163076, 1, 1, 0.46, 0.27, 175.08, 83, 309, 
1, Arctosta, eco3, 120581, 1, 1, 0.49, 0.29, 151.07, 95, 298, 
1, CaloDecu, eco1, 176624, 0.95, 1, 0, 0, 179.22, 92, 299, 
1, CaloDecu, eco2, 396060, 0.97, 1, 0.01, 0, 175.37, 83, 309, 
1, CaloDecu, eco3, 248039, 0.99, 1, 0.04, 0.02, 153.29, 95, 298, 
1, Ceanothu, eco1, 77036, 1, 1, 0.35, 0.21, 178.56, 92, 299, 
1, Ceanothu, eco2, 194148, 1, 1, 0.46, 0.27, 175.2, 83, 309, 
1, Ceanothu, eco3, 117541, 1, 1, 0.49, 0.29, 152.17, 95, 298, 
1, ChryChry, eco1, 72455, 0.92, 1, 0, 0, 178.66, 92, 299, 
1, ChryChry, eco2, 209302, 0.93, 1, 0.01, 0, 175.19, 83, 309, 
1, ChryChry, eco3, 122089, 0.97, 1, 0.03, 0.02, 153.67, 95, 298, 
1, Frangula, eco1, 72444, 1, 1, 0.01, 0.01, 178.64, 92, 299, 
1, Frangula, eco2, 208797, 0.99, 1, 0.18, 0.11, 175.21, 83, 309, 
1, Frangula, eco3, 122081, 0.98, 1, 0.22, 0.13, 153.65, 95, 298, 
1, Garrya, eco1, 176502, 1, 1, 0.18, 0.11, 179.24, 92, 299, 
1, Garrya, eco2, 395293, 1, 1, 0.37, 0.22, 175.34, 83, 309, 
1, Garrya, eco3, 247629, 0.99, 1, 0.4, 0.24, 153.28, 95, 298, 
1, GaulShal, eco1, 176454, 0.99, 1, 0.01, 0, 179.24, 92, 299, 
1, GaulShal, eco2, 396086, 0.98, 1, 0.18, 0.11, 175.35, 83, 309, 
1, GaulShal, eco3, 248000, 0.96, 1, 0.22, 0.13, 153.28, 95, 298, 
1, MahoNerv, eco1, 176146, 1, 1, 0.18, 0.11, 179.26, 92, 299, 
1, MahoNerv, eco2, 396133, 0.99, 1, 0.37, 0.22, 175.35, 83, 309, 
1, MahoNerv, eco3, 248265, 0.98, 1, 0.4, 0.24, 153.29, 95, 298, 
1, NothDens, eco1, 176540, 0.92, 1, 0.18, 0.11, 179.23, 92, 299, 
1, NothDens, eco2, 395578, 0.94, 1, 0.37, 0.22, 175.34, 83, 309, 
1, NothDens, eco3, 247424, 0.98, 1, 0.4, 0.24, 153.31, 95, 298, 
1, PinuJeff, eco1, 76844, 0.89, 1, 0.19, 0.12, 178.57, 92, 299, 
1, PinuJeff, eco2, 194005, 0.88, 1, 0.37, 0.22, 175.2, 83, 309, 
1, PinuJeff, eco3, 118061, 0.85, 1, 0.41, 0.25, 152.17, 95, 298, 
1, PinuLamb, eco1, 72287, 1, 1, 0, 0, 178.64, 92, 299, 
