Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
1, ArbuMenz, 0, 0, 18629, 102770, 
1, Arctosta, 0, 0, 17006, 126146, 
1, CaloDecu, 0, 0, 0, 216515, 
1, Ceanothu, 0, 0, 0, 37981, 
1, ChryChry, 0, 0, 588, 54245, 
1, Frangula, 0, 0, 163, 36847, 
1, Garrya, 0, 0, 47, 85255, 
1, GaulShal, 0, 0, 641, 39860, 
1, MahoNerv, 0, 0, 556, 14922, 
1, NothDens, 0, 0, 2857, 114432, 
1, PinuJeff, 0, 0, 0, 94217, 
1, PinuLamb, 0, 0, 0, 75118, 
1, PinuMont, 0, 0, 0, 0, 
1, PseuMenz, 0, 0, 0, 128607, 
1, Quercus, 0, 0, 3790, 111910, 
1, Rhododen, 0, 0, 362, 0, 
1, Rubus, 0, 0, 150, 17355, 
1, Vacciniu, 0, 0, 391, 168735, 
1, WhipMode, 0, 0, 626, 91787, 
2, ArbuMenz, 0, 0, 54930, 59514, 
2, Arctosta, 0, 0, 40003, 107337, 
2, CaloDecu, 0, 0, 0, 144109, 
2, Ceanothu, 0, 0, 0, 29342, 
2, ChryChry, 0, 0, 2731, 18451, 
2, Frangula, 0, 0, 886, 14122, 
2, Garrya, 0, 0, 298, 68592, 
2, GaulShal, 0, 0, 1167, 29572, 
2, MahoNerv, 0, 0, 58, 13024, 
2, NothDens, 0, 0, 11436, 194922, 
2, PinuJeff, 0, 0, 0, 67122, 
2, PinuLamb, 0, 0, 0, 34308, 
2, PinuMont, 0, 0, 0, 0, 
2, PseuMenz, 0, 0, 0, 46929, 
2, Quercus, 0, 0, 9776, 75591, 
2, Rhododen, 0, 0, 419, 24675, 
2, Rubus, 0, 0, 46, 9948, 
2, Vacciniu, 0, 0, 1600, 130019, 
2, WhipMode, 0, 0, 546, 74854, 
3, ArbuMenz, 0, 0, 44671, 62244, 
3, Arctosta, 0, 0, 31923, 121756, 
3, CaloDecu, 0, 0, 0, 94433, 
3, Ceanothu, 0, 0, 0, 26347, 
3, ChryChry, 0, 0, 2152, 11870, 
3, Frangula, 0, 0, 484, 11094, 
3, Garrya, 0, 0, 136, 57802, 
3, GaulShal, 0, 0, 1005, 24025, 
3, MahoNerv, 0, 0, 72, 10801, 
3, NothDens, 0, 0, 7650, 167848, 
3, PinuJeff, 0, 0, 0, 68004, 
3, PinuLamb, 0, 0, 0, 23311, 
3, PinuMont, 0, 0, 0, 7221, 
3, PseuMenz, 0, 0, 0, 30990, 
3, Quercus, 0, 0, 7651, 75516, 
3, Rhododen, 0, 0, 278, 44667, 
