SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 51857, 16237, 7005, 3, 2, 15, 843750505, 360574718, 136048133, 
2, 116995, 95151, 7005, 9, 6, 15, 1757998260, 1616855484, 120167260, 
3, 132203, 80223, 7005, 8, 8, 15, 1694735430, 1055156394, 100487409, 
4, 96072, 80043, 7005, 9, 3, 15, 875689873, 756739060, 82708117, 
5, 139123, 101416, 6549, 7, 3, 15, 1152854725, 787368102, 83369219, 
6, 25978, 3618, 7005, 2, 1, 15, 78196204, 5989211, 75285725, 
7, 12300, 81421, 7005, 1, 6, 15, 26341808, 570805093, 86830774, 
8, 69183, 41975, 7005, 5, 3, 15, 297368853, 195640619, 70572726, 
9, 35424, 137500, 7005, 4, 8, 15, 154472924, 695696603, 56988563, 
10, 61938, 79948, 7005, 6, 3, 15, 403173779, 331733277, 84509524, 
11, 84887, 140162, 7005, 4, 4, 15, 389913926, 795456990, 85102968, 
12, 57499, 133711, 7005, 6, 3, 15, 230119745, 950210732, 92515551, 
13, 74409, 123035, 7005, 6, 6, 15, 184662558, 292306011, 77416433, 
14, 49716, 181449, 7005, 2, 4, 15, 270812475, 401302777, 35866026, 
15, 53879, 29908, 7005, 4, 1, 15, 72896046, 34391289, 55747149, 
16, 134860, 109537, 7005, 9, 9, 15, 675205633, 195295627, 79429321, 
17, 55805, 132291, 7005, 3, 5, 15, 44985616, 223804595, 35145813, 
18, 2388, 27138, 7005, 1, 2, 15, 579940, 16007272, 56443426, 
19, 26502, 115281, 6550, 4, 5, 15, 12238751, 124776250, 33562798, 
20, 44195, 38123, 7005, 4, 1, 15, 24100699, 14818028, 34083278, 
21, 50299, 111705, 7005, 4, 8, 15, 69714112, 307438310, 46168422, 
22, 48426, 0, 7005, 5, 0, 15, 81817162, 0, 47311410, 
23, 173108, 154489, 7005, 8, 9, 15, 777663007, 726070143, 57266538, 
24, 74796, 78042, 7005, 3, 4, 15, 273450558, 27510171, 46168105, 
25, 60004, 75599, 7005, 3, 4, 15, 67940843, 40894940, 38325291, 
26, 10689, 41623, 7005, 2, 3, 15, 5856644, 18980183, 55246520, 
27, 62291, 23955, 7005, 2, 1, 15, 109039824, 10009813, 47912974, 
28, 38322, 31839, 7005, 3, 2, 15, 25788384, 30507043, 71585573, 
29, 173849, 110016, 7005, 7, 6, 15, 623727164, 176159369, 45034056, 
30, 104245, 32157, 7005, 4, 3, 15, 440882261, 24647384, 42460025, 
31, 25523, 93747, 7005, 3, 4, 15, 21268765, 51496395, 47890141, 
32, 32451, 57803, 7005, 1, 2, 15, 2616822, 95266688, 56147314, 
33, 61657, 182621, 7005, 6, 11, 15, 155276980, 495165681, 63698802, 
34, 109787, 100195, 7005, 6, 6, 15, 294335420, 104473285, 60264216, 
35, 22971, 283, 7005, 2, 1, 15, 10998161, 54423, 47830635, 
36, 28243, 55858, 7005, 3, 3, 15, 6588842, 140754421, 48602013, 
37, 28367, 117159, 7005, 1, 7, 15, 41671198, 108134607, 60603236, 
38, 40031, 79058, 7005, 4, 5, 15, 56334513, 54363171, 51420034, 
39, 26484, 103965, 7005, 1, 6, 15, 2339303, 54395955, 78898972, 
40, 44544, 131665, 7005, 5, 5, 15, 86173961, 145992479, 39952009, 
41, 43577, 40718, 7005, 3, 4, 15, 15889786, 19547886, 72382826, 
42, 192953, 98749, 7005, 9, 5, 15, 400426145, 229439627, 56389421, 
43, 56896, 102443, 7005, 2, 2, 15, 36363542, 239365043, 56500157, 
44, 31295, 73984, 7005, 2, 6, 15, 51835138, 18376589, 41601130, 
45, 33442, 103278, 7005, 1, 4, 15, 154692674, 63584915, 66745989, 
46, 48609, 93761, 7005, 4, 3, 15, 102923146, 55123048, 43878341, 
47, 92, 89659, 7005, 1, 3, 15, 99500, 35577895, 71217367, 
48, 66942, 125606, 7005, 6, 5, 15, 146516858, 245413114, 35044305, 
49, 73576, 565, 7005, 4, 2, 15, 120967971, 464526, 39630926, 
50, 45158, 41305, 7005, 2, 1, 15, 18955668, 31925693, 57290095, 
51, 118634, 27441, 7005, 7, 3, 15, 135092143, 16218404, 53114846, 
