Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1533.5, 18275.9, 0, 4, 126.3, 
1, -611.8, 1616.6, 16142, 565.1, 0.64, 1126.4, 
2, -450.1, 1695.3, 15628.1, 454.6, 0.49, 1483.4, 
3, -445.2, 1791.3, 15131.1, 467.1, 0.43, 1804.8, 
4, -438.7, 1911.3, 14942.4, 491.6, 0.4, 2024.1, 
5, -380.7, 2049.4, 14663.5, 474, 0.38, 2203.8, 
6, -349, 2201.6, 14255.5, 473.8, 0.38, 2393.8, 
7, -290.1, 2370.7, 13638.2, 459.7, 0.4, 2593.3, 
8, -297, 2531.7, 13744.4, 468.2, 0.36, 2601.7, 
9, -240.8, 2700, 13219.9, 452.5, 0.42, 2737.5, 
10, -186.2, 2870.1, 12736.6, 430.3, 0.45, 2806.5, 
11, -244.3, 3026.3, 12879.6, 464, 0.45, 2773.7, 
12, -214.2, 3168.2, 13105.5, 441, 0.4, 2712.4, 
13, -207.2, 3292.9, 13289, 414.9, 0.42, 2682.3, 
14, -209.7, 3433.7, 13321.9, 474.2, 0.43, 2675.7, 
15, -237.1, 3548.3, 13439, 443.1, 0.43, 2671.3, 
16, -172.5, 3672, 13319.1, 433.7, 0.45, 2699, 
17, -188.2, 3781.8, 13251.4, 416.8, 0.44, 2740.5, 
18, -133.4, 3891.6, 13147.8, 383.2, 0.45, 2762.4, 
19, -186.4, 4004.2, 13202.8, 446.5, 0.5, 2763.6, 
20, -220.1, 4108.8, 13396.1, 460.6, 0.52, 2749.9, 
21, -198.5, 4210.9, 13479.5, 465.3, 0.53, 2753.7, 
22, -165.5, 4303.9, 13558, 410.5, 0.52, 2757, 
23, -209.7, 4405.1, 13797.3, 490.4, 0.56, 2733.3, 
24, -209.7, 4504.2, 14067, 507.2, 0.59, 2700.4, 
25, -179, 4594.9, 14077, 471.9, 0.62, 2717.3, 
26, -178, 4679.7, 14250.7, 444, 0.64, 2710.1, 
27, -172.2, 4759.1, 14199.3, 436, 0.65, 2767.5, 
28, -140.4, 4838.5, 14051.9, 403.5, 0.67, 2836, 
29, -192.3, 4924.5, 14170.2, 462.3, 0.72, 2856.6, 
30, -95.5, 5011, 13990.3, 425.5, 0.76, 2871.1, 
31, -131.8, 5096.8, 14008.7, 453.4, 0.79, 2875.3, 
32, -140.5, 5177.8, 14186.7, 465.8, 0.83, 2839.5, 
33, -158.4, 5248.6, 14306, 441.9, 0.84, 2845.2, 
34, -111, 5318.2, 14304.9, 409.9, 0.88, 2856.5, 
35, -134.8, 5389.4, 14286.7, 454.4, 0.9, 2880.3, 
36, -139.4, 5461.9, 14444.1, 471.3, 0.94, 2857.8, 
37, -109.6, 5525.8, 14557.3, 424.3, 0.9, 2841.9, 
38, -95.3, 5585.2, 14606, 410.5, 0.89, 2838.7, 
39, -123.8, 5648.1, 14600.7, 468.3, 0.93, 2858.6, 
40, -165.8, 5711, 14714, 492.9, 0.95, 2865.1, 
41, -141.4, 5772.5, 14751.3, 477.5, 1, 2886.9, 
42, -148.2, 5835.6, 14844.1, 473.6, 1.05, 2899.7, 
43, -153.3, 5894.3, 14890.4, 456.4, 1.07, 2935.4, 
44, -102.7, 5955, 14763.8, 420.6, 1.11, 2993.2, 
45, -134.9, 6020.9, 14832.5, 484, 1.17, 3001.3, 
46, -90.3, 6082, 14912.2, 450.7, 1.21, 2981.8, 
47, -142.5, 6138.2, 15039.7, 463.4, 1.21, 2989.1, 
48, -102.2, 6193.5, 15085.4, 430.3, 1.27, 2994.6, 
49, -134.2, 6252.2, 15105.3, 496.6, 1.31, 3021.2, 
50, -127, 6308.1, 15211.2, 483.7, 1.36, 3013.8, 
51, -98.1, 6359.6, 15290.5, 443.5, 1.38, 3009.6, 
