Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,SoilWaterContent,
1, 7, eco1, 1, 457557, 2.6, 19.6, 30.75, 2.72, 8.81, -28.03, 0, 0, 1.05, 
1, 7, eco2, 2, 903912, 3.3, 19.3, 54.47, 2.65, 14.41, -51.82, 0, 0, 1.28, 
1, 7, eco3, 3, 540517, 5.5, 19, 115.64, 6.01, 30.81, -109.63, 0, 0, 2.13, 
1, 8, eco1, 1, 457557, 0, 21.4, 1.69, 1.77, 1.03, 0.08, 0, 0, 0.74, 
1, 8, eco2, 2, 903912, 0.1, 19.9, 2.91, 1.45, 0.96, -1.46, 0, 0, 0.93, 
1, 8, eco3, 3, 540517, 0.2, 20.4, 19.53, 2.22, 5.43, -17.3, 0, 0, 1.56, 
1, 9, eco1, 1, 457557, 3.3, 17.1, 129.74, 6.23, 35.43, -123.51, 0, 0, 1.82, 
1, 9, eco2, 2, 903912, 5.3, 17, 194.6, 10.86, 51.61, -183.74, 0, 0, 2.75, 
1, 9, eco3, 3, 540517, 7.8, 16.9, 206.87, 20.46, 56.7, -186.41, 0, 0, 4.25, 
1, 10, eco1, 1, 457557, 4.7, 13.1, 161.53, 19.22, 47.87, -142.31, 0, 0, 3.17, 
1, 10, eco2, 2, 903912, 9.3, 13.1, 141.7, 17.03, 38.81, -124.67, 0, 0, 6.75, 
1, 10, eco3, 3, 540517, 13.1, 12.7, 110, 16.68, 31.66, -93.32, 0, 0, 8.92, 
1, 11, eco1, 1, 457557, 35.4, 7.3, 51.79, 14.04, 18.7, -37.75, 0, 0.03, 10.91, 
1, 11, eco2, 2, 903912, 49.8, 8, 53.77, 10.68, 16.08, -43.09, 0, 0.03, 8.23, 
1, 11, eco3, 3, 540517, 62.6, 7.4, 48.88, 10.38, 15.42, -38.5, 0, 0.04, 3.89, 
1, 12, eco1, 1, 457557, 16.2, 5.3, 27.75, 11.83, 11.99, -15.93, 0, 0, 12.96, 
1, 12, eco2, 2, 903912, 28.1, 6.3, 36.69, 8.96, 11.67, -27.73, 0, 0.02, 12.22, 
1, 12, eco3, 3, 540517, 35, 5.7, 31.73, 8.69, 10.94, -23.03, 0, 0.02, 10.55, 
1, 1, eco1, 1, 457557, 18.9, 1.6, 3.25, 8.91, 4.68, 5.66, 0, 0, 13.96, 
1, 1, eco2, 2, 903912, 29.6, 3.1, 9.08, 6.89, 4.18, -2.19, 0, 0.01, 15.48, 
1, 1, eco3, 3, 540517, 37.3, 1.8, 3.96, 6.42, 3.25, 2.46, 0, 0.01, 14.57, 
1, 2, eco1, 1, 457557, 19, 2.9, 7.97, 9.62, 6.3, 1.65, 0, 0.03, 14.02, 
1, 2, eco2, 2, 903912, 31.6, 4, 15.09, 7.08, 5.9, -8.01, 0, 0.02, 13.11, 
1, 2, eco3, 3, 540517, 38.1, 2.6, 6.67, 6.49, 4.1, -0.18, 0, 0.02, 11.49, 
1, 3, eco1, 1, 457557, 35, 6.1, 36.17, 11.78, 14.61, -24.39, 0, 0.05, 7.71, 
1, 3, eco2, 2, 903912, 56.5, 6.1, 35.44, 7.96, 11.53, -27.48, 0, 0.04, 3.73, 
1, 3, eco3, 3, 540517, 67.9, 5, 25.22, 7.3, 9.31, -17.92, 0, 0.05, -0.8, 
1, 4, eco1, 1, 457557, 11, 7, 43.63, 12.52, 16.98, -31.11, 0, 0, 12.28, 
1, 4, eco2, 2, 903912, 22, 7.5, 46.73, 8.58, 14.73, -38.14, 0, 0.01, 12.49, 
1, 4, eco3, 3, 540517, 28.4, 6.1, 35.62, 7.56, 12.23, -28.06, 0, 0.02, 12.01, 
1, 5, eco1, 1, 457557, 3.7, 13.5, 83.6, 19.44, 29.95, -64.16, 0, 0, 9.66, 
1, 5, eco2, 2, 903912, 6.7, 13.1, 77.77, 12.43, 23.61, -65.34, 0, 0, 10.03, 
1, 5, eco3, 3, 540517, 9.5, 12.4, 77.93, 11, 24.39, -66.93, 0, 0.01, 9.8, 
1, 6, eco1, 1, 457557, 1.5, 18.3, 75.84, 18.53, 27.72, -57.31, 0, 0, 7.39, 
