Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1533.5, 18275.9, 0, 4, 126.3, 
1, -567.2, 1597.9, 17285.6, 514.3, 0.5, 854.7, 
2, -490.2, 1662.3, 16705.2, 473.3, 0.36, 1290.2, 
3, -514.3, 1758.5, 16467.4, 528.5, 0.33, 1592, 
4, -466.7, 1859.1, 16237.2, 489.4, 0.3, 1864.2, 
5, -405.4, 2003.7, 15000.7, 491.6, 0.34, 2327, 
6, -378, 2144, 14906.3, 465.8, 0.36, 2470.8, 
7, -338.9, 2305.4, 14433, 471.2, 0.37, 2662.1, 
8, -282.4, 2485.9, 14235.7, 467, 0.38, 2730, 
9, -290.2, 2639, 14159.1, 445.2, 0.38, 2804.7, 
10, -266.1, 2810.2, 14129, 472.9, 0.35, 2818, 
11, -249.8, 2970.4, 13776.4, 460, 0.39, 2917.8, 
12, -243.5, 3128.2, 13774.6, 465, 0.33, 2920.1, 
13, -202.6, 3262.9, 13760.9, 400.4, 0.38, 2934.8, 
14, -188.4, 3403.4, 13707.3, 413.2, 0.38, 2949.6, 
15, -204.7, 3550.7, 13913.1, 462.7, 0.38, 2877, 
16, -206.8, 3690.8, 13822.8, 481.8, 0.37, 2898, 
17, -219.8, 3810.6, 13940.3, 448.2, 0.35, 2894.8, 
18, -198.5, 3946, 14047.3, 489.5, 0.37, 2871.3, 
19, -170.1, 4053.6, 14056.7, 413.6, 0.35, 2882, 
20, -208.9, 4162.2, 13955.5, 454.2, 0.39, 2942.3, 
21, -174.9, 4286.6, 14088.6, 481.8, 0.41, 2905.7, 
22, -181.2, 4394.1, 14072.4, 466.5, 0.38, 2928.8, 
23, -190.5, 4493.9, 14018.4, 445.1, 0.42, 2971.6, 
24, -128.2, 4595, 14104.8, 412.7, 0.4, 2943.2, 
25, -185.9, 4686, 14222.6, 434, 0.41, 2940.4, 
26, -173, 4782.5, 14400.4, 468.2, 0.41, 2920.5, 
27, -185.4, 4881.7, 14546.4, 499.4, 0.45, 2910.9, 
28, -184.7, 4971.2, 14552, 497, 0.47, 2935.2, 
29, -187, 5062.4, 14747.5, 506.2, 0.45, 2916.9, 
30, -144.9, 5140.4, 14806.5, 416.9, 0.46, 2919, 
31, -189.5, 5229.8, 14960.3, 497.6, 0.51, 2927, 
32, -222.3, 5318.6, 15250.3, 553.1, 0.53, 2907, 
33, -137.9, 5396.3, 14954.2, 471.5, 0.56, 2990.7, 
34, -179.7, 5484.5, 15043.3, 522.5, 0.59, 3001.9, 
35, -165.4, 5559.2, 15081.8, 460.6, 0.61, 3021.6, 
36, -83.3, 5627.5, 14897.1, 361, 0.63, 3082.2, 
37, -112.8, 5717, 14816.1, 498.8, 0.64, 3098, 
38, -127.1, 5789.5, 14943.4, 438.2, 0.62, 3081.7, 
39, -138.2, 5868.9, 15098.6, 530.9, 0.63, 3048.3, 
40, -109.7, 5942.8, 14992.3, 514.7, 0.66, 3059.1, 
41, -154.5, 6006.2, 15193.3, 509.7, 0.68, 3032.3, 
42, -157.9, 6072.5, 15195, 501.6, 0.72, 3069.6, 
43, -156.9, 6136.8, 15381.7, 525.2, 0.73, 3052.2, 
44, -141.4, 6201.4, 15427.1, 501.1, 0.76, 3069.2, 
45, -127.1, 6263.8, 15413.6, 497.3, 0.79, 3086.7, 
46, -150.1, 6323.4, 15575.9, 488.3, 0.8, 3082.7, 
47, -147.9, 6382.1, 15663, 481.5, 0.83, 3100.4, 
48, -162.5, 6443.4, 15777.4, 502.5, 0.86, 3114.9, 
49, -164.6, 6506, 15989.2, 532, 0.87, 3104.4, 
50, -74.8, 6559.2, 15790.1, 430.1, 0.88, 3156.6, 
51, -122.3, 6616.7, 15890, 465.5, 0.87, 3164.4, 
