Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 1, 457557, 0, 3106.7, 19757.1, 0, 0, 0, 0, 4, 263, 0, 0, 0, 9285.9, 1608, 100, 517.4, 84.2, 14.9, 0, 0, 31.1, 62.1, 1833, 1180.6, 0, 0, 23.2, 8.8, 0.5, 2.6, 0.4, 1.5, 0, 0, 3.1, 6.2, 73.3, 139.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227.9, 0, 0, 
0, eco2, 2, 903912, 0, 832.9, 19056.5, 0, 0, 0, 0, 4, 99.3, 0, 0, 0, 8956.6, 1594.1, 121.7, 548.4, 102.4, 18.1, 0, 0, 8.3, 16.7, 491.4, 316.5, 0, 0, 22, 8.2, 0.6, 2.7, 0.5, 1.8, 0, 0, 0.8, 1.7, 19.7, 37.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65.8, 0, 0, 
0, eco3, 3, 540517, 0, 1373.4, 15716.6, 0, 0, 0, 0, 4, 132.9, 0, 0, 0, 7386.8, 1327.1, 156.4, 463.4, 131.6, 23.2, 0, 0, 13.7, 27.5, 810.3, 521.9, 0, 0, 18.1, 6.6, 0.8, 2.3, 0.7, 2.3, 0, 0, 1.4, 2.7, 32.4, 61.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105.1, 0, 0, 
1, eco1, 1, 457557, -530.7, 3136.6, 18735.6, 493.6, 143.3, 7, 297.9, 0.52, 262.3, 2.6, 91.7, 63.6, 8714.4, 1517.6, 826.3, 582.2, 14.9, 13.3, 2, 1.9, 87.6, 92.5, 1776.2, 1180.3, 2, 1.2, 21.7, 8.4, 2.4, 2.9, 0.1, 1.1, 0, 0.1, 3.1, 8.8, 70.7, 139.3, 0.1, 0.2, 0, 0, 0.3, 0.3, -0.3, 0, 0.05, 0.07, 0.19, 9.6, 0.2, 4.1, 0.1, 223.7, 0.04, 0, 
1, eco2, 2, 903912, -604.7, 908, 17966, 536.5, 156.8, 8.9, 304.7, 0.44, 99.1, 1.2, 98.4, 68.3, 8335.8, 1497.3, 891.7, 617.3, 16.7, 16, 2.5, 2.4, 79.8, 28, 483.7, 316.4, 2.2, 1.4, 20.3, 7.7, 2.6, 3.1, 0.1, 1.4, 0, 0.1, 1.2, 2.4, 19, 37.3, 0.2, 0.2, 0, 0, 0.1, 0.1, 0, 0, 0.05, 0.05, 0.23, 9.4, 0.2, 4, 0.1, 61.9, 0.03, 0, 
1, eco3, 3, 540517, -535.3, 1449.2, 14920.2, 494.6, 144.4, 9.1, 252.2, 0.6, 132.5, 1.7, 89.8, 62.6, 6917.6, 1260.8, 816.9, 518.9, 21.9, 20.3, 2.5, 2.5, 95.1, 42.5, 789.9, 521.8, 2, 1.2, 16.9, 6.2, 2.5, 2.6, 0.1, 1.8, 0, 0.1, 1.9, 3.9, 31.3, 61.6, 0.2, 0.3, 0, 0, 0.2, 0.2, 0, 0, 0.05, 0.13, 0.32, 5.1, 0.1, 4, 0.1, 101.1, 0.03, 0, 
2, eco1, 1, 457557, -439.7, 3189.3, 17047, 462.4, 131.4, 30, 274.1, 0.45, 262.4, 3.4, 145.3, 101, 7860.8, 1374.6, 1565, 639.5, 12.2, 21.1, 9.5, 9.8, 145.7, 134.1, 1729.3, 1180.1, 3.1, 1.9, 19.6, 7.5, 4.2, 3.2, 0.1, 1.1, 0, 0.4, 3, 11, 67.6, 139.2, 0, 0.1, 0, 0, 0.3, 0.6, 0.7, 0.1, 0.05, 0.11, 0.07, 30, 0.4, 1.9, 0.3, 222.8, 0.01, 0, 
2, eco2, 2, 903912, -526.7, 989.8, 17382.9, 496.8, 142, 33.2, 298.5, 0.33, 101.8, 1.5, 161.6, 112.4, 7996.1, 1437.8, 1332.7, 665.5, 13, 23.3, 9.9, 10.3, 134.9, 47.9, 490.7, 316.4, 3.5, 2.2, 19.5, 7.4, 3.6, 3.3, 0.1, 1.3, 0, 0.4, 1.6, 3.1, 18.1, 37.3, 0, 0.1, 0, 0, 0.2, 0.2, 0.2, 0, 0.05, 0.11, 0.08, 16.9, 0.1, 0.9, 0.4, 62.2, 0.01, 0, 
2, eco3, 3, 540517, -472, 1494.5, 15282.5, 443.3, 126.7, 30.5, 257.1, 0.34, 135.2, 2, 149.7, 104.3, 7022, 1281.5, 986.4, 550.4, 12.7, 25.5, 8.8, 9.3, 134.6, 64.1, 774.1, 521.6, 3.2, 2.1, 17.1, 6.3, 2.9, 2.7, 0.1, 1.5, 0, 0.3, 2.2, 4.8, 29.9, 61.5, 0.1, 0.2, 0, 0, 0.2, 0.3, 0.3, 0, 0.05, 0.25, 0.12, 0, 0, 1.4, 0.3, 100.7, 0.01, 0, 
3, eco1, 1, 457557, -422.2, 3284, 15884.1, 494.2, 140.7, 41, 262.9, 0.48, 263, 4, 192.3, 134, 7265.7, 1276.6, 2062.4, 676.9, 17.6, 29.9, 16.3, 17.3, 223, 182.2, 1699, 1179.8, 4, 2.5, 18.2, 6.9, 5.4, 3.4, 0.1, 1.1, 0.1, 0.6, 3.1, 13.3, 64.4, 139.2, 0, 0, 0, 0.1, 0.4, 0.8, 0.5, 0.1, 0.05, 0.27, 0.09, 34.3, 0.4, 2, 0.4, 222.5, 0.01, 0, 
3, eco2, 2, 903912, -547.3, 1108, 17204.9, 552.7, 157.3, 47.2, 309.8, 0.3, 105.2, 2, 222.2, 154.7, 7856.2, 1414.8, 1621.5, 697.7, 19.4, 32.4, 16.6, 17.8, 202.4, 75.5, 513.8, 316.3, 4.8, 3.1, 19.2, 7.3, 4.3, 3.5, 0.1, 1.3, 0.1, 0.7, 2.1, 4, 17.3, 37.3, 0, 0, 0, 0.1, 0.3, 0.2, 0.1, 0, 0.05, 0.22, 0.08, 13.9, 0.1, 0.9, 0.5, 63.2, 0.01, 0, 
3, eco3, 3, 540517, -537.1, 1554.9, 15727.7, 517, 147.5, 44.1, 276.7, 0.27, 138.5, 2.4, 211.9, 147.8, 7170.7, 1310.3, 1144.4, 576.7, 18.3, 33.2, 15.1, 16.6, 175.6, 91.4, 766.4, 521.5, 4.6, 3, 17.5, 6.5, 3.3, 2.9, 0.1, 1.5, 0.1, 0.6, 2.6, 5.8, 28.4, 61.5, 0, 0.1, 0, 0.1, 0.3, 0.4, 0.4, 0, 0.04, 0.43, 0.1, 0, 0, 1.3, 0.5, 100.9, 0, 0, 
4, eco1, 1, 457557, -340.9, 3389.5, 14973.9, 428.1, 122.6, 45.5, 239.8, 0.53, 263.7, 3.6, 220.6, 153.8, 6817.7, 1201.8, 2450, 705, 23.9, 39.3, 23, 24.4, 296.1, 223.4, 1690.4, 1179.7, 4.6, 2.8, 17.1, 6.5, 6.4, 3.5, 0.1, 1.3, 0.1, 0.9, 3.4, 15.3, 62, 139.1, 0, -0.1, 0, 0.1, 0.4, 0.7, 0.3, 0, 0.05, 0.08, 0.03, 26.6, 0.2, 1.6, 0.4, 222.8, 0.01, 0, 
4, eco2, 2, 903912, -501.8, 1226.2, 16950.2, 516.7, 147.8, 55.3, 297.8, 0.25, 108.3, 1.9, 265.9, 185.4, 7692.5, 1389, 1901.5, 727.3, 27.8, 43.1, 24.1, 25.8, 263.2, 101.7, 545.1, 316.3, 5.6, 3.7, 18.8, 7.1, 5, 3.6, 0.1, 1.5, 0.1, 1, 2.6, 4.8, 16.8, 37.3, 0, -0.1, 0, 0.1, 0.3, 0.2, 0, 0, 0.05, 0.14, 0.04, 16.9, 0.1, 0.8, 0.6, 64.4, 0, 0, 
4, eco3, 3, 540517, -514.5, 1621.9, 16114.3, 495.6, 142.1, 53.8, 273.7, 0.2, 141.7, 2.1, 259.8, 181.4, 7304, 1336.6, 1306, 601.9, 27.5, 43.9, 22.6, 24.7, 214, 115.5, 771, 521.4, 5.5, 3.6, 17.9, 6.6, 3.7, 3, 0.1, 1.6, 0.1, 0.9, 3, 6.7, 27.4, 61.5, 0, 0, 0, 0.1, 0.3, 0.3, 0.3, 0, 0.05, 0.29, 0.06, 0, 0, 1.1, 0.6, 101.5, 0, 0, 
5, eco1, 1, 457557, -233.8, 3545.6, 12838.9, 407.5, 116.4, 44, 210.2, 0.59, 262.4, 4.3, 225.2, 156.9, 5801.3, 1028.7, 3027.5, 734.4, 25.3, 43.2, 27.7, 29.7, 390.7, 272.5, 1702.9, 1179.5, 4.6, 2.9, 14.7, 5.5, 7.8, 3.7, 0.1, 1.3, 0.1, 1.1, 3.7, 17.7, 59.6, 139.1, 0, -0.1, 0, 0.1, 0.4, 0.9, 0, 0.1, 0.05, 0.17, 0.06, 68.1, 0.6, 1.7, 0.4, 223.3, 0.01, 0, 
5, eco2, 2, 903912, -406.6, 1397.6, 15197.3, 499.5, 142.3, 56.1, 272.8, 0.31, 109.2, 2.4, 281.3, 196, 6855.3, 1241.7, 2486, 763.4, 30.6, 48.8, 30.4, 32.9, 344.5, 136.3, 600.6, 316.3, 6, 3.9, 16.8, 6.3, 6.4, 3.8, 0.2, 1.5, 0.2, 1.2, 3.1, 5.9, 16.4, 37.3, 0.1, -0.1, 0, 0.2, 0.4, 0.3, -0.1, 0, 0.05, 0.21, 0.05, 66.9, 0.5, 0.9, 0.5, 66, 0, 0, 
5, eco3, 3, 540517, -548.8, 1712, 16502, 549.5, 156.8, 60.8, 289.4, 0.2, 145.3, 2.6, 310.9, 216.8, 7438.1, 1363.1, 1468.2, 623.8, 32.6, 52.4, 27.7, 30.8, 260.9, 144.2, 785.5, 521.3, 6.6, 4.3, 18.2, 6.7, 4, 3.1, 0.2, 1.7, 0.1, 1.1, 3.5, 7.6, 26.5, 61.5, 0.1, -0.1, 0, 0.2, 0.4, 0.4, 0.2, 0, 0.05, 0.37, 0.06, 2, 0, 1.2, 0.6, 102.4, 0, 0, 
