SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 58885, 67118, 0, 6, 3, 0, 934202574, 838786601, 0, 
2, 99185, 21524, 0, 5, 2, 0, 1437223318, 374086560, 0, 
3, 43699, 62693, 0, 2, 2, 0, 506604753, 781262665, 0, 
4, 30659, 56192, 0, 4, 6, 0, 518120183, 608189155, 0, 
5, 131249, 109990, 0, 4, 4, 0, 1753927456, 1301605129, 0, 
6, 27361, 87263, 0, 2, 3, 0, 135320123, 665932633, 0, 
7, 125806, 72429, 0, 5, 5, 0, 929625846, 627227442, 0, 
8, 287, 119293, 0, 1, 5, 0, 3195043, 954321686, 0, 
9, 15903, 135757, 0, 2, 5, 0, 48638100, 625324243, 0, 
10, 34179, 53802, 0, 5, 3, 0, 206276636, 387044280, 0, 
11, 167459, 25134, 0, 6, 3, 0, 1084700454, 134420670, 0, 
12, 83952, 75521, 0, 3, 4, 0, 364800388, 239515911, 0, 
13, 68993, 54521, 0, 3, 5, 0, 325627832, 85886948, 0, 
14, 128503, 51329, 0, 8, 5, 0, 316636990, 184095162, 0, 
15, 5398, 29162, 0, 2, 2, 0, 2933200, 52703293, 0, 
16, 86, 129457, 0, 1, 3, 0, 83054, 734790483, 0, 
17, 43808, 51214, 0, 3, 6, 0, 93170953, 148548681, 0, 
18, 86333, 59836, 0, 7, 3, 0, 212331300, 166229190, 0, 
19, 35139, 106633, 0, 3, 9, 0, 69407350, 241065829, 0, 
20, 73767, 90020, 0, 4, 3, 0, 102640913, 548827331, 0, 
21, 40660, 98627, 0, 3, 6, 0, 65285093, 179108437, 0, 
22, 111843, 75685, 0, 7, 6, 0, 429937964, 101253859, 0, 
23, 151133, 41219, 0, 8, 2, 0, 443305586, 85040429, 0, 
24, 59344, 103540, 0, 4, 6, 0, 69656239, 81890407, 0, 
25, 26513, 96519, 0, 2, 6, 0, 6419361, 100750945, 0, 
26, 47668, 88747, 0, 6, 5, 0, 39482736, 86533854, 0, 
27, 107567, 47139, 0, 4, 2, 0, 151589363, 61148879, 0, 
28, 71287, 80002, 0, 2, 4, 0, 404694885, 70467188, 0, 
29, 43894, 51577, 0, 5, 2, 0, 84057000, 44796337, 0, 
30, 71392, 79106, 0, 5, 3, 0, 52950624, 53016643, 0, 
31, 33349, 75022, 0, 4, 4, 0, 92638698, 73611604, 0, 
32, 32495, 0, 0, 4, 0, 0, 27598559, 0, 0, 
33, 23252, 118975, 0, 1, 5, 0, 4637794, 899491998, 0, 
34, 122795, 46975, 0, 6, 6, 0, 260377283, 72344071, 0, 
35, 32872, 91340, 0, 3, 6, 0, 72482835, 132872584, 0, 
36, 39590, 129681, 0, 4, 5, 0, 78262562, 334938549, 0, 
37, 106582, 112836, 0, 6, 4, 0, 287898814, 317171282, 0, 
38, 18347, 34149, 0, 3, 2, 0, 33084461, 12191081, 0, 
39, 78835, 46181, 0, 2, 4, 0, 218237216, 19267545, 0, 
40, 137918, 124180, 0, 7, 5, 0, 269655597, 389831261, 0, 
41, 2002, 70227, 0, 2, 4, 0, 2310545, 56960832, 0, 
42, 147121, 93808, 0, 8, 3, 0, 241494899, 176689466, 0, 
43, 15334, 64450, 0, 2, 5, 0, 60897330, 36296526, 0, 
44, 73612, 113675, 0, 4, 5, 0, 152297660, 134714327, 0, 
45, 137131, 59173, 0, 6, 4, 0, 296885837, 65601344, 0, 
46, 63641, 42271, 0, 4, 1, 0, 52157941, 18181682, 0, 
47, 106516, 59417, 0, 7, 4, 0, 120784204, 42963192, 0, 
48, 88487, 40544, 0, 5, 1, 0, 130003049, 36384418, 0, 
49, 7, 48569, 0, 1, 4, 0, 10, 22114186, 0, 
50, 0, 126275, 0, 0, 6, 0, 0, 523188897, 0, 
51, 31750, 56408, 0, 3, 3, 0, 36952545, 38961043, 0, 
