Time,EcoName,NumActiveSites,AboveGroundBiomass_ArbuMenz,AboveGroundBiomass_Arctosta,AboveGroundBiomass_CaloDecu,AboveGroundBiomass_Ceanothu,AboveGroundBiomass_ChryChry,AboveGroundBiomass_Frangula,AboveGroundBiomass_Garrya,AboveGroundBiomass_GaulShal,AboveGroundBiomass_MahoNerv,AboveGroundBiomass_NothDens,AboveGroundBiomass_PinuJeff,AboveGroundBiomass_PinuLamb,AboveGroundBiomass_PinuMont,AboveGroundBiomass_PseuMenz,AboveGroundBiomass_Quercus,AboveGroundBiomass_Rhododen,AboveGroundBiomass_Rubus,AboveGroundBiomass_Vacciniu,AboveGroundBiomass_WhipMode,
0, nodata, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
0, eco1, 457557, 1782.88291950511, 717.054371367939, 1247.75054255535, 295.535240418134, 179.414853231401, 3.46960706534924, 21.0788120387187, 258.461389509941, 137.524323745457, 2186.09674423077, 774.95108587564, 1290.29086430762, 52.754572654336, 10350.2206195075, 106.069138926953, 66.3589694835835, 9.60972949818274, 254.620755446862, 22.9876605537671, 
0, eco2, 903912, 1181.23358247263, 612.230386365044, 735.303871394561, 171.805620458629, 137.517926523821, 10.4246054925701, 30.7467131756189, 228.833969457204, 150.747345980582, 1665.17928183274, 397.949579162573, 1002.8076980945, 464.644348122384, 11309.4948479498, 359.849847109011, 102.641653169778, 26.1445129614387, 438.234731920806, 30.7036171662728, 
0, eco3, 540517, 739.452540808152, 658.094354109121, 538.499494002964, 257.757267579003, 126.686416893456, 9.26023233311811, 40.6674221162332, 173.829109907736, 125.72916670521, 1021.14002334802, 506.523959468435, 739.306530599408, 447.68869989288, 9716.63291441342, 324.816438705906, 59.0107286172313, 19.2234508812859, 192.392883110059, 19.9173124989593, 
10, nodata, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
10, eco1, 457557, 409.617022578608, 211.129627565527, 838.924099073995, 94.2190590461953, 39.9696343843499, 0.863295720533179, 8.77507064693579, 10.1166237211976, 0.222704493647786, 399.591205030193, 553.94205530677, 415.435943499936, 46.0443726136853, 3237.36338204858, 37.5017254680838, 1.76726396929781, 0.7273935269267, 36.2195245619671, 2.85127973126845, 
10, eco2, 903912, 792.441235429998, 343.489990176035, 907.054675676393, 99.9068393825948, 80.4629609962032, 5.89169852817531, 16.5221846816947, 19.1428214250945, 6.7748851658126, 807.828921399428, 555.917234199789, 623.092994672048, 359.305289674216, 8273.31774332015, 183.114396091655, 30.5350277460638, 6.14201824956412, 165.919458973882, 6.06920253298994, 
10, eco3, 540517, 827.020228780963, 414.699348956647, 1221.4913295974, 187.755855967527, 116.74944913851, 6.61370502685392, 30.4844953997747, 26.0021978957184, 2.22924718371485, 879.139153810148, 908.142522806868, 705.107772743503, 556.517212224592, 10977.716945073, 241.536667671877, 30.222462938261, 8.22975040563017, 108.492236136884, 10.1261125922034, 
20, nodata, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, eco1, 457557, 317.002922040314, 294.278424327461, 892.144349228621, 42.9631674305059, 25.2168691550998, 0.805545538588635, 7.49853679432289, 0.323153180915165, 0.246308110246374, 269.776493420492, 625.797470041984, 272.398763432753, 37.050433060799, 2626.24178408373, 50.5466925432241, 1.16474231625787, 0.666568318264173, 20.1578666701635, 1.436474581309, 
