Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1533.5, 18275.9, 0, 4, 126.3, 
1, -613.3, 1602.3, 16933.4, 552.7, 0.52, 963.2, 
2, -443.9, 1686.4, 15664.9, 452.1, 0.44, 1541.8, 
3, -448.5, 1799.6, 14924.6, 485.3, 0.41, 1925.6, 
4, -380.1, 1920.6, 14606.6, 442.5, 0.41, 2132.7, 
5, -348.2, 2067.5, 14156.3, 455.2, 0.4, 2332.2, 
6, -319.2, 2206.9, 14267.5, 433, 0.36, 2373.7, 
7, -361.3, 2354.4, 14469.9, 488.9, 0.34, 2414.1, 
8, -342.1, 2509.6, 14440.1, 499.3, 0.33, 2498.2, 
9, -230.9, 2639.1, 14345, 378.9, 0.35, 2572.6, 
10, -298.2, 2796.9, 14290.3, 489.6, 0.36, 2632.4, 
11, -293.8, 2950.4, 14561.7, 494.8, 0.35, 2609.9, 
12, -238.7, 3091.6, 14432.2, 446.8, 0.36, 2671, 
13, -179.2, 3214.9, 14119.5, 376.7, 0.38, 2772.7, 
14, -238.1, 3365.5, 14008.3, 482.6, 0.4, 2818.2, 
15, -182.3, 3495.4, 13844.5, 414.6, 0.38, 2851.2, 
16, -207.4, 3638.7, 14008.6, 474.9, 0.41, 2815.2, 
17, -230.5, 3766.3, 13877.6, 484.9, 0.43, 2865.4, 
18, -158.8, 3885.4, 13981.7, 408.3, 0.43, 2840.2, 
19, -199.1, 4001.8, 13937.5, 455.1, 0.45, 2870, 
20, -160.5, 4120.5, 13592.6, 449.5, 0.47, 2929.6, 
21, -153.2, 4239.8, 13776.8, 449.6, 0.49, 2869.1, 
22, -172.3, 4354.6, 13779.3, 498.8, 0.49, 2850.2, 
23, -131.8, 4451.8, 13821.4, 414.9, 0.49, 2834.5, 
24, -164.2, 4544.4, 13961.8, 430.6, 0.48, 2818.7, 
25, -181.1, 4635.1, 14105.8, 448.7, 0.5, 2809.1, 
26, -191.5, 4736, 14349.6, 520.2, 0.52, 2768.7, 
27, -203.1, 4828.1, 14487.1, 527.2, 0.54, 2768.5, 
28, -185.6, 4916.7, 14588.3, 506.6, 0.56, 2773, 
29, -232.7, 5004.5, 14718.5, 545.9, 0.58, 2795.7, 
30, -155, 5081.5, 14372.5, 442, 0.59, 2910.2, 
31, -91, 5162.3, 14007.3, 396.1, 0.6, 2992.6, 
32, -123.4, 5245.5, 14114.7, 412.1, 0.64, 2972.6, 
33, -92, 5325.6, 13767.1, 463.3, 0.68, 3023.8, 
34, -151.2, 5407.2, 13914, 478.1, 0.7, 2995.7, 
35, -86.2, 5487.3, 13904.7, 477, 0.73, 2951.9, 
36, -72.2, 5546.8, 13685.4, 385.4, 0.73, 2988.1, 
37, -105.6, 5620.2, 13672.5, 455.4, 0.77, 2988.3, 
38, -87.4, 5691.3, 13838.8, 474.3, 0.8, 2919.9, 
39, -96.7, 5750.1, 13983, 463.5, 0.84, 2869.6, 
40, -103, 5801.9, 14069, 420.2, 0.84, 2844.8, 
41, -134.7, 5857.4, 14318.2, 505.3, 0.83, 2799.2, 
42, -151.6, 5905.9, 14429.1, 456.7, 0.83, 2816.4, 
43, -151, 5955, 14602.5, 459.3, 0.82, 2817.4, 
44, -136.7, 6011.9, 14685.5, 505.7, 0.87, 2830.1, 
45, -91.8, 6061.4, 14587.2, 427, 0.88, 2865, 
46, -168.3, 6116.9, 14675.3, 517.5, 0.89, 2900.7, 
47, -163.9, 6172.3, 14696.7, 502.9, 0.91, 2945.9, 
48, -161.7, 6226.3, 14773.8, 499, 0.96, 2975, 
49, -149.3, 6281.4, 14949.3, 505.8, 1, 2968.8, 
50, -156.3, 6339.2, 15092.8, 512.2, 1.03, 2973.1, 
51, -125.1, 6393.8, 15150.7, 461.6, 1.07, 2991.6, 
