Time,EcoName,NumActiveSites,AboveGroundBiomass_ArbuMenz,AboveGroundBiomass_Arctosta,AboveGroundBiomass_CaloDecu,AboveGroundBiomass_Ceanothu,AboveGroundBiomass_ChryChry,AboveGroundBiomass_Frangula,AboveGroundBiomass_Garrya,AboveGroundBiomass_GaulShal,AboveGroundBiomass_MahoNerv,AboveGroundBiomass_NothDens,AboveGroundBiomass_PinuJeff,AboveGroundBiomass_PinuLamb,AboveGroundBiomass_PinuMont,AboveGroundBiomass_PseuMenz,AboveGroundBiomass_Quercus,AboveGroundBiomass_Rhododen,AboveGroundBiomass_Rubus,AboveGroundBiomass_Vacciniu,AboveGroundBiomass_WhipMode,
0, nodata, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
0, eco1, 457557, 1782.88291950511, 717.054371367939, 1247.75054255535, 295.535240418134, 179.414853231401, 3.46960706534924, 21.0788120387187, 258.461389509941, 137.524323745457, 2186.09674423077, 774.95108587564, 1290.29086430762, 52.754572654336, 10350.2206195075, 106.069138926953, 66.3589694835835, 9.60972949818274, 254.620755446862, 22.9876605537671, 
0, eco2, 903912, 1181.23358247263, 612.230386365044, 735.303871394561, 171.805620458629, 137.517926523821, 10.4246054925701, 30.7467131756189, 228.833969457204, 150.747345980582, 1665.17928183274, 397.949579162573, 1002.8076980945, 464.644348122384, 11309.4948479498, 359.849847109011, 102.641653169778, 26.1445129614387, 438.234731920806, 30.7036171662728, 
0, eco3, 540517, 739.452540808152, 658.094354109121, 538.499494002964, 257.757267579003, 126.686416893456, 9.26023233311811, 40.6674221162332, 173.829109907736, 125.72916670521, 1021.14002334802, 506.523959468435, 739.306530599408, 447.68869989288, 9716.63291441342, 324.816438705906, 59.0107286172313, 19.2234508812859, 192.392883110059, 19.9173124989593, 
10, nodata, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
10, eco1, 457557, 556.195151642309, 278.60803353462, 1070.00553373678, 131.85843949497, 56.3152634535151, 1.19184057942508, 10.4233986148174, 13.1691220984489, 0.293176587834958, 580.624761505124, 680.816602084549, 555.983363821338, 52.6614410882141, 4522.0197243185, 47.6496742482357, 2.29920425214782, 0.908083583029, 50.84976298035, 3.46503277187323, 
10, eco2, 903912, 834.337905681084, 378.056942489977, 979.504260370479, 111.84864455832, 93.6385632672207, 6.65983635575144, 18.0211502889662, 23.1247610386852, 8.39497097062546, 921.051042579366, 577.39924793564, 702.348433254565, 400.144770729894, 9369.96852348459, 205.472112329519, 35.9675488321872, 7.4406225384772, 195.041055987751, 7.19956367433998, 
10, eco3, 540517, 779.320324800145, 445.570159680454, 1215.39406901171, 190.958511943195, 123.225328713065, 7.46911938014901, 31.9495945548429, 27.9608060431032, 2.22734345080728, 952.464603333475, 885.690161456531, 750.08647461597, 563.420031192358, 11719.1291060226, 266.399695106722, 35.1565519678382, 8.21151231136116, 127.49057291445, 10.7156111648662, 
20, nodata, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, eco1, 457557, 272.328675990095, 217.738633656572, 741.799434824514, 30.4547826828133, 22.0071728768219, 0.708740113253649, 5.65034083185264, 0.278076829772028, 0.137799225014588, 253.205740486978, 482.407245436088, 263.174229658818, 29.5411762906042, 2400.14919889762, 39.2379856498753, 1.02860627200545, 0.534650327718732, 18.0577567385047, 1.07829407046554, 
