Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 1, 457557, 0, 3106.7, 19757.1, 0, 0, 0, 0, 4, 263, 0, 0, 0, 9285.9, 1608, 100, 517.4, 84.2, 14.9, 0, 0, 31.1, 62.1, 1833, 1180.6, 0, 0, 23.2, 8.8, 0.5, 2.6, 0.4, 1.5, 0, 0, 3.1, 6.2, 73.3, 139.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227.9, 0, 0, 
0, eco2, 2, 903912, 0, 832.9, 19056.5, 0, 0, 0, 0, 4, 99.3, 0, 0, 0, 8956.6, 1594.1, 121.7, 548.4, 102.4, 18.1, 0, 0, 8.3, 16.7, 491.4, 316.5, 0, 0, 22, 8.2, 0.6, 2.7, 0.5, 1.8, 0, 0, 0.8, 1.7, 19.7, 37.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65.8, 0, 0, 
0, eco3, 3, 540517, 0, 1373.4, 15716.6, 0, 0, 0, 0, 4, 132.9, 0, 0, 0, 7386.8, 1327.1, 156.4, 463.4, 131.6, 23.2, 0, 0, 13.7, 27.5, 810.3, 521.9, 0, 0, 18.1, 6.6, 0.8, 2.3, 0.7, 2.3, 0, 0, 1.4, 2.7, 32.4, 61.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105.1, 0, 0, 
1, eco1, 1, 457557, -580.5, 3161.7, 16742.3, 553.4, 160.4, 9.4, 278.7, 0.71, 260.4, 2.8, 101.3, 70.1, 7765.2, 1355.9, 1292, 606.1, 13.6, 13.1, 2.6, 2.5, 103.7, 96.5, 1781.2, 1180.3, 2.2, 1.3, 19.4, 7.4, 3.5, 3, 0.1, 1, 0, 0.1, 2.9, 8.8, 70.6, 139.3, 0.1, 0.2, 0, 0, 0.3, 0.3, 0, 0, 0.05, 0.07, 0.11, 25.9, 0.7, 4.3, 0.1, 223.5, 0.03, 0, 
1, eco2, 2, 903912, -687.1, 917.9, 17648.5, 609.1, 177.2, 11.5, 314.1, 0.49, 99.2, 1.3, 110.3, 76.5, 8181.4, 1471.1, 967.7, 623.6, 15.2, 16.7, 3, 3, 86.5, 29.6, 485.4, 316.4, 2.4, 1.5, 20, 7.5, 2.8, 3.1, 0.1, 1.4, 0, 0.1, 1.3, 2.4, 18.9, 37.3, 0.2, 0.2, 0, 0, 0.1, 0.1, 0.1, 0, 0.05, 0.04, 0.13, 10.7, 0.2, 4.2, 0.1, 61.9, 0.03, 0, 
1, eco3, 3, 540517, -683.8, 1446.8, 15754.5, 613.1, 178.3, 12.1, 282.3, 0.46, 134, 1.9, 110.5, 76.9, 7290.8, 1327.5, 690.8, 514.4, 18.5, 21.2, 3.2, 3.2, 95.5, 44, 785.5, 521.8, 2.4, 1.5, 17.8, 6.6, 2.2, 2.6, 0.1, 1.8, 0, 0.1, 1.9, 3.9, 31.1, 61.6, 0.2, 0.3, 0, 0, 0.2, 0.2, 0.1, 0, 0.05, 0.11, 0.17, 0.2, 0, 4.5, 0.1, 100.9, 0.03, 0, 
2, eco1, 1, 457557, -375.2, 3252.9, 14481.7, 441.5, 126.3, 29.9, 238.4, 0.68, 259.9, 3.5, 146, 101.6, 6657.3, 1170, 2134.2, 660.6, 12.1, 20.7, 10.4, 10.6, 184.8, 141.4, 1746.6, 1180.1, 3.1, 1.9, 16.7, 6.3, 5.6, 3.3, 0.1, 1, 0.1, 0.4, 2.9, 11.3, 67.4, 139.2, 0, 0.1, 0, 0, 0.3, 0.6, 0.4, 0.1, 0.05, 0.16, 0.09, 38.9, 0.5, 1.7, 0.3, 223, 0.01, 0, 
2, eco2, 2, 903912, -516.5, 1024.7, 16384.9, 509.4, 146.2, 34.3, 293.1, 0.43, 101.3, 1.7, 169.4, 118, 7521.8, 1358.1, 1575.6, 676.7, 13, 23.6, 10.7, 11.2, 155.6, 52.5, 500.3, 316.4, 3.6, 2.4, 18.4, 6.9, 4.2, 3.4, 0.1, 1.2, 0.1, 0.4, 1.6, 3.2, 18.1, 37.3, 0, 0.1, 0, 0.1, 0.2, 0.2, 0.1, 0, 0.05, 0.14, 0.1, 26.1, 0.2, 0.8, 0.4, 62.4, 0.01, 0, 
2, eco3, 3, 540517, -558.6, 1485.4, 16152.9, 506.6, 145.4, 35.6, 281, 0.3, 137.2, 2.1, 177.3, 123.7, 7404.9, 1350.7, 905.1, 551, 14.4, 28, 10.5, 11.1, 129.6, 65.9, 768.2, 521.6, 3.8, 2.5, 18.1, 6.7, 2.7, 2.7, 0.1, 1.6, 0.1, 0.4, 2.2, 4.8, 29.7, 61.5, 0, 0.2, 0, 0, 0.3, 0.3, 0.4, 0, 0.05, 0.29, 0.1, 0.7, 0, 1.3, 0.4, 100.7, 0.01, 0, 
3, eco1, 1, 457557, -317.6, 3380.5, 13606.9, 442.2, 125.2, 37.8, 225.9, 0.61, 260.6, 4.2, 185.8, 129.2, 6202.4, 1093.9, 2455, 683.4, 16.4, 28.5, 15.8, 16.7, 280.8, 191.7, 1728.1, 1179.8, 3.9, 2.4, 15.7, 5.9, 6.4, 3.4, 0.1, 1.1, 0.1, 0.6, 3.1, 14, 64.3, 139.2, 0, 0, 0, 0.1, 0.4, 0.8, 0.2, 0.1, 0.05, 0.21, 0.11, 21.4, 0.2, 1.8, 0.4, 223, 0.01, 0, 
3, eco2, 2, 903912, -506.6, 1150.5, 16414.5, 525.9, 149.8, 46.1, 295.5, 0.36, 104.8, 1.9, 227.7, 158.5, 7477.7, 1352.7, 1778.5, 702.4, 19.4, 32.4, 16.8, 17.9, 226.4, 79.6, 528.2, 316.3, 4.9, 3.2, 18.3, 6.9, 4.7, 3.5, 0.1, 1.3, 0.1, 0.7, 2.2, 4.1, 17.3, 37.3, 0, 0, 0, 0.1, 0.3, 0.2, 0, 0, 0.05, 0.19, 0.09, 6.4, 0, 0.8, 0.5, 63.4, 0.01, 0, 
3, eco3, 3, 540517, -575.6, 1544.4, 16589.5, 541.6, 154.5, 47.8, 292.2, 0.26, 140.8, 2.3, 240.2, 167.4, 7546.5, 1378.4, 1099, 581.2, 20.4, 36.2, 17.1, 18.5, 168.5, 92.5, 762, 521.5, 5.2, 3.3, 18.4, 6.8, 3.2, 2.9, 0.1, 1.5, 0.1, 0.7, 2.7, 5.8, 28.4, 61.5, 0, 0, 0, 0.1, 0.3, 0.4, 0.4, 0, 0.05, 0.37, 0.09, 0.7, 0, 1.2, 0.5, 101, 0, 0, 
4, eco1, 1, 457557, -252.8, 3517.4, 12584.6, 405.5, 115.4, 42.6, 206.7, 0.62, 260.8, 4.2, 208.7, 145.3, 5704.4, 1010.4, 2751.1, 700.8, 20.9, 36, 20.9, 22.6, 370.9, 239.1, 1727.8, 1179.6, 4.3, 2.7, 14.4, 5.4, 7.1, 3.5, 0.1, 1.2, 0.1, 0.8, 3.4, 16.5, 61.6, 139.1, 0, -0.1, 0, 0.1, 0.4, 0.9, 0, 0.1, 0.05, 0.28, 0.09, 28.5, 0.3, 1.6, 0.4, 223.4, 0.01, 0, 
4, eco2, 2, 903912, -480.3, 1288.3, 16054, 522.7, 149.3, 54.8, 290.5, 0.31, 107.8, 2.1, 270.4, 188.4, 7271, 1317.8, 2052.9, 728.4, 26.3, 41.9, 23.5, 25.3, 295.8, 108.8, 567.5, 316.3, 5.7, 3.8, 17.8, 6.7, 5.4, 3.6, 0.1, 1.4, 0.1, 1, 2.7, 5.1, 16.8, 37.3, 0, -0.1, 0, 0.1, 0.3, 0.2, 0, 0, 0.05, 0.25, 0.07, 19.5, 0.1, 0.8, 0.5, 64.8, 0.01, 0, 
4, eco3, 3, 540517, -580.3, 1622.1, 16852, 558.3, 160, 58.3, 297, 0.23, 144.4, 2.4, 294, 205.1, 7620.3, 1394.5, 1330.9, 610.5, 28.3, 46.4, 24.1, 26.4, 212.5, 119.8, 768.4, 521.4, 6.3, 4.1, 18.6, 6.9, 3.7, 3, 0.1, 1.6, 0.1, 1, 3.1, 6.7, 27.3, 61.5, 0, -0.1, 0, 0.1, 0.4, 0.4, 0.3, 0, 0.05, 0.46, 0.07, 4.3, 0, 1.2, 0.6, 101.8, 0, 0, 
5, eco1, 1, 457557, -156, 3654.9, 11554, 337, 95.3, 44.3, 183.7, 0.67, 260.6, 4.1, 210.4, 146.6, 5212.8, 925.9, 2976.4, 712.3, 25, 42.7, 25.7, 28.1, 451.8, 283.3, 1740.2, 1179.5, 4.3, 2.7, 13.2, 4.9, 7.7, 3.6, 0.1, 1.3, 0.1, 1, 3.8, 18.8, 59.3, 139.1, 0, -0.1, 0, 0.1, 0.4, 0.9, -0.3, 0, 0.05, 0.25, 0.08, 34, 0.3, 1.4, 0.4, 224.2, 0.01, 0, 
5, eco2, 2, 903912, -392.9, 1447.3, 15703.6, 485.1, 137.5, 61.7, 278.8, 0.31, 110.2, 2.4, 296.9, 206.9, 7076.1, 1284.9, 2251.3, 744, 31.5, 50.3, 28.5, 31.3, 369.6, 141.8, 619.7, 316.3, 6.3, 4.1, 17.3, 6.5, 5.9, 3.7, 0.2, 1.6, 0.1, 1.2, 3.3, 6.1, 16.3, 37.3, 0.1, -0.1, 0, 0.2, 0.4, 0.3, -0.2, 0, 0.05, 0.26, 0.06, 20.7, 0.1, 0.9, 0.6, 66.4, 0, 0, 
5, eco3, 3, 540517, -504, 1724.6, 17127.4, 530.7, 150, 69.6, 298.4, 0.23, 147.5, 2.9, 331.5, 231.1, 7717.3, 1413.2, 1478.9, 630, 34.7, 56.5, 29.7, 33.2, 265.3, 151.6, 786.3, 521.3, 7, 4.6, 18.9, 6.9, 4.1, 3.1, 0.2, 1.8, 0.1, 1.2, 3.8, 7.7, 26.3, 61.5, 0.1, -0.1, 0, 0.2, 0.5, 0.5, 0.2, 0, 0.05, 0.44, 0.06, 0.8, 0, 1.4, 0.7, 102.8, 0, 0, 
