Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1950, eco1, 1, 161.91, 13.48, 15, 321, 0, 
1951, eco1, 1, 204.17, 10.81, 18, 287, 0, 
1952, eco1, 1, 157.57, 11.28, 0, 317, 0, 
1953, eco1, 1, 129.59, 11.49, 64, 310, 0, 
1954, eco1, 1, 133.79, 12.42, 0, 306, 0, 
1955, eco1, 1, 243.36, 11, 81, 288, 0, 
1956, eco1, 1, 216.74, 10.77, 0, 328, 0, 
1957, eco1, 1, 216.74, 10.77, 0, 328, 0, 
1958, eco1, 1, 133.79, 12.42, 0, 306, 0, 
1959, eco1, 1, 135.04, 12.41, 0, 309, 0, 
1960, eco1, 1, 205.14, 10.39, 56, 296, 0, 
1961, eco1, 1, 157.83, 11.9, 0, 365, 0, 
1962, eco1, 1, 199.05, 11.09, 0, 330, 0, 
1963, eco1, 1, 151.54, 11.75, 28, 321, 0, 
1964, eco1, 1, 183.99, 11.74, 65, 311, 0, 
1965, eco1, 1, 155.74, 11.44, 35, 314, 0, 
1966, eco1, 1, 146.55, 12.7, 16, 297, 0, 
1967, eco1, 1, 157.57, 11.28, 0, 317, 0, 
1968, eco1, 1, 145.63, 12.12, 79, 311, 0, 
1969, eco1, 1, 169.31, 10.23, 82, 285, 0, 
1970, eco1, 1, 128.81, 10.83, 67, 345, 0, 
1971, eco1, 1, 212.45, 11.28, 0, 365, 0, 
1972, eco1, 1, 143.11, 11.79, 39, 316, 0, 
1973, eco1, 1, 145.63, 12.12, 79, 311, 0, 
1974, eco1, 1, 133.79, 12.42, 0, 306, 0, 
1975, eco1, 1, 158.03, 11.52, 56, 314, 0, 
1976, eco1, 1, 252.59, 12.76, 20, 321, 0, 
1977, eco1, 1, 128.81, 10.83, 67, 345, 0, 
1978, eco1, 1, 204.32, 11.57, 20, 302, 0, 
1979, eco1, 1, 243.36, 11, 81, 288, 0, 
1980, eco1, 1, 160.07, 11.12, 0, 365, 0, 
1981, eco1, 1, 163.32, 12.56, 21, 297, 0, 
1982, eco1, 1, 252.59, 12.76, 20, 321, 0, 
1983, eco1, 1, 212.45, 11.28, 0, 365, 0, 
1984, eco1, 1, 145.63, 12.12, 79, 311, 0, 
1985, eco1, 1, 169.49, 10.25, 55, 295, 0, 
1986, eco1, 1, 143.66, 10.76, 30, 290, 0, 
1987, eco1, 1, 184.55, 11.68, 0, 365, 0, 
1988, eco1, 1, 155.74, 11.44, 35, 314, 0, 
1989, eco1, 1, 169.31, 10.23, 82, 285, 0, 
1990, eco1, 1, 168.42, 10.08, 89, 321, 0, 
1991, eco1, 1, 143.11, 11.79, 39, 316, 0, 
1992, eco1, 1, 157.83, 11.9, 0, 365, 0, 
1993, eco1, 1, 145.63, 12.12, 79, 311, 0, 
1994, eco1, 1, 155.66, 10.54, 54, 297, 0, 
1995, eco1, 1, 142.05, 10.82, 83, 304, 0, 
1996, eco1, 1, 170.19, 13.09, 0, 310, 0, 
1997, eco1, 1, 183.99, 11.74, 65, 311, 0, 
1998, eco1, 1, 131.37, 13.19, 0, 310, 0, 
1999, eco1, 1, 163.32, 12.56, 21, 297, 0, 
