Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,SoilWaterContent,
1, 7, eco1, 1, 457557, 1.9, 23.4, 2.22, 2.54, 1.39, 0.31, 0, 0, 0.77, 
1, 7, eco2, 2, 903912, 2.1, 21.4, 9.65, 2.03, 2.77, -7.62, 0, 0, 0.84, 
1, 7, eco3, 3, 540517, 4.1, 22.3, 27.81, 3.71, 7.78, -24.09, 0, 0, 1.57, 
1, 8, eco1, 1, 457557, 2.4, 22.2, 20.96, 3.82, 6.62, -17.14, 0, 0, 1.51, 
1, 8, eco2, 2, 903912, 5.1, 20.4, 102.24, 7.19, 27.35, -95.05, 0, 0, 2.59, 
1, 8, eco3, 3, 540517, 8.4, 21.2, 143.1, 17.48, 40.02, -125.62, 0, 0, 4.28, 
1, 9, eco1, 1, 457557, 0.6, 20.1, 28.15, 2.94, 8.2, -25.2, 0, 0, 1.3, 
1, 9, eco2, 2, 903912, 1.1, 19.3, 85.5, 4.27, 22.59, -81.23, 0, 0, 2.25, 
1, 9, eco3, 3, 540517, 1.3, 19.6, 119.33, 7.31, 32.16, -112.02, 0, 0, 3.5, 
1, 10, eco1, 1, 457557, 8.3, 13.5, 205.53, 24.07, 60.49, -181.46, 0, 0, 5.29, 
1, 10, eco2, 2, 903912, 17.2, 13.5, 164.26, 18.55, 44.72, -145.71, 0, 0, 10.15, 
1, 10, eco3, 3, 540517, 23.1, 13.1, 139.62, 16.06, 39.19, -123.56, 0, 0.02, 10.45, 
1, 11, eco1, 1, 457557, 22.5, 7.2, 57.54, 14.09, 20.12, -43.45, 0, 0.03, 12.55, 
1, 11, eco2, 2, 903912, 35.5, 8, 57.57, 11.21, 17.07, -46.37, 0, 0.03, 10.47, 
1, 11, eco3, 3, 540517, 46.5, 7, 47.59, 9.57, 14.96, -38.03, 0, 0.04, 7.09, 
1, 12, eco1, 1, 457557, 37.2, 3.9, 14.22, 10.92, 8.07, -3.3, 0, 0.03, 14.19, 
1, 12, eco2, 2, 903912, 59, 5.2, 26.34, 8.7, 8.85, -17.63, 0, 0.04, 6.03, 
1, 12, eco3, 3, 540517, 71.5, 4.2, 17.25, 7.43, 6.89, -9.82, 0, 0.02, 11.58, 
1, 1, eco1, 1, 457557, 40.3, 6.6, 43.8, 12.82, 16.61, -30.98, 0, 0.06, 6.39, 
1, 1, eco2, 2, 903912, 63.3, 6.8, 40.49, 9.31, 12.82, -31.17, 0, 0.04, 5.91, 
1, 1, eco3, 3, 540517, 76, 6.5, 39.41, 8.09, 13.02, -31.32, 0, 0.06, -3.1, 
1, 2, eco1, 1, 457557, 11.9, 8.2, 55.61, 14.12, 20.38, -41.48, 0, 0.01, 14.65, 
1, 2, eco2, 2, 903912, 20.3, 8.1, 49.57, 9.78, 15.47, -39.79, 0, 0.01, 13.56, 
1, 2, eco3, 3, 540517, 24.3, 7.4, 47.52, 8.11, 15.36, -39.41, 0, 0.01, 13.29, 
1, 3, eco1, 1, 457557, 25.3, 8, 50.5, 13.65, 19.09, -36.85, 0, 0.03, 10.59, 
1, 3, eco2, 2, 903912, 40.2, 8, 48.53, 9.4, 15.29, -39.13, 0, 0.03, 8.79, 
1, 3, eco3, 3, 540517, 50.2, 6.9, 43.12, 7.51, 14.21, -35.61, 0, 0.03, 5.45, 
1, 4, eco1, 1, 457557, 5.5, 10.6, 66.96, 16.59, 24.56, -50.37, 0, 0, 9.88, 
1, 4, eco2, 2, 903912, 9.2, 10.1, 62.08, 10.76, 19.2, -51.32, 0, 0, 10.65, 
1, 4, eco3, 3, 540517, 12.3, 9.3, 62.47, 8.43, 19.68, -54.04, 0, 0, 10.3, 
1, 5, eco1, 1, 457557, 4.6, 17.8, 80.72, 24.71, 31.3, -56.01, 0, 0, 8.7, 
1, 5, eco2, 2, 903912, 9.1, 15.9, 80.37, 15.72, 24.97, -64.65, 0, 0, 9.66, 
1, 5, eco3, 3, 540517, 13.3, 16.2, 85.29, 12.45, 27.02, -72.84, 0, 0.01, 9.08, 
1, 6, eco1, 1, 457557, 1.3, 19.4, 69.95, 17.82, 25.84, -52.14, 0, 0, 6.63, 
1, 6, eco2, 2, 903912, 2.5, 18.1, 73.43, 14.22, 23.08, -59.21, 0, 0, 7.8, 
1, 6, eco3, 3, 540517, 4.4, 18, 80.1, 11.12, 25.41, -68.98, 0, 0, 8.13, 
2, 7, eco1, 1, 457557, 0, 20.2, 51.82, 8.23, 16.73, -43.59, 0, 0, 4.66, 
2, 7, eco2, 2, 903912, 0.1, 19.2, 60.3, 8.05, 17.73, -52.25, 0, 0, 5.5, 
2, 7, eco3, 3, 540517, 0.5, 19.4, 66.84, 5.71, 19.64, -61.13, 0, 0, 5.89, 
2, 8, eco1, 1, 457557, 1.4, 18.6, 58.84, 8.32, 18.5, -50.52, 0, 0, 3.83, 
2, 8, eco2, 2, 903912, 1.5, 18.2, 62.68, 7.6, 18.22, -55.08, 0, 0, 4.47, 
2, 8, eco3, 3, 540517, 3.1, 18, 74.32, 7.24, 22.34, -67.08, 0, 0, 5.41, 
2, 9, eco1, 1, 457557, 1.4, 16.9, 63.74, 8.93, 20.02, -54.81, 0, 0, 3.27, 
2, 9, eco2, 2, 903912, 2.4, 16.9, 68.52, 9.87, 20.51, -58.65, 0, 0, 4.14, 
2, 9, eco3, 3, 540517, 3.5, 16.6, 78.31, 8.91, 24.29, -69.4, 0, 0, 5.23, 
2, 10, eco1, 1, 457557, 19.8, 10.6, 63.47, 17.53, 24.32, -45.94, 0, 0.01, 10.93, 
2, 10, eco2, 2, 903912, 34.5, 11.4, 66.73, 12.66, 21.41, -54.07, 0, 0.02, 10.55, 
2, 10, eco3, 3, 540517, 47.8, 10.4, 68.62, 8.52, 21.97, -60.1, 0, 0.01, 7.04, 
2, 11, eco1, 1, 457557, 26.4, 5, 23.31, 11.61, 11.76, -11.7, 0, 0.02, 11.48, 
2, 11, eco2, 2, 903912, 44, 6, 33.16, 8.61, 11.83, -24.54, 0, 0.02, 8.88, 
2, 11, eco3, 3, 540517, 55.5, 4.9, 25.72, 6.14, 9.95, -19.58, 0, 0.01, 6, 
2, 12, eco1, 1, 457557, 25, 3.1, 8.75, 10.24, 7.4, 1.49, 0, 0, 13.58, 
2, 12, eco2, 2, 903912, 40, 4.5, 19.12, 7.85, 8.03, -11.27, 0, 0.02, 10.19, 
2, 12, eco3, 3, 540517, 49, 3.3, 10.98, 5.64, 5.94, -5.34, 0, 0.01, 14.55, 
