SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 19, 1, 1, 2.35346190224867, Lightning, 
1, 128, 1, 1, 10.4603689218863, Rx, 
1, 130, 1, 1, 10.7414613183911, Rx, 
1, 131, 1, 1, 12.3721241048574, Rx, 
1, 133, 1, 1, 11.2568444410019, Rx, 
1, 134, 1, 1, 12.2958987404285, Rx, 
1, 135, 1, 1, 11.6225121273951, Rx, 
1, 137, 1, 1, 12.8281412251188, Rx, 
1, 143, 1, 1, 15.6356818035412, Accidental, 
1, 152, 1, 1, 16.9078240957732, Rx, 
1, 159, 1, 1, 44.9288037092832, Accidental, 
1, 161, 1, 1, 22.8562017486827, Rx, 
1, 162, 1, 1, 21.8574984266925, Rx, 
1, 165, 1, 1, 17.8350315463413, Rx, 
1, 166, 1, 1, 18.5455897716543, Rx, 
1, 167, 1, 1, 18.2277523512453, Rx, 
1, 168, 1, 1, 19.81843389064, Rx, 
1, 169, 1, 1, 16.6917894316457, Accidental, 
1, 169, 1, 1, 16.6917894316457, Rx, 
1, 190, 1, 1, 26.7543878532285, Accidental, 
1, 191, 1, 1, 26.8010781715654, Lightning, 
1, 202, 1, 1, 34.6429800862454, Lightning, 
1, 219, 1, 1, 36.9772835040449, Accidental, 
1, 221, 1, 1, 40.6080528878812, Lightning, 
1, 226, 1, 1, 26.8569935380852, Accidental, 
1, 245, 1, 1, 26.8552864407153, Lightning, 
1, 255, 1, 1, 32.5503005437173, Accidental, 
1, 267, 1, 1, 34.337011012838, Accidental, 
1, 269, 1, 1, 40.5845460730091, Accidental, 
1, 271, 1, 1, 39.1069639902146, Lightning, 
1, 313, 1, 1, 13.4774156720506, Lightning, 
2, 12, 1, 1, 5.69739724658821, Lightning, 
2, 155, 1, 1, 12.6441517566379, Rx, 
2, 156, 1, 1, 12.892690935185, Rx, 
2, 157, 1, 1, 13.9494817778492, Rx, 
2, 161, 1, 1, 10.4775765125727, Rx, 
2, 163, 1, 1, 12.8452561818271, Rx, 
2, 168, 1, 1, 13.183614821154, Rx, 
2, 169, 1, 1, 13.0880562454953, Rx, 
2, 182, 1, 1, 18.2860603949778, Rx, 
2, 183, 1, 1, 17.6054706327895, Rx, 
2, 184, 1, 1, 19.9600204049653, Rx, 
2, 187, 1, 1, 20.4262550418829, Rx, 
2, 188, 1, 1, 18.6863648000154, Rx, 
2, 189, 1, 1, 18.6822791044739, Rx, 
2, 190, 1, 1, 19.7562818220907, Rx, 
2, 191, 1, 1, 20.9349837629074, Rx, 
2, 226, 1, 1, 21.6327183893236, Accidental, 
2, 230, 1, 1, 26.9080181191273, Lightning, 
2, 241, 1, 1, 28.6039535297839, Accidental, 
2, 244, 1, 1, 45.8036949643217, Lightning, 
2, 248, 1, 1, 37.6549346341647, Accidental, 
2, 250, 1, 1, 27.2864010433498, Lightning, 
2, 273, 1, 1, 31.706568327633, Lightning, 
2, 274, 1, 1, 34.2376848741572, Lightning, 
2, 346, 1, 1, 1.47228655439751, Lightning, 
2, 358, 1, 1, 0.76399252556634, Lightning, 
3, 125, 1, 1, 8.64249141733652, Accidental, 
3, 128, 1, 1, 7.5999596603849, Accidental, 
3, 149, 1, 1, 11.1818400196643, Rx, 
3, 150, 1, 1, 10.9396994420387, Rx, 
3, 151, 1, 1, 11.0322170251253, Rx, 
3, 158, 1, 1, 10.0177375164867, Rx, 
3, 161, 1, 1, 11.5993384891529, Rx, 
3, 165, 1, 1, 12.0396136968445, Rx, 
3, 166, 1, 1, 12.551138154848, Rx, 
3, 169, 1, 1, 13.643290211135, Rx, 
3, 173, 1, 1, 14.607409514524, Rx, 
3, 174, 1, 1, 16.8711059411901, Rx, 
3, 187, 1, 1, 19.9847084887037, Rx, 
3, 194, 1, 1, 19.7054869138971, Rx, 
3, 195, 1, 1, 22.0622799564351, Rx, 
3, 196, 1, 1, 21.3254324866326, Rx, 
3, 197, 1, 1, 20.7922016642716, Rx, 
3, 228, 1, 1, 25.3961141244216, Lightning, 
3, 229, 1, 1, 24.3904446602045, Accidental, 
3, 239, 1, 1, 31.3786170876812, Lightning, 
3, 256, 1, 1, 23.9269574467667, Lightning, 
3, 273, 1, 1, 19.2776980837155, Lightning, 
4, 145, 1, 1, 12.750199595179, Rx, 
4, 148, 1, 1, 15.107408764504, Rx, 
4, 149, 1, 1, 13.0085867419702, Rx, 
4, 159, 1, 1, 11.3455831282725, Rx, 
4, 160, 1, 1, 12.3182523683423, Rx, 
4, 164, 1, 1, 19.4655819765164, Rx, 
4, 165, 1, 1, 15.3668959007023, Rx, 
4, 166, 1, 1, 12.9962179077242, Rx, 
4, 181, 1, 1, 20.4565496831902, Rx, 
4, 182, 1, 1, 16.8809131013069, Rx, 
4, 183, 1, 1, 17.3753438632545, Rx, 
4, 184, 1, 1, 20.1467162758886, Rx, 
4, 192, 1, 1, 24.5010340466182, Rx, 
4, 193, 1, 1, 23.4284637651937, Rx, 
4, 194, 1, 1, 22.4613476788777, Accidental, 
4, 194, 1, 1, 22.4613476788777, Rx, 
4, 200, 1, 1, 30.5538269827658, Accidental, 
4, 213, 1, 1, 23.1831930430446, Lightning, 
4, 241, 1, 1, 37.5884078928848, Lightning, 
4, 245, 1, 1, 37.2145465863579, Accidental, 
4, 247, 1, 1, 31.9387184297788, Accidental, 
4, 254, 1, 1, 53.416834861246, Lightning, 
4, 258, 1, 1, 30.4598785062509, Accidental, 
4, 263, 1, 1, 27.9211800066655, Lightning, 
4, 269, 1, 1, 20.7278079624197, Lightning, 
4, 275, 1, 1, 34.7560792030164, Lightning, 
4, 277, 1, 1, 41.468112778599, Lightning, 
4, 291, 1, 1, 15.8083142030749, Lightning, 
4, 330, 1, 1, 8.96720806952964, Lightning, 
5, 58, 1, 1, 1.38097913949714, Accidental, 
5, 118, 1, 1, 10.8091100031108, Accidental, 
5, 121, 1, 1, 16.1466158910583, Accidental, 
5, 144, 1, 1, 15.1589368619943, Rx, 
5, 145, 1, 1, 15.1777518823585, Rx, 
5, 147, 1, 1, 15.6256158827573, Rx, 
5, 149, 1, 1, 16.2927702184733, Rx, 
5, 151, 1, 1, 16.2503852014509, Rx, 
