Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, ArbuMenz, eco1, 72973, 1, 1, 0.44, 0.26, 201.98, 0, 319, 
1, ArbuMenz, eco2, 189199, 1, 1, 0.64, 0.38, 152.24, 0, 320, 
1, ArbuMenz, eco3, 116921, 0.97, 1, 0.69, 0.41, 132.28, 0, 312, 
1, Arctosta, eco1, 62373, 0.99, 1, 0.59, 0.36, 201.2, 0, 319, 
1, Arctosta, eco2, 151437, 0.99, 1, 0.72, 0.43, 151.78, 0, 320, 
1, Arctosta, eco3, 117711, 1, 1, 0.76, 0.45, 130.75, 0, 312, 
1, CaloDecu, eco1, 197708, 0.91, 1, 0.23, 0.14, 205.3, 0, 319, 
1, CaloDecu, eco2, 411504, 0.89, 1, 0.56, 0.34, 152.71, 0, 320, 
1, CaloDecu, eco3, 254753, 0.98, 1, 0.62, 0.37, 133.61, 0, 312, 
1, Ceanothu, eco1, 73196, 0.99, 1, 0.59, 0.36, 201.93, 0, 319, 
1, Ceanothu, eco2, 189421, 0.98, 1, 0.72, 0.43, 152.24, 0, 320, 
1, Ceanothu, eco3, 116970, 1, 1, 0.75, 0.45, 132.25, 0, 312, 
1, ChryChry, eco1, 82092, 0.87, 1, 0.24, 0.15, 203.19, 0, 319, 
1, ChryChry, eco2, 216930, 0.85, 1, 0.56, 0.34, 152.52, 0, 320, 
1, ChryChry, eco3, 124980, 0.95, 1, 0.62, 0.37, 134.14, 0, 312, 
1, Frangula, eco1, 82070, 1, 1, 0.44, 0.26, 203.23, 0, 319, 
1, Frangula, eco2, 216872, 1, 1, 0.64, 0.38, 152.52, 0, 320, 
1, Frangula, eco3, 125258, 0.99, 1, 0.68, 0.41, 134.12, 0, 312, 
1, Garrya, eco1, 198522, 0.98, 1, 0.53, 0.32, 205.3, 0, 319, 
1, Garrya, eco2, 411459, 0.97, 1, 0.69, 0.41, 152.68, 0, 320, 
1, Garrya, eco3, 255112, 1, 1, 0.72, 0.43, 133.61, 0, 312, 
1, GaulShal, eco1, 198130, 1, 1, 0.43, 0.26, 205.37, 0, 319, 
1, GaulShal, eco2, 411650, 1, 1, 0.64, 0.38, 152.7, 0, 320, 
1, GaulShal, eco3, 254600, 0.97, 1, 0.68, 0.41, 133.58, 0, 312, 
1, MahoNerv, eco1, 198231, 1, 1, 0.53, 0.32, 205.29, 0, 319, 
1, MahoNerv, eco2, 411287, 1, 1, 0.69, 0.41, 152.69, 0, 320, 
1, MahoNerv, eco3, 255330, 0.99, 1, 0.72, 0.43, 133.61, 0, 312, 
1, NothDens, eco1, 198488, 0.83, 1, 0.53, 0.32, 205.27, 0, 319, 
1, NothDens, eco2, 412412, 0.8, 1, 0.69, 0.41, 152.69, 0, 320, 
1, NothDens, eco3, 254749, 0.96, 1, 0.72, 0.43, 133.58, 0, 312, 
1, PinuJeff, eco1, 73329, 0.92, 1, 0.54, 0.32, 201.99, 0, 319, 
1, PinuJeff, eco2, 189470, 0.92, 1, 0.69, 0.41, 152.28, 0, 320, 
1, PinuJeff, eco3, 117161, 0.87, 1, 0.73, 0.44, 132.28, 0, 312, 
1, PinuLamb, eco1, 82010, 0.98, 1, 0.24, 0.15, 203.33, 0, 319, 
1, PinuLamb, eco2, 217072, 0.98, 1, 0.56, 0.34, 152.53, 0, 320, 
1, PinuLamb, eco3, 125222, 1, 1, 0.62, 0.37, 134.15, 0, 312, 
1, PinuMont, eco1, 73429, 0, 1, 0.44, 0, 201.89, 0, 319, 
1, PinuMont, eco2, 189676, 0, 1, 0.64, 0, 152.28, 0, 320, 
1, PinuMont, eco3, 116955, 0.15, 1, 0.69, 0.09, 132.2, 0, 312, 
1, PseuMenz, eco1, 82030, 1, 1, 0.24, 0.15, 203.21, 0, 319, 
1, PseuMenz, eco2, 217039, 1, 1, 0.56, 0.34, 152.51, 0, 320, 
1, PseuMenz, eco3, 125066, 0.98, 1, 0.62, 0.37, 134.15, 0, 312, 
1, Quercus, eco1, 73504, 0.99, 1, 0.59, 0.36, 201.85, 0, 319, 
1, Quercus, eco2, 189513, 0.99, 1, 0.72, 0.43, 152.24, 0, 320, 
1, Quercus, eco3, 117435, 0.96, 1, 0.75, 0.45, 132.25, 0, 312, 
1, Rhododen, eco1, 197834, 0.29, 1, 0.43, 0.17, 205.28, 0, 319, 
1, Rhododen, eco2, 410922, 0.24, 1, 0.64, 0.14, 152.7, 0, 320, 
1, Rhododen, eco3, 255078, 0.56, 1, 0.68, 0.34, 133.57, 0, 312, 
1, Rubus, eco1, 82015, 1, 1, 0.54, 0.32, 203.1, 0, 319, 
1, Rubus, eco2, 217581, 1, 1, 0.69, 0.41, 152.53, 0, 320, 
1, Rubus, eco3, 125200, 1, 1, 0.72, 0.43, 134.15, 0, 312, 
1, Vacciniu, eco1, 198479, 0.94, 1, 0.53, 0.32, 205.33, 0, 319, 
1, Vacciniu, eco2, 412112, 0.94, 1, 0.69, 0.41, 152.7, 0, 320, 
1, Vacciniu, eco3, 254970, 0.9, 1, 0.72, 0.43, 133.6, 0, 312, 
1, WhipMode, eco1, 198392, 1, 1, 0.53, 0.32, 205.26, 0, 319, 
1, WhipMode, eco2, 410979, 1, 1, 0.69, 0.41, 152.7, 0, 320, 
1, WhipMode, eco3, 255522, 0.97, 1, 0.72, 0.43, 133.57, 0, 312, 
2, ArbuMenz, eco1, 79622, 0.95, 1, 0.45, 0.27, 175.08, 0, 275, 
2, ArbuMenz, eco2, 132041, 0.98, 1, 0.6, 0.36, 147.51, 0, 288, 
2, ArbuMenz, eco3, 90305, 0.99, 1, 0.71, 0.43, 109.22, 0, 278, 
2, Arctosta, eco1, 98337, 0.86, 1, 0.59, 0.35, 175.38, 0, 275, 
2, Arctosta, eco2, 140633, 0.91, 1, 0.69, 0.41, 148.23, 0, 288, 
2, Arctosta, eco3, 98901, 0.95, 1, 0.77, 0.46, 109.17, 0, 278, 
2, CaloDecu, eco1, 169254, 0.47, 1, 0.28, 0.16, 175.66, 0, 275, 
2, CaloDecu, eco2, 388153, 0.62, 1, 0.51, 0.3, 147.4, 0, 288, 
2, CaloDecu, eco3, 242793, 0.73, 1, 0.66, 0.39, 110.47, 0, 278, 
2, Ceanothu, eco1, 79785, 0.83, 1, 0.59, 0.36, 175.04, 0, 275, 
2, Ceanothu, eco2, 132145, 0.89, 1, 0.69, 0.41, 147.54, 0, 288, 
2, Ceanothu, eco3, 90510, 0.93, 1, 0.77, 0.46, 109.21, 0, 278, 
2, ChryChry, eco1, 44654, 0.42, 1, 0.29, 0.16, 174.61, 0, 275, 
2, ChryChry, eco2, 92830, 0.57, 1, 0.51, 0.3, 145.9, 0, 288, 
2, ChryChry, eco3, 71842, 0.68, 1, 0.66, 0.39, 109.87, 0, 278, 
2, Frangula, eco1, 44300, 0.94, 1, 0.45, 0.27, 174.57, 0, 275, 
2, Frangula, eco2, 92640, 0.97, 1, 0.6, 0.36, 145.93, 0, 288, 
2, Frangula, eco3, 72064, 0.99, 1, 0.71, 0.43, 109.9, 0, 278, 
2, Garrya, eco1, 168995, 0.61, 1, 0.54, 0.32, 175.67, 0, 275, 
2, Garrya, eco2, 387325, 0.75, 1, 0.65, 0.39, 147.41, 0, 288, 
2, Garrya, eco3, 242976, 0.84, 1, 0.75, 0.45, 110.48, 0, 278, 
2, GaulShal, eco1, 169106, 0.95, 1, 0.45, 0.27, 175.74, 0, 275, 
2, GaulShal, eco2, 387576, 0.98, 1, 0.6, 0.36, 147.41, 0, 288, 
