SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 13, 1, 1, 1.82658761289684, Lightning, 
1, 88, 1, 1, 5.68452710510942, Accidental, 
1, 183, 1, 1, 19.3008319486926, Lightning, 
1, 223, 1, 1, 27.7564774471021, Accidental, 
1, 236, 1, 1, 22.8630483101588, Lightning, 
1, 252, 1, 1, 37.6800883562098, Accidental, 
1, 259, 1, 1, 41.6163750061156, Lightning, 
2, 184, 1, 1, 25.2045860682853, Accidental, 
2, 184, 1, 1, 25.2045860682853, Lightning, 
2, 209, 1, 1, 26.1549549345009, Accidental, 
2, 231, 1, 1, 43.8325777866314, Lightning, 
2, 251, 1, 1, 40.5626502796025, Lightning, 
2, 253, 1, 1, 35.3329915032499, Lightning, 
2, 256, 1, 1, 32.6280209186069, Lightning, 
2, 260, 1, 1, 29.0900337002115, Accidental, 
2, 291, 1, 1, 27.9092420429, Accidental, 
3, 149, 1, 1, 17.9000778255105, Accidental, 
3, 166, 1, 1, 17.5482452401078, Accidental, 
3, 176, 1, 1, 25.6192553334335, Accidental, 
3, 209, 1, 1, 30.3044037721893, Lightning, 
3, 211, 1, 1, 29.4661428009725, Accidental, 
3, 220, 1, 1, 32.9015202351274, Lightning, 
3, 224, 1, 1, 27.5710736916724, Lightning, 
3, 232, 1, 1, 27.4978682080864, Lightning, 
3, 302, 1, 1, 29.4555189583977, Lightning, 
4, 100, 1, 1, 3.86151411090822, Accidental, 
4, 165, 1, 1, 26.3505870559475, Lightning, 
4, 166, 1, 1, 27.31014516476, Accidental, 
4, 175, 1, 1, 22.8799783614246, Accidental, 
4, 179, 1, 1, 35.3721668588483, Accidental, 
4, 229, 1, 1, 21.783906575231, Accidental, 
4, 239, 1, 1, 43.826269259351, Lightning, 
4, 250, 1, 1, 39.9816957860644, Accidental, 
4, 270, 1, 1, 28.8219303458594, Accidental, 
4, 273, 1, 1, 25.1619485704389, Lightning, 
4, 288, 1, 1, 31.9649234201081, Lightning, 
4, 289, 1, 1, 34.8828393245403, Lightning, 
4, 316, 1, 1, 16.4644743273453, Lightning, 
5, 63, 1, 1, 1.86358778397475, Accidental, 
5, 188, 1, 1, 32.0968490664733, Lightning, 
5, 225, 1, 1, 34.6141922305155, Accidental, 
5, 227, 1, 1, 30.8256623008228, Accidental, 
5, 228, 1, 1, 24.8922016382744, Lightning, 
5, 242, 1, 1, 38.7284416723444, Accidental, 
5, 248, 1, 1, 38.5498093762993, Accidental, 
5, 274, 1, 1, 33.3963802495495, Lightning, 
5, 290, 1, 1, 29.8075188401716, Lightning, 
5, 291, 1, 1, 42.0385303265944, Lightning, 
5, 293, 1, 1, 34.5397502211876, Accidental, 
5, 294, 1, 1, 35.6145230033254, Accidental, 
6, 134, 1, 1, 20.9159447937069, Lightning, 
6, 190, 1, 1, 19.5787927219918, Accidental, 
6, 193, 1, 1, 27.6917226830192, Accidental, 
6, 200, 1, 1, 24.0472176319216, Lightning, 
6, 206, 1, 1, 25.4205280509787, Accidental, 
