Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1533.5, 18275.9, 0, 4, 126.3, 
1, -747.2, 1608.8, 17419.3, 670.7, 0.46, 888.7, 
2, -578.5, 1678.1, 17408.5, 556.7, 0.41, 1200.9, 
3, -520.3, 1788.9, 16402.9, 548.6, 0.39, 1709.6, 
4, -454.1, 1908.3, 16211.6, 504.8, 0.37, 1936.9, 
5, -370.4, 2042, 15288.3, 458.2, 0.35, 2281, 
6, -356.4, 2200, 15237.3, 479.8, 0.38, 2376.3, 
7, -345.7, 2385.6, 14921.1, 526.2, 0.4, 2515.1, 
8, -365.3, 2550.3, 15154.2, 532.3, 0.35, 2524.7, 
9, -302.1, 2705.9, 14658.1, 480.7, 0.36, 2697.9, 
10, -299.7, 2863.4, 14620.8, 483.6, 0.41, 2742.8, 
11, -199.8, 3040.7, 14421.6, 468.6, 0.38, 2764.6, 
12, -253.4, 3179, 14329.1, 453.1, 0.35, 2822.6, 
13, -199.8, 3335.2, 14138.1, 465.8, 0.39, 2856.9, 
14, -217, 3482.2, 14204.6, 475.5, 0.4, 2836.7, 
15, -246.9, 3622.9, 14294.7, 504.4, 0.4, 2827.8, 
16, -160.1, 3747.5, 13573.7, 426.6, 0.41, 2989.9, 
17, -98.6, 3890.6, 13171.7, 422.4, 0.47, 3006.1, 
18, -162, 4017.4, 13200, 441.1, 0.47, 2975, 
19, -119.3, 4136, 13295.2, 407, 0.48, 2916.3, 
20, -158, 4254.1, 13390.1, 470.4, 0.48, 2855.2, 
21, -172.1, 4362.3, 13588.7, 478, 0.49, 2801.2, 
22, -178.7, 4471.4, 13836.3, 530.9, 0.52, 2727.3, 
23, -138, 4563.7, 13935.7, 481.3, 0.54, 2684.2, 
24, -177, 4647.5, 13772.8, 470.1, 0.58, 2747.8, 
25, -99.4, 4731.8, 13592.3, 419.2, 0.59, 2764.8, 
26, -139, 4821.3, 13740.6, 472.7, 0.62, 2723.2, 
27, -185.3, 4899.1, 13880.2, 482.6, 0.61, 2720.4, 
28, -132.5, 4979.6, 13779.5, 476.1, 0.62, 2746.5, 
29, -90.8, 5053.6, 13802.8, 419.5, 0.62, 2724.2, 
30, -108.5, 5123.8, 13994.1, 460.8, 0.64, 2664.3, 
31, -116.5, 5182.8, 13885.8, 384.6, 0.67, 2716.3, 
32, -109.1, 5250.8, 13851.5, 421.7, 0.7, 2739.4, 
33, -108.9, 5314.8, 13917.3, 457.2, 0.71, 2720.1, 
34, -117.1, 5379.1, 13801.1, 457.4, 0.75, 2757.5, 
35, -56, 5442.8, 13664.4, 433.4, 0.8, 2750.5, 
36, -78.3, 5501.8, 13774.1, 446.5, 0.85, 2703.4, 
37, -54.8, 5555.2, 13577.5, 436.6, 0.91, 2733.2, 
38, -121.7, 5607.9, 13769.1, 497.9, 0.99, 2688.3, 
39, -27.3, 5653.3, 13870.4, 482.6, 1.1, 2610.5, 
40, -88.8, 5688, 13917.5, 424.4, 1.12, 2599.5, 
41, -76.5, 5724, 14104.8, 498.1, 1.27, 2538.9, 
42, -70.6, 5755.2, 14169.8, 413.2, 1.27, 2528.2, 
43, -83.4, 5782.7, 13884.2, 407.4, 1.36, 2619.5, 
44, -116.5, 5824.2, 13849.2, 443.6, 1.4, 2660.7, 
45, -62.4, 5869.6, 13862.4, 435.8, 1.39, 2647, 
46, -58.6, 5905.6, 13971.9, 451, 1.46, 2607.1, 
47, -122.4, 5939, 14047.2, 451.6, 1.51, 2621.9, 
48, -66.9, 5972.7, 14072.8, 399.2, 1.62, 2622, 
49, -94.5, 6008.7, 14042.5, 467.2, 1.68, 2647.4, 
50, -33.8, 6040.5, 13921.3, 363.1, 1.71, 2654.5, 
51, -19.2, 6072.9, 13841.3, 393.5, 1.81, 2656.1, 
