EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
1, 1, 2998, 279, 4.96807492513051, 85, 132, Accidental, 1, 143, 3208, 3272, 15.9570305324685, 13.0199347680167, 182.503173391796, 0, 4.97, 0.401373168580226, 0, 0, 0.256000720204173, 0.045993717948718, 92.4685314685315, 285.43, 3652237, 
2, 1, 284, 1453, 10.3441986138407, 100, 79, Lightning, 9, 7392, 131354, 143609, 10.2786777538371, 13.1259130309005, 254.178396658137, 0.807739142199973, 11.74, 0.450216213745264, 0, 0, 0.336568539730906, 0.0323953794642855, 495.619724025974, 508.75, 139145273, 
3, 1, 373, 1416, 9.862317123975, 103, 90, Lightning, 2, 1729, 34705, 38657, 9.1274006163108, 12.5611548852181, 320.870240340026, 0.266203703703704, 10.49, 0.442820568396435, 0, 0, 0.359503745459074, 0.0397858760362445, 879.770965876229, 544.19, 40276315, 
4, 1, 2501, 124, 9.27079548467086, 106, 0, Rx, 1, 156, 2291, 2313, 4.57178983875068, 5.90353698129411, 288.610641442191, 0, 9.27, 1, 0, 0, 0.293788719177246, 0.0275700192307692, 2282.04487179487, 1677.04, 3438696, 
5, 1, 3909, 471, 8.93104792233356, 128, 0, Rx, 1, 156, 2344, 2352, 7.209298428619, 11.0056985462073, 117.507671405303, 0, 8.93, 1, 0, 0, 0.292327324549357, 0.00822228846153847, 41.8589743589744, 733.72, 2515700, 
6, 1, 897, 1242, 14.3996412113107, 136, 106, Lightning, 175, 41264, 724990, 855591, 10.9854792501425, 12.9781772311613, 106.039019713682, 0.273126045125173, 15.67, 0.4804157206237, 0, 0, 0.352300757887105, 0.0350526141996232, 770.519338891043, 672.66, 776045622, 
7, 1, 2763, 501, 11.6801906457837, 139, 0, Rx, 1, 156, 2960, 2975, 6.754693613325, 6.32132449093703, 44.595414359718, 0, 11.68, 1, 0, 0, 0.335417807652399, 0.0662003034188033, 605.641025641026, 1871.49, 3918477, 
8, 1, 817, 982, 14.116131878118, 145, 0, Rx, 1, 156, 3713, 3789, 8.54609207104429, 11.1838790347521, 73.9932552116383, 0, 14.12, 1, 0, 0, 0.354553338075295, 0.068705764957265, 568.00641025641, 380.96, 4470291, 
9, 1, 1480, 816, 9.74405333423285, 146, 0, Rx, 1, 156, 2475, 2477, 6.81111555589041, 5.56044294482844, 58.1307921468287, 0, 9.74, 1, 0, 0, 0.332901611328125, 0.117502611111111, 388.442307692308, 1953.69, 2387439, 
10, 1, 4876, 1066, 15.9659150527848, 162, 84, Accidental, 122, 21299, 419040, 452236, 10.1626937828166, 11.8407767354747, 131.742763976955, 0.839045919804676, 18.05, 0.490367341861789, 0, 0, 0.237278261580486, 0.0306569421569068, 337.499647870792, 790.25, 543101191, 
11, 1, 2685, 511, 18.5899503063428, 177, 131, Accidental, 124, 31708, 468029, 560813, 9.39179689589178, 13.422460827297, 134.870293564445, 0.199955845712303, 13.89, 0.471173484215327, 0, 0, 0.303003248278118, 0.0458517051742987, 431.168033303898, 693.65, 490565977, 
12, 1, 2725, 414, 3.23644377143724, 311, 151, Accidental, 1, 10, 128, 131, 4.5848190761554, 10.203323030195, 239.331464855231, 2.22222222222222, 3.24, 0.377039151452468, 0, 0, 0.264125156402588, 0.0448239, 113.4, 1074.8, 90739, 
13, 1, 3016, 284, 4.74157403547543, 320, 121, Accidental, 1, 273, 5421, 5840, 13.6160385272465, 14.8401529488958, 155.353092823117, 0.0735294117647059, 4.74, 0.414534088903234, 0, 0, 0.270788794507038, 0.0435776080586079, 180.695970695971, 215.09, 5802562, 
14, 2, 3005, 292, 9.08970298308405, 106, 119, Accidental, 3, 3069, 27000, 58802, 17.5299780968624, 18.42281228628, 200.117972617216, 0.104302477183833, 8.2, 0.449843000932361, 701.335648291997, 538.576949367385, 0.278715971669833, 0.012136687175344, 192.689475399153, 104.02, 28957860, 
