Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
1, ArbuMenz, 0, 0, 31322, 88589, 
1, Arctosta, 0, 0, 17428, 119443, 
1, CaloDecu, 0, 0, 0, 178550, 
1, Ceanothu, 0, 0, 0, 34558, 
1, ChryChry, 0, 0, 1056, 44892, 
1, Frangula, 0, 0, 167, 31286, 
1, Garrya, 0, 0, 7, 82859, 
1, GaulShal, 0, 0, 800, 33704, 
1, MahoNerv, 0, 0, 882, 13859, 
1, NothDens, 0, 0, 3252, 183579, 
1, PinuJeff, 0, 0, 0, 86343, 
1, PinuLamb, 0, 0, 0, 64070, 
1, PinuMont, 0, 0, 0, 0, 
1, PseuMenz, 0, 0, 0, 110342, 
1, Quercus, 0, 0, 2769, 105372, 
1, Rhododen, 0, 0, 282, 11272, 
1, Rubus, 0, 0, 257, 16357, 
1, Vacciniu, 0, 0, 440, 155458, 
1, WhipMode, 0, 0, 697, 82564, 
2, ArbuMenz, 0, 0, 30222, 73334, 
2, Arctosta, 0, 0, 19905, 112749, 
2, CaloDecu, 0, 0, 0, 172210, 
2, Ceanothu, 0, 0, 0, 33350, 
2, ChryChry, 0, 0, 1876, 20836, 
2, Frangula, 0, 0, 508, 17591, 
2, Garrya, 0, 0, 110, 76552, 
2, GaulShal, 0, 0, 719, 36592, 
2, MahoNerv, 0, 0, 10, 14826, 
2, NothDens, 0, 0, 7681, 35810, 
2, PinuJeff, 0, 0, 0, 77655, 
2, PinuLamb, 0, 0, 0, 46338, 
2, PinuMont, 0, 0, 0, 0, 
2, PseuMenz, 0, 0, 0, 62336, 
2, Quercus, 0, 0, 4803, 82954, 
2, Rhododen, 0, 0, 244, 0, 
2, Rubus, 0, 0, 20, 11367, 
2, Vacciniu, 0, 0, 1010, 157076, 
2, WhipMode, 0, 0, 206, 88005, 
3, ArbuMenz, 0, 0, 48268, 67134, 
3, Arctosta, 0, 0, 36367, 117982, 
3, CaloDecu, 0, 0, 0, 152282, 
3, Ceanothu, 0, 0, 0, 28688, 
3, ChryChry, 0, 0, 2701, 16834, 
3, Frangula, 0, 0, 711, 14201, 
3, Garrya, 0, 0, 226, 72033, 
3, GaulShal, 0, 0, 1196, 31640, 
3, MahoNerv, 0, 0, 202, 12551, 
3, NothDens, 0, 0, 10952, 52093, 
3, PinuJeff, 0, 0, 0, 74676, 
3, PinuLamb, 0, 0, 0, 39779, 
3, PinuMont, 0, 0, 0, 0, 
3, PseuMenz, 0, 0, 0, 53807, 
3, Quercus, 0, 0, 8128, 80227, 
3, Rhododen, 0, 0, 409, 0, 
3, Rubus, 0, 0, 206, 9646, 
3, Vacciniu, 0, 0, 1385, 135986, 
3, WhipMode, 0, 0, 916, 77422, 
4, ArbuMenz, 0, 0, 30891, 58753, 
4, Arctosta, 0, 0, 22119, 113095, 
4, CaloDecu, 0, 0, 0, 114637, 
4, Ceanothu, 0, 0, 0, 23313, 
4, ChryChry, 0, 0, 1396, 13275, 
4, Frangula, 0, 0, 495, 11020, 
4, Garrya, 0, 0, 219, 62715, 
4, GaulShal, 0, 0, 721, 24653, 
4, MahoNerv, 0, 0, 44, 10434, 
4, NothDens, 0, 0, 5813, 134468, 
4, PinuJeff, 0, 0, 0, 62399, 
4, PinuLamb, 0, 0, 0, 26796, 
4, PinuMont, 0, 0, 0, 0, 
4, PseuMenz, 0, 0, 0, 35886, 
4, Quercus, 0, 0, 5747, 71218, 
4, Rhododen, 0, 0, 323, 5642, 
4, Rubus, 0, 0, 57, 8354, 
4, Vacciniu, 0, 0, 716, 110199, 
4, WhipMode, 0, 0, 353, 63723, 
5, ArbuMenz, 0, 0, 28783, 60907, 
5, Arctosta, 0, 0, 16992, 110511, 
5, CaloDecu, 46926, 0, 0, 94417, 
5, Ceanothu, 0, 0, 0, 22325, 
5, ChryChry, 0, 0, 1856, 11538, 
5, Frangula, 0, 0, 377, 10797, 
5, Garrya, 0, 0, 207, 59647, 
5, GaulShal, 0, 0, 880, 21371, 
5, MahoNerv, 0, 0, 193, 8639, 
5, NothDens, 0, 0, 7902, 118255, 
5, PinuJeff, 0, 0, 0, 62102, 
5, PinuLamb, 0, 0, 0, 24996, 
5, PinuMont, 0, 0, 0, 0, 
5, PseuMenz, 47223, 0, 0, 35021, 
5, Quercus, 0, 0, 4442, 68774, 
5, Rhododen, 0, 0, 272, 1170, 
5, Rubus, 0, 0, 165, 14318, 
5, Vacciniu, 0, 0, 1015, 101117, 
5, WhipMode, 0, 0, 811, 62863, 
6, ArbuMenz, 0, 0, 12615, 31615, 
6, Arctosta, 0, 0, 5284, 87623, 
6, CaloDecu, 0, 0, 0, 5260, 
6, Ceanothu, 0, 0, 0, 16897, 
6, ChryChry, 0, 0, 644, 587, 
6, Frangula, 0, 0, 116, 5929, 
6, Garrya, 0, 0, 17, 23370, 
6, GaulShal, 0, 0, 301, 12928, 
6, MahoNerv, 0, 0, 16, 6608, 
6, NothDens, 0, 0, 2130, 0, 
6, PinuJeff, 0, 0, 0, 42288, 
6, PinuLamb, 0, 0, 0, 3010, 
6, PinuMont, 0, 0, 0, 0, 
