Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,SoilWaterContent,
1, 7, eco1, 1, 457557, 3.4, 22.3, 21.21, 3.15, 6.53, -18.06, 0, 0, 1.35, 
1, 7, eco2, 2, 903912, 4, 21.6, 38.8, 3.07, 10.42, -35.72, 0, 0, 1.56, 
1, 7, eco3, 3, 540517, 6.6, 21.5, 76.45, 7.2, 20.91, -69.25, 0, 0, 2.53, 
1, 8, eco1, 1, 457557, 0.2, 21, 5.43, 1.83, 2.04, -3.6, 0, 0, 1.03, 
1, 8, eco2, 2, 903912, 0.4, 20.5, 13.87, 1.66, 3.82, -12.21, 0, 0, 1.23, 
1, 8, eco3, 3, 540517, 0.5, 20.2, 41.29, 2.7, 11.13, -38.58, 0, 0, 1.97, 
1, 9, eco1, 1, 457557, 6.9, 18.7, 209.53, 17.6, 59.83, -191.93, 0, 0, 3.48, 
1, 9, eco2, 2, 903912, 12.3, 18.7, 234.02, 22.72, 63.11, -211.3, 0, 0, 6.8, 
1, 9, eco3, 3, 540517, 19, 18.4, 213, 26.08, 59.26, -186.92, 0, 0.01, 8.64, 
1, 10, eco1, 1, 457557, 19, 12.6, 153.93, 18.29, 46.06, -135.64, 0, 0.01, 10.55, 
1, 10, eco2, 2, 903912, 35.7, 13.6, 150.7, 13.9, 40.85, -136.8, 0, 0.02, 9.86, 
1, 10, eco3, 3, 540517, 50.1, 12.4, 123.09, 14.09, 34.88, -109, 0, 0.04, 5.84, 
1, 11, eco1, 1, 457557, 9.1, 8, 59.93, 12.37, 20.82, -47.56, 0, 0, 11.96, 
1, 11, eco2, 2, 903912, 15.1, 8.8, 64.33, 9.05, 18.78, -55.28, 0, 0.01, 13.53, 
1, 11, eco3, 3, 540517, 20, 7.9, 55.54, 9.38, 17.15, -46.16, 0, 0.01, 12.31, 
1, 12, eco1, 1, 457557, 25.3, 5.2, 28.96, 9.9, 12.15, -19.05, 0, 0.02, 11.62, 
1, 12, eco2, 2, 903912, 38.6, 6.5, 41.4, 7.35, 12.87, -34.04, 0, 0.02, 9.46, 
1, 12, eco3, 3, 540517, 49.3, 5.4, 29.54, 7.5, 10.28, -22.05, 0, 0.03, 6.24, 
1, 1, eco1, 1, 457557, 17.6, 6.1, 38.17, 10.27, 14.88, -27.9, 0, 0.02, 12.81, 
1, 1, eco2, 2, 903912, 28.2, 7.1, 45.77, 7.3, 14.16, -38.47, 0, 0.01, 11.99, 
1, 1, eco3, 3, 540517, 34.9, 6.2, 36.58, 7.44, 12.29, -29.13, 0, 0.02, 10.17, 
1, 2, eco1, 1, 457557, 17.7, 5.5, 32.07, 9.67, 13.19, -22.4, 0, 0.02, 12.69, 
1, 2, eco2, 2, 903912, 31.2, 6.4, 40.22, 6.78, 12.71, -33.45, 0, 0.01, 11.08, 
1, 2, eco3, 3, 540517, 37.2, 5.2, 27.41, 6.7, 9.82, -20.71, 0, 0.02, 9.1, 
1, 3, eco1, 1, 457557, 7.3, 6.5, 41.21, 10.2, 15.95, -31.01, 0, 0, 12.36, 
1, 3, eco2, 2, 903912, 12.3, 7, 45.17, 6.89, 14.16, -38.28, 0, 0, 13.6, 
1, 3, eco3, 3, 540517, 15.2, 5.8, 33.08, 6.71, 11.44, -26.37, 0, 0.01, 12.8, 
1, 4, eco1, 1, 457557, 5.4, 10.9, 74.29, 13.59, 26.08, -60.7, 0, 0, 10.27, 
1, 4, eco2, 2, 903912, 10.3, 10.5, 69.72, 8.55, 21.03, -61.17, 0, 0, 12.09, 
1, 4, eco3, 3, 540517, 13.6, 9.7, 64.95, 8.29, 20.4, -56.66, 0, 0.01, 11.07, 
1, 5, eco1, 1, 457557, 6.7, 13.1, 84.11, 15.5, 29.4, -68.61, 0, 0, 9.49, 
1, 5, eco2, 2, 903912, 13.1, 13.2, 81.67, 10.03, 24.4, -71.65, 0, 0, 10.87, 
1, 5, eco3, 3, 540517, 18.3, 12, 76.87, 9.28, 23.88, -67.59, 0, 0.01, 9.85, 
1, 6, eco1, 1, 457557, 0.4, 18.9, 77.81, 13.48, 26.79, -64.33, 0, 0, 6.8, 
1, 6, eco2, 2, 903912, 1.2, 18.3, 79.11, 10.52, 23.9, -68.59, 0, 0, 8.1, 
1, 6, eco3, 3, 540517, 1.6, 17.7, 78.17, 9.12, 23.98, -69.05, 0, 0, 7.56, 
2, 7, eco1, 1, 457557, 3.1, 23.4, 39.25, 15.76, 17.07, -23.48, 0, 0, 6.04, 
2, 7, eco2, 2, 903912, 6.5, 22.3, 62.02, 14.5, 21.26, -47.52, 0, 0, 8.28, 
2, 7, eco3, 3, 540517, 9.1, 22.5, 59.42, 16.31, 22.48, -43.11, 0, 0, 8.21, 
2, 8, eco1, 1, 457557, 0.5, 22.6, 37.95, 9.14, 13.76, -28.81, 0, 0, 4.45, 
2, 8, eco2, 2, 903912, 0.7, 22, 55.94, 8.34, 17.41, -47.6, 0, 0, 6.09, 
2, 8, eco3, 3, 540517, 1.3, 21.9, 55.07, 8.75, 17.94, -46.32, 0, 0, 6.29, 
2, 9, eco1, 1, 457557, 1.2, 18.2, 65.93, 11.6, 21.78, -54.33, 0, 0, 3.63, 
2, 9, eco2, 2, 903912, 1.9, 18.3, 76.61, 9.92, 23.19, -66.7, 0, 0, 5.04, 
2, 9, eco3, 3, 540517, 2.6, 18, 75.17, 10.4, 23.79, -64.77, 0, 0, 5.47, 
2, 10, eco1, 1, 457557, 8, 14.8, 78.27, 23.55, 30.46, -54.71, 0, 0, 6.48, 
2, 10, eco2, 2, 903912, 13.1, 14.9, 82.66, 12.61, 25.99, -70.04, 0, 0, 9.78, 
2, 10, eco3, 3, 540517, 18.3, 14.5, 79.32, 12.15, 25.95, -67.17, 0, 0, 10.19, 
2, 11, eco1, 1, 457557, 39.2, 7.2, 42.29, 13.43, 17.51, -28.86, 0, 0.02, 9.8, 
2, 11, eco2, 2, 903912, 61.3, 8.3, 57.27, 8.19, 18.28, -49.08, 0, 0.02, 5.42, 
2, 11, eco3, 3, 540517, 80.7, 7.1, 45.16, 7.59, 15.48, -37.57, 0, 0.02, -0.01, 
2, 12, eco1, 1, 457557, 17.5, 4.7, 21.29, 11.45, 11.25, -9.84, 0, 0.01, 13.62, 
2, 12, eco2, 2, 903912, 29.8, 6.1, 37.18, 7.24, 12.9, -29.94, 0, 0.01, 12.7, 
2, 12, eco3, 3, 540517, 36.5, 5, 24.75, 6.75, 9.92, -18.01, 0, 0.01, 11.3, 
