EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
1, 1, 358, 1625, 18.9714272904946, 144, 63, Lightning, 1, 27, 331, 331, 11.4523300654535, 11.3877151869451, 40.1738683359927, 23.0769230769231, 18.97, 0.372301809593536, 0, 0, 0.377616577148437, 0.00665079012345679, 23.8518518518519, 511.74, 241719, 
2, 1, 2915, 68, 41.0923339211022, 192, 122, Accidental, 87, 15833, 247914, 294572, 8.77139149046286, 12.6768419819005, 114.926554338237, 0.73521980798383, 18.68, 0.498252280921175, 0, 0, 0.285833274881305, 0.0465017984168077, 675.989515568749, 776.04, 316576262, 
3, 1, 4936, 1022, 21.4699988852836, 200, 129, Accidental, 102, 34943, 675973, 753564, 10.0153562300295, 12.0982835847215, 131.20367158699, 0.712323278575926, 16.31, 0.478876753242945, 0, 0, 0.231423489002336, 0.0302324786366334, 428.166614200269, 797.33, 862253959, 
4, 1, 131, 1568, 25.983852969598, 213, 123, Accidental, 106, 37149, 611118, 730583, 10.6490844425938, 13.5490560078488, 117.995441393139, 0.591956498331, 13.46, 0.465812872124039, 0, 0, 0.33828010451163, 0.0326326566349941, 637.080029072115, 606.71, 637203875, 
5, 1, 4867, 1087, 3.00350862747452, 322, 115, Accidental, 1, 2, 36, 45, 5.13119298813731, 17.8512936497247, 222.73666919614, 0, 3, 0.444805486682259, 0, 0, 0.292290458679199, 0.011891, 81, 978.5, 35874, 
6, 1, 2835, 277, 1.47905803150879, 359, 162, Accidental, 1, 96, 2290, 2504, 8.99405072858448, 10.58105171073, 209.479609269218, 0.210526315789474, 1.48, 0.362532243466633, 0, 0, 0.225698298613231, 0.0425483819444444, 174.104166666667, 1071.55, 2985658, 
7, 2, 637, 1017, 12.9118787793981, 119, 130, Lightning, 13, 10086, 158356, 232189, 11.3447321927121, 13.4613849325056, 114.82568405443, 0.0654437283093703, 12.95, 0.463189654304562, 700.014387022667, 602.585979453139, 0.313165369981234, 0.0147094762449111, 769.718917311124, 309.38, 179414399, 
8, 2, 565, 1413, 25.3083443630244, 185, 144, Lightning, 132, 28480, 353053, 473127, 11.7406725325697, 12.527826729235, 109.800944432853, 0.360265458759086, 16.07, 0.480650987242078, 699.976659798699, 609.270323752462, 0.350971429598459, 0.00902948883429335, 694.398314606742, 361.02, 381388476, 
9, 2, 4947, 1154, 37.6116035922241, 207, 122, Accidental, 102, 20905, 232676, 278970, 10.6671841809521, 11.5072206755435, 132.338376441918, 0.960103329506314, 17.96, 0.487448619430027, 700.740111646205, 583.28608290219, 0.238640813762742, 0.00697406147486844, 227.567806744798, 414.2, 298227424, 
10, 2, 4447, 940, 23.4797181574266, 225, 143, Lightning, 84, 23755, 356472, 465983, 11.2131266957215, 12.6536272492909, 137.201410166408, 0.151132440852067, 15.79, 0.47987015435526, 678.450359226675, 570.775109438781, 0.247265311124536, 0.010839841599034, 717.682172174279, 338.2, 395319688, 
11, 2, 775, 971, 30.7119407357212, 237, 106, Lightning, 72, 18578, 293754, 372981, 10.6208277695317, 12.2867118647075, 134.909397014152, 0.216934919524143, 18.03, 0.493662226440056, 700.193477642426, 598.585556180839, 0.262506647609457, 0.0160823179564286, 652.012972332867, 343.68, 328473480, 
12, 2, 326, 1635, 30.4781337889951, 250, 9, Accidental, 1, 3, 88, 88, 13.202721859606, 8.6149773209695, 140.236866633284, 60, 30.48, 0.229811035647427, 699.976659798967, 631.022652857388, 0.351785736083984, 0.0121795101966666, 0, 292, 95219, 
13, 2, 846, 1310, 38.4456395043902, 262, 113, Lightning, 32, 10529, 189076, 227501, 10.0002828813053, 11.1518423905384, 137.309759592335, 0.438829787234042, 18.05, 0.488869963213113, 699.976659798994, 614.486899676064, 0.31555912575952, 0.0119233501547565, 833.989267736727, 401.15, 219820586, 
14, 2, 2972, 332, 32.1953758660798, 281, 94, Accidental, 20, 7670, 96308, 115199, 10.3076628415381, 11.9949092497406, 143.038562881017, 0.496805320119963, 17.35, 0.488267844172165, 701.335648292022, 538.097237519977, 0.272617961413554, 0.00912146710445699, 198.306127770535, 369.11, 103375466, 
