SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 88023, 27, 0, 5, 1, 0, 1819055628, 241719, 0, 
2, 28578, 97632, 0, 3, 6, 0, 401698109, 1613766712, 0, 
3, 112890, 121934, 0, 6, 4, 0, 1508750872, 1727397618, 0, 
4, 79194, 106379, 0, 4, 6, 0, 856413308, 1133758902, 0, 
5, 129469, 108324, 0, 7, 6, 0, 1070467961, 857405455, 0, 
6, 13757, 91107, 0, 5, 6, 0, 78892061, 572122257, 0, 
7, 86097, 167566, 0, 5, 6, 0, 1006296363, 896549185, 0, 
8, 11729, 76888, 0, 2, 4, 0, 32151898, 266692671, 0, 
9, 9781, 115292, 0, 1, 6, 0, 155001798, 382443965, 0, 
10, 92341, 102770, 0, 6, 7, 0, 560760538, 338129395, 0, 
11, 124405, 140681, 0, 4, 5, 0, 844924116, 599206429, 0, 
12, 72875, 23562, 0, 4, 3, 0, 128988687, 41276639, 0, 
13, 56755, 83681, 0, 5, 4, 0, 518979820, 110216391, 0, 
14, 52420, 86585, 0, 5, 6, 0, 121575692, 92267178, 0, 
15, 81840, 133, 0, 5, 1, 0, 505011579, 97603, 0, 
16, 108323, 167142, 0, 3, 6, 0, 350321350, 793891669, 0, 
17, 3628, 225899, 0, 3, 7, 0, 6079085, 776474689, 0, 
18, 78833, 71388, 0, 6, 5, 0, 150556053, 32200120, 0, 
19, 0, 59894, 0, 0, 3, 0, 0, 41452409, 0, 
20, 81531, 13332, 0, 5, 2, 0, 157259679, 152519493, 0, 
21, 91156, 53746, 0, 6, 3, 0, 252810721, 69343425, 0, 
22, 128110, 0, 0, 6, 0, 0, 426658040, 0, 0, 
23, 70493, 37382, 0, 4, 4, 0, 68400627, 16881268, 0, 
24, 92840, 70411, 0, 4, 3, 0, 203238583, 64978086, 0, 
25, 128726, 120488, 0, 5, 5, 0, 213942845, 429131354, 0, 
26, 15947, 135987, 0, 4, 8, 0, 2255048, 187839731, 0, 
27, 88263, 69001, 0, 4, 5, 0, 120888442, 38335566, 0, 
28, 65037, 72668, 0, 6, 7, 0, 33078082, 45709702, 0, 
29, 61783, 26798, 0, 4, 2, 0, 101868517, 11027759, 0, 
30, 17754, 96664, 0, 1, 4, 0, 2260268, 272274194, 0, 
31, 65442, 173994, 0, 7, 9, 0, 57155086, 361194477, 0, 
32, 29702, 153704, 0, 1, 11, 0, 15866972, 255326003, 0, 
33, 50294, 88252, 0, 5, 11, 0, 130997230, 115090591, 0, 
34, 50965, 114242, 0, 3, 4, 0, 144255614, 593944850, 0, 
35, 103623, 164320, 0, 5, 6, 0, 247181344, 347938420, 0, 
36, 220687, 129742, 0, 7, 6, 0, 826970887, 302366203, 0, 
37, 128478, 130994, 0, 8, 8, 0, 371506098, 421185256, 0, 
38, 99657, 180797, 0, 7, 6, 0, 66070525, 455034883, 0, 
39, 166677, 166650, 0, 5, 5, 0, 809693561, 105020918, 0, 
40, 12414, 89346, 0, 4, 7, 0, 5089830, 24388601, 0, 
41, 691, 71324, 0, 1, 4, 0, 9085816, 27843603, 0, 
42, 40152, 49041, 0, 5, 3, 0, 24493396, 10592800, 0, 
43, 55734, 178447, 0, 3, 7, 0, 327871846, 475418648, 0, 
44, 34119, 177631, 0, 1, 9, 0, 29593544, 114672381, 0, 
45, 67118, 198299, 0, 3, 5, 0, 54364795, 284827420, 0, 
46, 63539, 76817, 0, 6, 3, 0, 59473941, 20988805, 0, 
47, 39693, 116605, 0, 3, 9, 0, 24185235, 73930146, 0, 
48, 54702, 123872, 0, 7, 12, 0, 66068971, 101511639, 0, 
49, 41110, 51414, 0, 1, 5, 0, 9734967, 50859259, 0, 
50, 69158, 90845, 0, 3, 6, 0, 67532822, 48595475, 0, 
51, 51215, 132181, 0, 4, 9, 0, 33615273, 45173665, 0, 
