Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
1, ArbuMenz, 0, 0, 40758, 86119, 
1, Arctosta, 0, 0, 40969, 120291, 
1, CaloDecu, 0, 0, 0, 172193, 
1, Ceanothu, 0, 0, 0, 33473, 
1, ChryChry, 0, 0, 1245, 44225, 
1, Frangula, 0, 0, 289, 30121, 
1, Garrya, 0, 0, 5, 79400, 
1, GaulShal, 0, 0, 1330, 33017, 
1, MahoNerv, 0, 0, 1235, 13985, 
1, NothDens, 0, 0, 3712, 177763, 
1, PinuJeff, 0, 0, 0, 82899, 
1, PinuLamb, 0, 0, 0, 62289, 
1, PinuMont, 0, 0, 0, 0, 
1, PseuMenz, 0, 0, 0, 106770, 
1, Quercus, 0, 0, 11315, 102390, 
1, Rhododen, 0, 0, 533, 11178, 
1, Rubus, 0, 0, 222, 15857, 
1, Vacciniu, 0, 0, 557, 149484, 
1, WhipMode, 0, 0, 918, 78973, 
2, ArbuMenz, 0, 0, 50114, 72720, 
2, Arctosta, 0, 0, 42888, 128862, 
2, CaloDecu, 0, 0, 0, 158165, 
2, Ceanothu, 0, 0, 0, 31338, 
2, ChryChry, 0, 0, 2140, 19722, 
2, Frangula, 0, 0, 761, 16126, 
2, Garrya, 0, 0, 297, 68009, 
2, GaulShal, 0, 0, 1913, 32086, 
2, MahoNerv, 0, 0, 201, 12343, 
2, NothDens, 0, 0, 9932, 35353, 
2, PinuJeff, 0, 0, 0, 75070, 
2, PinuLamb, 0, 0, 0, 43348, 
2, PinuMont, 0, 0, 0, 0, 
2, PseuMenz, 0, 0, 0, 58349, 
2, Quercus, 0, 0, 11385, 81009, 
2, Rhododen, 0, 0, 701, 0, 
2, Rubus, 0, 0, 251, 10029, 
2, Vacciniu, 0, 0, 1508, 140380, 
2, WhipMode, 0, 0, 1152, 77317, 
3, ArbuMenz, 0, 0, 38560, 69989, 
3, Arctosta, 0, 0, 27252, 140233, 
3, CaloDecu, 0, 0, 0, 144096, 
3, Ceanothu, 0, 0, 0, 26682, 
3, ChryChry, 0, 0, 1937, 16694, 
3, Frangula, 0, 0, 654, 13477, 
3, Garrya, 0, 0, 63, 65906, 
3, GaulShal, 0, 0, 1059, 28745, 
3, MahoNerv, 0, 0, 124, 11348, 
3, NothDens, 0, 0, 7217, 50451, 
3, PinuJeff, 0, 0, 0, 74014, 
3, PinuLamb, 0, 0, 0, 37994, 
3, PinuMont, 0, 0, 0, 0, 
3, PseuMenz, 0, 0, 0, 52061, 
3, Quercus, 0, 0, 6819, 81265, 
3, Rhododen, 0, 0, 151, 0, 
3, Rubus, 0, 0, 114, 8941, 
3, Vacciniu, 0, 0, 877, 128239, 
3, WhipMode, 0, 0, 605, 70622, 
4, ArbuMenz, 0, 0, 32308, 55925, 
4, Arctosta, 0, 0, 21199, 123382, 
4, CaloDecu, 0, 0, 0, 106152, 
4, Ceanothu, 0, 0, 0, 20838, 
4, ChryChry, 0, 0, 1934, 12544, 
4, Frangula, 0, 0, 399, 10210, 
4, Garrya, 0, 0, 31, 58780, 
4, GaulShal, 0, 0, 676, 22355, 
4, MahoNerv, 0, 0, 19, 9508, 
4, NothDens, 0, 0, 7702, 126872, 
4, PinuJeff, 0, 0, 0, 59237, 
4, PinuLamb, 0, 0, 0, 25303, 
4, PinuMont, 0, 0, 0, 0, 
4, PseuMenz, 0, 0, 0, 34109, 
4, Quercus, 0, 0, 5299, 68232, 
4, Rhododen, 0, 0, 268, 5657, 
4, Rubus, 0, 0, 41, 7743, 
4, Vacciniu, 0, 0, 846, 104356, 
4, WhipMode, 0, 0, 309, 56871, 
5, ArbuMenz, 0, 0, 34294, 55514, 
5, Arctosta, 0, 0, 27400, 116597, 
5, CaloDecu, 114268, 0, 0, 83171, 
5, Ceanothu, 0, 0, 0, 18312, 
5, ChryChry, 0, 0, 2075, 10670, 
5, Frangula, 0, 0, 598, 9268, 
5, Garrya, 0, 0, 257, 49896, 
5, GaulShal, 0, 0, 1149, 18712, 
5, MahoNerv, 0, 0, 189, 7306, 
5, NothDens, 0, 0, 8957, 104065, 
5, PinuJeff, 0, 0, 0, 56460, 
5, PinuLamb, 0, 0, 0, 22442, 
5, PinuMont, 0, 0, 0, 0, 
5, PseuMenz, 115021, 0, 0, 31915, 
5, Quercus, 0, 0, 7822, 62024, 
5, Rhododen, 0, 0, 488, 1139, 
5, Rubus, 0, 0, 193, 12431, 
5, Vacciniu, 0, 0, 1116, 86789, 
5, WhipMode, 0, 0, 834, 53121, 
6, ArbuMenz, 0, 0, 28391, 30449, 
6, Arctosta, 0, 0, 19049, 99644, 
6, CaloDecu, 0, 0, 0, 4856, 
6, Ceanothu, 0, 0, 0, 13989, 
6, ChryChry, 0, 0, 2145, 572, 
6, Frangula, 0, 0, 684, 4985, 
6, Garrya, 0, 0, 376, 20729, 
6, GaulShal, 0, 0, 862, 10611, 
6, MahoNerv, 0, 0, 157, 5563, 
6, NothDens, 0, 0, 7576, 0, 
6, PinuJeff, 0, 0, 0, 39995, 
6, PinuLamb, 0, 0, 0, 2723, 
6, PinuMont, 0, 0, 0, 0, 
6, PseuMenz, 0, 0, 0, 3739, 
6, Quercus, 0, 0, 5182, 51136, 
6, Rhododen, 0, 0, 322, 0, 
6, Rubus, 0, 0, 163, 11470, 
6, Vacciniu, 0, 0, 1660, 63355, 
6, WhipMode, 0, 0, 866, 40055, 
7, ArbuMenz, 0, 0, 18516, 81302, 
7, Arctosta, 0, 0, 12022, 147500, 
7, CaloDecu, 0, 0, 0, 79918, 
7, Ceanothu, 0, 0, 0, 19005, 
7, ChryChry, 0, 0, 1097, 7839, 
7, Frangula, 0, 0, 624, 10684, 
7, Garrya, 0, 0, 873, 41293, 
7, GaulShal, 0, 0, 859, 25227, 
7, MahoNerv, 0, 0, 75, 9169, 
7, NothDens, 0, 0, 5091, 4864, 
7, PinuJeff, 0, 0, 0, 66191, 
7, PinuLamb, 0, 0, 0, 31270, 
7, PinuMont, 0, 0, 0, 0, 
7, PseuMenz, 0, 0, 0, 51991, 
7, Quercus, 0, 0, 4941, 71122, 
7, Rhododen, 0, 0, 414, 0, 
7, Rubus, 0, 0, 134, 20218, 
7, Vacciniu, 0, 0, 1587, 102283, 
7, WhipMode, 0, 0, 699, 69133, 
8, ArbuMenz, 0, 0, 34420, 49613, 
8, Arctosta, 0, 0, 24931, 117502, 
8, CaloDecu, 0, 0, 0, 69932, 
8, Ceanothu, 0, 0, 0, 13908, 
8, ChryChry, 0, 0, 2021, 7084, 
8, Frangula, 0, 0, 977, 6295, 
8, Garrya, 0, 0, 1437, 44829, 
8, GaulShal, 0, 0, 1189, 16591, 
8, MahoNerv, 0, 0, 192, 6871, 
8, NothDens, 0, 0, 8658, 89072, 
8, PinuJeff, 0, 0, 0, 47576, 
8, PinuLamb, 0, 0, 0, 13822, 
8, PinuMont, 0, 0, 0, 0, 
8, PseuMenz, 0, 0, 0, 23517, 
8, Quercus, 0, 0, 8166, 52655, 
8, Rhododen, 0, 0, 494, 2365, 
8, Rubus, 0, 0, 279, 15557, 
8, Vacciniu, 0, 0, 3219, 71163, 
8, WhipMode, 0, 0, 1837, 49394, 
9, ArbuMenz, 0, 0, 29721, 36173, 
9, Arctosta, 0, 0, 10963, 99587, 
9, CaloDecu, 0, 0, 0, 32889, 
9, Ceanothu, 0, 0, 0, 10721, 
9, ChryChry, 0, 0, 1403, 3644, 
9, Frangula, 0, 0, 383, 3971, 
9, Garrya, 0, 0, 740, 36393, 
9, GaulShal, 0, 0, 852, 11187, 
9, MahoNerv, 0, 0, 224, 5422, 
9, NothDens, 0, 0, 5312, 47345, 
9, PinuJeff, 0, 0, 0, 34483, 
9, PinuLamb, 0, 0, 0, 6946, 
9, PinuMont, 0, 0, 0, 0, 
9, PseuMenz, 0, 0, 0, 12260, 
9, Quercus, 0, 0, 3147, 43386, 
9, Rhododen, 0, 0, 182, 0, 
9, Rubus, 0, 0, 231, 14343, 
9, Vacciniu, 0, 0, 1983, 56615, 
9, WhipMode, 0, 0, 1174, 37164, 
10, ArbuMenz, 0, 0, 30474, 56017, 
10, Arctosta, 0, 0, 12584, 130512, 
10, CaloDecu, 42472, 0, 0, 74403, 
10, Ceanothu, 0, 0, 0, 15239, 
10, ChryChry, 0, 0, 1712, 9526, 
10, Frangula, 0, 0, 713, 7595, 
10, Garrya, 0, 0, 1226, 63737, 
10, GaulShal, 0, 0, 861, 20915, 
10, MahoNerv, 0, 0, 297, 11711, 
10, NothDens, 0, 0, 6028, 24438, 
10, PinuJeff, 0, 0, 0, 44743, 
10, PinuLamb, 0, 0, 0, 15184, 
10, PinuMont, 0, 0, 0, 0, 
10, PseuMenz, 43080, 0, 0, 27609, 
10, Quercus, 0, 0, 4195, 57677, 
10, Rhododen, 0, 0, 422, 0, 
10, Rubus, 0, 0, 249, 19615, 
10, Vacciniu, 0, 0, 2746, 100733, 
10, WhipMode, 0, 0, 1305, 60043, 
11, ArbuMenz, 0, 0, 26390, 74607, 
