SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 16883, 34331, 780, 4, 3, 5, 383234340, 648277701, 15762541, 
2, 16941, 111084, 780, 2, 5, 5, 242814470, 1685808635, 10907203, 
3, 101665, 94656, 780, 4, 5, 5, 1611857350, 1208976654, 9710716, 
4, 0, 139350, 780, 0, 9, 5, 0, 1435914775, 9292883, 
5, 115183, 177548, 780, 5, 6, 5, 1239151743, 1537931695, 11894347, 
6, 11900, 114174, 780, 2, 9, 5, 94527403, 680444781, 9377032, 
7, 18846, 128477, 780, 3, 5, 5, 164292286, 783877435, 9286871, 
8, 1895, 58107, 780, 1, 2, 5, 5804634, 180435581, 9403648, 
9, 40194, 86844, 780, 4, 3, 5, 298437373, 275821713, 6817597, 
10, 155293, 109371, 780, 8, 6, 5, 1663441155, 418573929, 9637128, 
11, 91793, 92496, 780, 3, 5, 5, 718684282, 258984033, 12239189, 
12, 122480, 22238, 780, 6, 2, 5, 479156999, 80361826, 11762970, 
13, 50561, 26866, 780, 3, 1, 5, 126220642, 93403284, 3110383, 
14, 8, 115997, 780, 1, 5, 5, 10, 163065278, 8955952, 
15, 51304, 55625, 780, 3, 3, 5, 243543892, 83451309, 3298392, 
16, 55214, 160105, 780, 5, 10, 5, 275556722, 355389342, 7162028, 
17, 100127, 127773, 780, 5, 4, 5, 915341256, 148872103, 16234478, 
18, 15580, 279, 780, 3, 1, 5, 13723375, 258403, 6892532, 
19, 57009, 79448, 780, 5, 4, 5, 96739829, 104050638, 10321241, 
20, 42903, 130666, 780, 2, 5, 5, 136162175, 534064622, 5081173, 
21, 15373, 56624, 780, 1, 6, 5, 10633043, 123586861, 7281319, 
22, 64717, 73400, 780, 6, 2, 5, 413165018, 69758510, 7024571, 
23, 0, 29625, 780, 0, 5, 5, 0, 25521759, 1468875, 
24, 63355, 146524, 780, 4, 7, 5, 191467717, 196478606, 11267806, 
25, 87474, 92082, 780, 3, 4, 5, 147175071, 67493457, 421468, 
26, 34939, 158350, 780, 2, 7, 5, 28195495, 319628682, 8237124, 
27, 28553, 81614, 780, 1, 4, 5, 27751930, 43167589, 13813531, 
28, 54031, 26849, 780, 3, 1, 5, 69114561, 22206521, 10835226, 
29, 12558, 81196, 780, 1, 5, 5, 5044779, 46041864, 7110700, 
30, 61380, 92273, 780, 5, 4, 5, 299606334, 60255067, 9154324, 
31, 42370, 110496, 780, 3, 6, 5, 53025024, 48147226, 9210659, 
32, 114224, 156296, 780, 6, 8, 5, 234731215, 625053966, 10514496, 
33, 47566, 98968, 780, 5, 8, 5, 264851289, 32162204, 11361818, 
34, 99811, 71232, 780, 3, 3, 5, 122858983, 11506438, 8516298, 
35, 55406, 133303, 780, 1, 3, 5, 103229195, 681078776, 11689758, 
36, 11381, 196250, 780, 4, 5, 5, 31937681, 722686817, 13464494, 
37, 48898, 176840, 780, 4, 7, 5, 420233010, 277919349, 9342682, 
38, 70076, 72139, 780, 3, 4, 5, 108356114, 24638849, 3011098, 
39, 124525, 161298, 780, 3, 8, 5, 256531283, 518399969, 10357289, 
40, 39999, 102413, 780, 5, 7, 5, 76263368, 67909736, 6935311, 
41, 98505, 102535, 780, 8, 5, 5, 316014063, 27063796, 8782910, 
42, 18537, 41133, 780, 3, 4, 5, 67818740, 7379777, 4582711, 
43, 16389, 150605, 780, 4, 8, 5, 22845690, 64105194, 9209474, 
44, 68277, 169533, 780, 3, 5, 5, 188485746, 126430608, 6607356, 
45, 47804, 99073, 780, 5, 2, 5, 54541479, 34049886, 13863144, 
46, 64238, 129805, 780, 3, 8, 5, 130510918, 63180362, 4840420, 
47, 33953, 170006, 780, 3, 11, 5, 50243502, 244268475, 4918046, 
48, 74492, 114133, 780, 8, 8, 5, 116931944, 49986342, 7617885, 
49, 66933, 127408, 780, 3, 5, 5, 279635573, 36893661, 239119, 
50, 79764, 136803, 780, 5, 10, 5, 224335139, 62951510, 13416648, 
51, 115750, 126911, 780, 7, 9, 5, 138523037, 24866881, 8270394, 
