Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, ArbuMenz, eco1, 75944, 1, 1, 0.13, 0.08, 273.85, 0, 339, 
1, ArbuMenz, eco2, 192181, 0.99, 1, 0.56, 0.33, 199.14, 0, 365, 
1, ArbuMenz, eco3, 116545, 1, 1, 0.71, 0.42, 134.37, 0, 340, 
1, Arctosta, eco1, 72644, 0.96, 1, 0.39, 0.23, 275.2, 0, 339, 
1, Arctosta, eco2, 151934, 0.93, 1, 0.66, 0.4, 198.93, 0, 365, 
1, Arctosta, eco3, 116702, 0.99, 1, 0.77, 0.46, 132.65, 0, 340, 
1, CaloDecu, eco1, 183559, 0.76, 1, 0.05, 0.03, 275.89, 0, 339, 
1, CaloDecu, eco2, 418110, 0.68, 1, 0.45, 0.26, 199.42, 0, 365, 
1, CaloDecu, eco3, 256589, 0.88, 1, 0.65, 0.39, 136.25, 0, 340, 
1, Ceanothu, eco1, 76164, 0.94, 1, 0.39, 0.24, 273.67, 0, 339, 
1, Ceanothu, eco2, 191922, 0.91, 1, 0.66, 0.4, 199.2, 0, 365, 
1, Ceanothu, eco3, 116786, 0.98, 1, 0.77, 0.46, 134.33, 0, 340, 
1, ChryChry, eco1, 75461, 0.71, 1, 0.06, 0.04, 272.78, 0, 339, 
1, ChryChry, eco2, 220021, 0.63, 1, 0.45, 0.26, 199.23, 0, 365, 
1, ChryChry, eco3, 125460, 0.84, 1, 0.65, 0.39, 136.32, 0, 340, 
1, Frangula, eco1, 75394, 0.99, 1, 0.13, 0.08, 272.7, 0, 339, 
1, Frangula, eco2, 220116, 0.98, 1, 0.56, 0.33, 199.22, 0, 365, 
1, Frangula, eco3, 125728, 1, 1, 0.7, 0.42, 136.4, 0, 340, 
1, Garrya, eco1, 183307, 0.87, 1, 0.27, 0.16, 275.98, 0, 339, 
1, Garrya, eco2, 416678, 0.8, 1, 0.62, 0.37, 199.48, 0, 365, 
1, Garrya, eco3, 256557, 0.96, 1, 0.74, 0.45, 136.13, 0, 340, 
1, GaulShal, eco1, 183136, 1, 1, 0.12, 0.07, 276, 0, 339, 
1, GaulShal, eco2, 417536, 0.99, 1, 0.55, 0.33, 199.5, 0, 365, 
1, GaulShal, eco3, 256809, 1, 1, 0.7, 0.42, 136.23, 0, 340, 
1, MahoNerv, eco1, 183142, 0.98, 1, 0.27, 0.16, 275.95, 0, 339, 
1, MahoNerv, eco2, 417009, 0.97, 1, 0.62, 0.37, 199.48, 0, 365, 
1, MahoNerv, eco3, 256018, 1, 1, 0.74, 0.45, 136.14, 0, 340, 
1, NothDens, eco1, 183646, 0.57, 1, 0.27, 0.16, 275.97, 0, 339, 
1, NothDens, eco2, 416930, 0.43, 1, 0.62, 0.26, 199.42, 0, 365, 
1, NothDens, eco3, 256446, 0.79, 1, 0.74, 0.44, 136.16, 0, 340, 
1, PinuJeff, eco1, 75926, 0.96, 1, 0.28, 0.17, 273.71, 0, 339, 
1, PinuJeff, eco2, 192312, 0.97, 1, 0.62, 0.37, 199.33, 0, 365, 
1, PinuJeff, eco3, 116708, 0.93, 1, 0.75, 0.45, 134.32, 0, 340, 
1, PinuLamb, eco1, 75456, 0.92, 1, 0.06, 0.04, 272.73, 0, 339, 
1, PinuLamb, eco2, 220253, 0.87, 1, 0.45, 0.27, 199.27, 0, 365, 
1, PinuLamb, eco3, 125601, 0.97, 1, 0.65, 0.39, 136.33, 0, 340, 
1, PinuMont, eco1, 75563, 0, 1, 0.13, 0, 273.41, 0, 339, 
1, PinuMont, eco2, 192093, 0, 1, 0.56, 0, 199.26, 0, 365, 
1, PinuMont, eco3, 116297, 0, 1, 0.71, 0, 134.29, 0, 340, 
1, PseuMenz, eco1, 75604, 1, 1, 0.06, 0.04, 272.67, 0, 339, 
1, PseuMenz, eco2, 220071, 0.99, 1, 0.45, 0.27, 199.31, 0, 365, 
1, PseuMenz, eco3, 125839, 1, 1, 0.65, 0.39, 136.38, 0, 340, 
1, Quercus, eco1, 75886, 1, 1, 0.39, 0.24, 273.63, 0, 339, 
1, Quercus, eco2, 192268, 0.99, 1, 0.66, 0.4, 199.31, 0, 365, 
1, Quercus, eco3, 116653, 0.99, 1, 0.77, 0.46, 134.27, 0, 340, 
1, Rhododen, eco1, 182962, 0, 1, 0.12, 0, 276.02, 0, 339, 
1, Rhododen, eco2, 416477, 0, 1, 0.55, 0, 199.5, 0, 365, 
1, Rhododen, eco3, 256185, 0.21, 1, 0.7, 0.13, 136.18, 0, 340, 
1, Rubus, eco1, 75469, 0.98, 1, 0.29, 0.17, 272.81, 0, 339, 
1, Rubus, eco2, 219834, 0.96, 1, 0.62, 0.37, 199.33, 0, 365, 
1, Rubus, eco3, 125589, 1, 1, 0.74, 0.45, 136.32, 0, 340, 
1, Vacciniu, eco1, 182856, 0.97, 1, 0.27, 0.16, 275.9, 0, 339, 
1, Vacciniu, eco2, 416426, 0.98, 1, 0.62, 0.37, 199.43, 0, 365, 
1, Vacciniu, eco3, 256625, 0.95, 1, 0.74, 0.45, 136.21, 0, 340, 
1, WhipMode, eco1, 183352, 1, 1, 0.27, 0.16, 275.98, 0, 339, 
1, WhipMode, eco2, 417605, 0.99, 1, 0.62, 0.37, 199.43, 0, 365, 
1, WhipMode, eco3, 256330, 1, 1, 0.74, 0.45, 136.16, 0, 340, 
2, ArbuMenz, eco1, 88634, 0.94, 1, 0.42, 0.25, 209.49, 0, 319, 
2, ArbuMenz, eco2, 125324, 0.94, 1, 0.61, 0.37, 172.48, 0, 347, 
