SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 45, 1, 1, 2.43419459947708, Accidental, 
1, 155, 1, 1, 13.4498933676688, Accidental, 
1, 158, 1, 1, 25.5703422554217, Accidental, 
1, 193, 1, 1, 35.934416503567, Lightning, 
1, 194, 1, 1, 32.8003154802096, Lightning, 
1, 297, 1, 1, 11.7756243920298, Accidental, 
2, 75, 1, 1, 2.42710966674446, Accidental, 
2, 165, 1, 1, 13.2085626708648, Lightning, 
2, 232, 1, 1, 27.7092810093141, Lightning, 
2, 245, 1, 1, 28.5366832567389, Lightning, 
2, 283, 1, 1, 25.2304547498185, Accidental, 
2, 301, 1, 1, 14.492933711676, Accidental, 
3, 144, 1, 1, 10.2200542146501, Lightning, 
3, 149, 1, 1, 17.1944782506603, Accidental, 
3, 211, 1, 1, 33.1914192913128, Accidental, 
3, 265, 1, 1, 43.730068130293, Lightning, 
3, 266, 1, 1, 43.8812583903384, Lightning, 
3, 269, 1, 1, 27.4381548520092, Lightning, 
4, 111, 1, 1, 12.200535287982, Lightning, 
4, 160, 1, 1, 15.0497201632914, Lightning, 
4, 181, 1, 1, 18.5910039578642, Lightning, 
4, 186, 1, 1, 34.4543558280852, Lightning, 
4, 189, 1, 1, 37.4987447876947, Lightning, 
4, 200, 1, 1, 30.7601152785575, Lightning, 
4, 214, 1, 1, 26.9066544788265, Lightning, 
4, 232, 1, 1, 27.8230719417133, Lightning, 
4, 273, 1, 1, 31.5045087352662, Lightning, 
4, 360, 1, 1, 0, Accidental, 
5, 112, 1, 1, 5.41515608432569, Lightning, 
5, 121, 1, 1, 6.52532742579259, Accidental, 
5, 157, 1, 1, 20.0145875031823, Lightning, 
5, 167, 1, 1, 18.6951991180308, Lightning, 
5, 183, 1, 1, 30.5383643216189, Lightning, 
5, 193, 1, 1, 27.3712210187857, Accidental, 
5, 217, 1, 1, 28.0489385104529, Lightning, 
5, 218, 1, 1, 31.0289038310543, Lightning, 
5, 240, 1, 1, 35.6222637093631, Accidental, 
5, 248, 1, 1, 34.891461446, Accidental, 
5, 254, 1, 1, 32.9891337620876, Lightning, 
5, 307, 1, 1, 18.7579992899112, Lightning, 
5, 324, 1, 1, 20.845546024546, Accidental, 
6, 129, 1, 1, 25.4614984056333, Accidental, 
6, 134, 1, 1, 14.8540659933403, Lightning, 
6, 138, 1, 1, 17.1525464306433, Accidental, 
6, 142, 1, 1, 21.1336343655172, Lightning, 
6, 145, 1, 1, 18.9343367627985, Accidental, 
6, 199, 1, 1, 36.4512818380051, Accidental, 
6, 223, 1, 1, 38.8806429645784, Lightning, 
6, 259, 1, 1, 31.7919620002205, Lightning, 
6, 264, 1, 1, 39.38481219668, Lightning, 
6, 268, 1, 1, 34.6863442495931, Accidental, 
6, 273, 1, 1, 44.6989423016289, Accidental, 
6, 279, 1, 1, 34.2402408563724, Accidental, 
6, 303, 1, 1, 12.9499511130568, Accidental, 
7, 190, 1, 1, 28.6078464343698, Accidental, 
7, 195, 1, 1, 38.1018148972907, Lightning, 
7, 208, 1, 1, 39.7715395210876, Accidental, 
7, 260, 1, 1, 42.0225472896004, Accidental, 
7, 281, 1, 1, 27.0031496176211, Accidental, 
7, 283, 1, 1, 19.6310146861512, Lightning, 
7, 334, 1, 1, 1.77475054086845, Lightning, 
8, 24, 1, 1, 4.34988291012899, Lightning, 
8, 164, 1, 1, 28.6646276446872, Lightning, 
8, 196, 1, 1, 33.576851154243, Accidental, 
8, 206, 1, 1, 37.2230541664114, Accidental, 
8, 277, 1, 1, 41.5558026818846, Lightning, 
9, 91, 1, 1, 9.44480286894897, Lightning, 
9, 108, 1, 1, 8.26223293221233, Lightning, 
9, 137, 1, 1, 30.2763719428003, Lightning, 
9, 144, 1, 1, 18.4716117530053, Lightning, 
9, 170, 1, 1, 30.6690366674965, Accidental, 
9, 198, 1, 1, 27.5888186008945, Accidental, 
9, 228, 1, 1, 37.394328654731, Lightning, 
9, 230, 1, 1, 33.9932871163003, Lightning, 
9, 256, 1, 1, 38.8777927945092, Accidental, 
9, 282, 1, 1, 22.4279250363198, Lightning, 
9, 308, 1, 1, 15.1470077887648, Lightning, 
10, 182, 1, 1, 29.8713259770973, Accidental, 
10, 222, 1, 1, 39.0377696720708, Accidental, 
10, 305, 1, 1, 25.6142701310871, Lightning, 
10, 347, 1, 1, 6.55921707778825, Accidental, 
11, 43, 1, 1, 2.20304118284803, Accidental, 
11, 50, 1, 1, 6.2211811750702, Lightning, 
11, 54, 1, 1, 3.09455534725822, Lightning, 
11, 60, 1, 1, 1.19610314708341, Accidental, 
11, 153, 1, 1, 20.7219914140629, Accidental, 
11, 170, 1, 1, 19.6649256503555, Accidental, 
11, 172, 1, 1, 25.361657183029, Accidental, 
11, 182, 1, 1, 35.7385292632364, Lightning, 
11, 197, 1, 1, 21.3233834710118, Lightning, 
11, 201, 1, 1, 30.1329261460631, Lightning, 
11, 219, 1, 1, 40.0356937055639, Lightning, 
11, 225, 1, 1, 25.8396127544698, Accidental, 
11, 235, 1, 1, 43.4553802028285, Lightning, 
11, 265, 1, 1, 30.9560107530466, Lightning, 
11, 346, 1, 1, 9.11623300711431, Accidental, 
12, 13, 1, 1, 1.12104590724083, Lightning, 
12, 80, 1, 1, 3.85275326086272, Lightning, 
12, 156, 1, 1, 19.4464215199412, Lightning, 
12, 200, 1, 1, 33.0117682609087, Lightning, 
12, 206, 1, 1, 31.9541998277374, Lightning, 
12, 326, 1, 1, 6.25715209893396, Lightning, 
13, 129, 1, 1, 18.0349500317547, Accidental, 
13, 130, 1, 1, 8.97388111875882, Lightning, 
13, 195, 1, 1, 26.1715009930962, Lightning, 
13, 207, 1, 1, 38.1140015574303, Lightning, 
13, 221, 1, 1, 39.1531181704917, Accidental, 
13, 223, 1, 1, 38.1284125782754, Lightning, 
13, 233, 1, 1, 36.5358029696417, Accidental, 
13, 257, 1, 1, 23.6631023761908, Accidental, 
13, 258, 1, 1, 36.9931903969961, Lightning, 
14, 33, 1, 1, 3.41104683055786, Lightning, 
14, 132, 1, 1, 20.1200367119333, Accidental, 
14, 141, 1, 1, 26.7562722973079, Lightning, 
14, 162, 1, 1, 26.740178420767, Accidental, 
14, 182, 1, 1, 22.0579467463034, Accidental, 
14, 184, 1, 1, 21.1784539440675, Accidental, 
14, 213, 1, 1, 31.9994663785621, Lightning, 
14, 252, 1, 1, 37.242966397718, Lightning, 
14, 272, 1, 1, 18.3890059300958, Accidental, 
14, 277, 1, 1, 25.7993365816984, Accidental, 
15, 11, 1, 1, 3.40233147369264, Lightning, 
15, 220, 1, 1, 24.2309924939149, Lightning, 
15, 225, 1, 1, 25.433796500503, Lightning, 
15, 235, 1, 1, 55.9705102313768, Accidental, 
15, 236, 1, 1, 36.8067433229443, Accidental, 
15, 282, 1, 1, 20.0573969647128, Accidental, 
16, 60, 1, 1, 7.37738714175411, Accidental, 
16, 90, 1, 1, 5.56488115485122, Accidental, 
16, 170, 1, 1, 16.5583820532409, Accidental, 
16, 172, 1, 1, 29.9128934418339, Lightning, 
16, 189, 1, 1, 23.4256349050184, Accidental, 
16, 199, 1, 1, 32.2368708015491, Lightning, 
16, 201, 1, 1, 31.466085962214, Lightning, 
16, 240, 1, 1, 43.3301324854833, Lightning, 
16, 259, 1, 1, 36.2553346284533, Accidental, 
16, 307, 1, 1, 12.0394592518744, Lightning, 
16, 354, 1, 1, 14.5143193340026, Lightning, 
17, 136, 1, 1, 13.3416102715257, Lightning, 
17, 184, 1, 1, 23.595801414061, Lightning, 
17, 187, 1, 1, 35.7961731091736, Lightning, 
17, 193, 1, 1, 43.7886057180367, Lightning, 
17, 238, 1, 1, 22.5370081272083, Accidental, 
17, 279, 1, 1, 25.7744166502006, Accidental, 
17, 313, 1, 1, 14.8341674469786, Accidental, 
18, 21, 1, 1, 1.35065308094442, Accidental, 
