Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 1, 457557, 0, 3106.7, 19757.1, 0, 0, 0, 0, 4, 263, 0, 0, 0, 9285.9, 1608, 100, 517.4, 84.2, 14.9, 0, 0, 31.1, 62.1, 1833, 1180.6, 0, 0, 23.2, 8.8, 0.5, 2.6, 0.4, 1.5, 0, 0, 3.1, 6.2, 73.3, 139.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227.9, 0, 0, 
0, eco2, 2, 903912, 0, 832.9, 19056.5, 0, 0, 0, 0, 4, 99.3, 0, 0, 0, 8956.6, 1594.1, 121.7, 548.4, 102.4, 18.1, 0, 0, 8.3, 16.7, 491.4, 316.5, 0, 0, 22, 8.2, 0.6, 2.7, 0.5, 1.8, 0, 0, 0.8, 1.7, 19.7, 37.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65.8, 0, 0, 
0, eco3, 3, 540517, 0, 1373.4, 15716.6, 0, 0, 0, 0, 4, 132.9, 0, 0, 0, 7386.8, 1327.1, 156.4, 463.4, 131.6, 23.2, 0, 0, 13.7, 27.5, 810.3, 521.9, 0, 0, 18.1, 6.6, 0.8, 2.3, 0.7, 2.3, 0, 0, 1.4, 2.7, 32.4, 61.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105.1, 0, 0, 
1, eco1, 1, 457557, -648.2, 3160.4, 17343, 614.9, 177.9, 13.4, 297.6, 0.66, 261.2, 3.2, 109.6, 76.1, 8039.1, 1401.8, 1180.2, 601.8, 12.7, 14.7, 3.5, 3.4, 106.9, 100.6, 1772.6, 1180.3, 2.3, 1.4, 20.1, 7.7, 3.2, 3, 0.1, 1.1, 0, 0.1, 3, 9, 70.2, 139.3, 0.1, 0.2, 0, 0, 0.3, 0.4, 0.1, 0, 0.05, 0.04, 0.07, 20.5, 0.5, 4.6, 0.1, 223.4, 0.03, 0, 
1, eco2, 2, 903912, -797, 920.4, 18265.1, 701.1, 203, 16.8, 341.6, 0.39, 100.4, 1.5, 123.4, 85.7, 8451.1, 1518.8, 882.2, 620.7, 13.4, 18.4, 4.1, 4.3, 89.6, 31.3, 483.1, 316.4, 2.7, 1.7, 20.6, 7.8, 2.6, 3.1, 0.1, 1.4, 0, 0.2, 1.3, 2.4, 18.8, 37.3, 0.2, 0.3, 0, 0, 0.1, 0.1, 0.1, 0, 0.05, 0.04, 0.09, 6.3, 0.1, 4.4, 0.2, 61.9, 0.02, 0, 
1, eco3, 3, 540517, -741.6, 1447.9, 15910, 663.6, 192.5, 15.9, 293.3, 0.4, 134.3, 2.1, 116.8, 81.4, 7345.5, 1337.5, 680.3, 515.1, 16.4, 22.1, 4, 4.2, 97.7, 45.7, 782.7, 521.7, 2.5, 1.6, 17.9, 6.6, 2.2, 2.6, 0.1, 1.8, 0, 0.2, 1.9, 4, 31, 61.6, 0.3, 0.4, 0, 0, 0.2, 0.2, 0.1, 0, 0.05, 0.11, 0.16, 0, 0, 4.6, 0.2, 100.9, 0.02, 0, 
2, eco1, 1, 457557, -505.2, 3209.6, 17601.5, 526.4, 149.5, 34.8, 292.4, 0.6, 263.7, 4, 180.3, 125.1, 8091.3, 1415, 1364, 631.7, 12.1, 22.9, 9.7, 10.2, 165.2, 147.8, 1716.6, 1180, 3.8, 2.3, 20.2, 7.7, 3.7, 3.2, 0.1, 1.1, 0, 0.4, 3.1, 11.5, 66.6, 139.2, 0, 0.1, 0, 0, 0.4, 0.7, 0.6, 0.1, 0.05, 0.15, 0.08, 2.3, 0, 2, 0.3, 222.7, 0.01, 0, 
2, eco2, 2, 903912, -615, 1011.6, 18088.8, 581, 166.1, 38.7, 327.3, 0.35, 104.2, 1.9, 199.5, 138.7, 8298.3, 1494.1, 1247.5, 664.1, 13.3, 25.4, 11.1, 11.8, 148, 55.7, 491.6, 316.3, 4.3, 2.8, 20.3, 7.7, 3.4, 3.3, 0.1, 1.3, 0.1, 0.4, 1.8, 3.3, 17.8, 37.3, 0, 0.1, 0, 0.1, 0.2, 0.2, 0.2, 0, 0.05, 0.14, 0.07, 10.6, 0.1, 0.9, 0.4, 62.4, 0.01, 0, 
2, eco3, 3, 540517, -597.4, 1491, 16406.3, 550.4, 157.4, 37.4, 290.4, 0.32, 138, 2.5, 193.3, 134.6, 7509.7, 1369.5, 881.4, 549.6, 13, 27.4, 10.5, 11.3, 134.8, 72, 762.7, 521.6, 4.2, 2.7, 18.3, 6.8, 2.6, 2.7, 0.1, 1.5, 0.1, 0.4, 2.3, 5.1, 29.3, 61.5, 0, 0.2, 0, 0.1, 0.3, 0.4, 0.4, 0, 0.05, 0.31, 0.1, 0.1, 0, 1.4, 0.4, 100.6, 0.01, 0, 
3, eco1, 1, 457557, -362.8, 3331.8, 14729.2, 482.9, 137.6, 41.5, 247.7, 0.61, 262.1, 4.5, 205, 142.6, 6715.2, 1183, 2295.5, 684.8, 17.2, 30.1, 17.9, 18.9, 255.5, 201.7, 1694.9, 1179.8, 4.3, 2.6, 16.9, 6.4, 6, 3.4, 0.1, 1.1, 0.1, 0.7, 3.2, 14.3, 63.3, 139.2, 0, 0, 0, 0.1, 0.4, 0.9, 0.3, 0.1, 0.05, 0.23, 0.08, 68, 0.7, 2, 0.4, 222.5, 0.01, 0, 
3, eco2, 2, 903912, -507.2, 1161, 16381.9, 547.7, 156.7, 47.7, 298.4, 0.37, 105.8, 2.2, 241.4, 168.1, 7452.7, 1346.4, 1918.4, 712.2, 19.6, 33, 18.7, 20.1, 229.5, 87.1, 528.1, 316.3, 5.1, 3.3, 18.2, 6.9, 5.1, 3.5, 0.1, 1.2, 0.1, 0.8, 2.3, 4.3, 17.1, 37.3, 0, 0, 0, 0.1, 0.3, 0.2, 0.1, 0, 0.05, 0.22, 0.08, 45.8, 0.3, 0.9, 0.5, 63.6, 0.01, 0, 
3, eco3, 3, 540517, -614.9, 1551.5, 16890.7, 576.5, 165.1, 51.1, 301, 0.27, 141.8, 2.5, 259.7, 181, 7670.7, 1401.4, 1077.6, 579.8, 20.7, 36.3, 17.4, 19.1, 173.6, 99.4, 757.1, 521.5, 5.6, 3.6, 18.7, 6.9, 3.1, 2.9, 0.1, 1.5, 0.1, 0.7, 2.7, 6.1, 28, 61.5, 0, 0, 0, 0.1, 0.4, 0.4, 0.4, 0, 0.05, 0.42, 0.09, 0.4, 0, 1.3, 0.5, 101, 0, 0, 
4, eco1, 1, 457557, -248.2, 3468, 13510.1, 402.8, 114.4, 44.8, 218.9, 0.65, 262, 4.3, 220.2, 153.2, 6127.9, 1082.8, 2632.2, 705.3, 21.7, 37.2, 22.7, 24.6, 344.5, 250.3, 1693.6, 1179.6, 4.6, 2.8, 15.4, 5.8, 6.8, 3.5, 0.1, 1.2, 0.1, 0.9, 3.5, 16.9, 60.6, 139.1, 0, -0.1, 0, 0.1, 0.4, 0.9, 0, 0.1, 0.05, 0.08, 0.04, 40.5, 0.4, 1.7, 0.4, 223, 0.01, 0, 
4, eco2, 2, 903912, -418.5, 1320, 15620.9, 492.8, 140.7, 53.8, 276.1, 0.37, 107.9, 2.2, 271.9, 189.4, 7064.7, 1279.2, 2235.1, 737.3, 25.7, 41.1, 24.5, 26.6, 309.2, 118.7, 575.8, 316.3, 5.8, 3.8, 17.3, 6.5, 5.8, 3.7, 0.1, 1.3, 0.1, 1, 2.8, 5.4, 16.6, 37.3, 0, -0.1, 0, 0.1, 0.3, 0.3, -0.1, 0, 0.05, 0.13, 0.05, 33.1, 0.2, 0.8, 0.5, 65.1, 0.01, 0, 
4, eco3, 3, 540517, -541.3, 1633.2, 16766.5, 533.2, 152.4, 59.6, 289.4, 0.26, 144.6, 2.4, 302.5, 210.8, 7570.6, 1386.6, 1376, 611.7, 28.6, 46.4, 25, 27.4, 218.2, 127.2, 766.5, 521.4, 6.5, 4.2, 18.5, 6.8, 3.8, 3, 0.1, 1.6, 0.1, 1, 3.2, 7, 26.9, 61.5, 0, -0.1, 0, 0.1, 0.4, 0.4, 0.3, 0, 0.05, 0.28, 0.05, 17.6, 0.1, 1.2, 0.6, 101.8, 0, 0, 
5, eco1, 1, 457557, -129.7, 3612.5, 11264.2, 321, 91.4, 42.5, 177.8, 0.69, 259.9, 4.1, 205, 142.9, 5078.8, 902.8, 3176.2, 731, 24.6, 41.6, 28.5, 30.8, 427.7, 295.2, 1710.2, 1179.4, 4.2, 2.6, 12.8, 4.8, 8.1, 3.7, 0.1, 1.2, 0.1, 1.1, 3.6, 19.2, 58.4, 139.1, 0, -0.1, 0, 0.1, 0.4, 0.9, -0.3, 0, 0.05, 0.65, 0.15, 79.1, 0.7, 1.4, 0.4, 223.6, 0.01, 0, 
5, eco2, 2, 903912, -373.6, 1482.2, 15250.2, 471, 134.4, 60.7, 267.5, 0.31, 110.1, 2.4, 296.5, 206.7, 6862.1, 1245.9, 2413.8, 751.3, 31.9, 50, 29.6, 32.3, 384.9, 150.8, 630.2, 316.3, 6.2, 4.1, 16.8, 6.3, 6.3, 3.7, 0.2, 1.5, 0.1, 1.2, 3.4, 6.5, 16.2, 37.3, 0.1, -0.1, 0, 0.2, 0.4, 0.3, -0.2, 0, 0.05, 0.62, 0.11, 22.4, 0.2, 0.9, 0.6, 66.6, 0.01, 0, 
5, eco3, 3, 540517, -490.9, 1729.6, 16958, 508, 144.8, 69, 288.1, 0.2, 147.5, 2.6, 335.2, 233.9, 7629.1, 1399.1, 1544.5, 633.9, 36.7, 57.8, 31.6, 35, 267.7, 155.9, 784.6, 521.3, 7.1, 4.7, 18.7, 6.9, 4.2, 3.1, 0.2, 1.8, 0.2, 1.3, 3.8, 7.9, 26, 61.5, 0.1, -0.1, 0, 0.2, 0.4, 0.4, 0.2, 0, 0.04, 0.91, 0.11, 3.4, 0, 1.2, 0.7, 102.8, 0, 0, 
