Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, ArbuMenz, eco1, 73958, 1, 1, 0.13, 0.08, 273.64, 0, 339, 
1, ArbuMenz, eco2, 195671, 0.99, 1, 0.55, 0.33, 199.53, 0, 365, 
1, ArbuMenz, eco3, 116438, 1, 1, 0.71, 0.42, 134.3, 0, 340, 
1, Arctosta, eco1, 65426, 0.96, 1, 0.39, 0.23, 275.33, 0, 339, 
1, Arctosta, eco2, 163524, 0.93, 1, 0.66, 0.4, 200, 0, 365, 
1, Arctosta, eco3, 116721, 0.99, 1, 0.77, 0.46, 132.65, 0, 340, 
1, CaloDecu, eco1, 194974, 0.76, 1, 0.05, 0.03, 275.89, 0, 339, 
1, CaloDecu, eco2, 400232, 0.68, 1, 0.45, 0.27, 198.85, 0, 365, 
1, CaloDecu, eco3, 255873, 0.88, 1, 0.65, 0.39, 136.1, 0, 340, 
1, Ceanothu, eco1, 73702, 0.94, 1, 0.39, 0.24, 273.53, 0, 339, 
1, Ceanothu, eco2, 195544, 0.91, 1, 0.66, 0.4, 199.61, 0, 365, 
1, Ceanothu, eco3, 117015, 0.98, 1, 0.77, 0.46, 134.31, 0, 340, 
1, ChryChry, eco1, 79119, 0.71, 1, 0.06, 0.04, 272.73, 0, 339, 
1, ChryChry, eco2, 212095, 0.63, 1, 0.45, 0.26, 198.7, 0, 365, 
1, ChryChry, eco3, 124850, 0.84, 1, 0.65, 0.39, 136.25, 0, 340, 
1, Frangula, eco1, 78885, 0.99, 1, 0.13, 0.08, 272.78, 0, 339, 
1, Frangula, eco2, 212052, 0.98, 1, 0.56, 0.33, 198.77, 0, 365, 
1, Frangula, eco3, 124778, 1, 1, 0.7, 0.42, 136.21, 0, 340, 
1, Garrya, eco1, 195357, 0.87, 1, 0.27, 0.16, 275.98, 0, 339, 
1, Garrya, eco2, 399435, 0.8, 1, 0.62, 0.37, 198.87, 0, 365, 
1, Garrya, eco3, 255961, 0.96, 1, 0.74, 0.45, 136.12, 0, 340, 
1, GaulShal, eco1, 195738, 1, 1, 0.11, 0.07, 276.06, 0, 339, 
1, GaulShal, eco2, 399811, 0.99, 1, 0.56, 0.33, 198.77, 0, 365, 
1, GaulShal, eco3, 255570, 1, 1, 0.7, 0.42, 136.14, 0, 340, 
1, MahoNerv, eco1, 195357, 0.98, 1, 0.27, 0.16, 275.9, 0, 339, 
1, MahoNerv, eco2, 399196, 0.97, 1, 0.62, 0.37, 198.76, 0, 365, 
1, MahoNerv, eco3, 255305, 1, 1, 0.74, 0.45, 136.13, 0, 340, 
1, NothDens, eco1, 195394, 0.57, 1, 0.27, 0.16, 275.84, 0, 339, 
1, NothDens, eco2, 399375, 0.43, 1, 0.62, 0.26, 198.87, 0, 365, 
1, NothDens, eco3, 255616, 0.79, 1, 0.74, 0.44, 136.14, 0, 340, 
1, PinuJeff, eco1, 73669, 0.96, 1, 0.28, 0.17, 273.4, 0, 339, 
1, PinuJeff, eco2, 194906, 0.97, 1, 0.62, 0.37, 199.53, 0, 365, 
1, PinuJeff, eco3, 116042, 0.93, 1, 0.75, 0.45, 134.4, 0, 340, 
1, PinuLamb, eco1, 78983, 0.92, 1, 0.06, 0.04, 272.73, 0, 339, 
1, PinuLamb, eco2, 212060, 0.87, 1, 0.45, 0.27, 198.67, 0, 365, 
1, PinuLamb, eco3, 124811, 0.97, 1, 0.65, 0.39, 136.15, 0, 340, 
1, PinuMont, eco1, 73493, 0, 1, 0.13, 0, 273.46, 0, 339, 
1, PinuMont, eco2, 195301, 0, 1, 0.55, 0, 199.64, 0, 365, 
1, PinuMont, eco3, 116647, 0, 1, 0.71, 0, 134.29, 0, 340, 
1, PseuMenz, eco1, 78936, 1, 1, 0.06, 0.04, 272.76, 0, 339, 
1, PseuMenz, eco2, 212096, 0.99, 1, 0.45, 0.27, 198.71, 0, 365, 
1, PseuMenz, eco3, 125113, 1, 1, 0.65, 0.39, 136.31, 0, 340, 
1, Quercus, eco1, 73784, 1, 1, 0.39, 0.24, 273.42, 0, 339, 
1, Quercus, eco2, 195596, 0.99, 1, 0.66, 0.4, 199.55, 0, 365, 
1, Quercus, eco3, 116685, 0.99, 1, 0.77, 0.46, 134.27, 0, 340, 
1, Rhododen, eco1, 195167, 0, 1, 0.11, 0, 276, 0, 339, 
1, Rhododen, eco2, 399643, 0, 1, 0.56, 0, 198.83, 0, 365, 
1, Rhododen, eco3, 255185, 0.21, 1, 0.7, 0.13, 136.14, 0, 340, 
1, Rubus, eco1, 79046, 0.98, 1, 0.29, 0.17, 272.69, 0, 339, 
1, Rubus, eco2, 212291, 0.96, 1, 0.62, 0.37, 198.69, 0, 365, 
1, Rubus, eco3, 124886, 1, 1, 0.74, 0.45, 136.3, 0, 340, 
1, Vacciniu, eco1, 195028, 0.97, 1, 0.27, 0.16, 275.95, 0, 339, 
1, Vacciniu, eco2, 399130, 0.98, 1, 0.62, 0.37, 198.83, 0, 365, 
1, Vacciniu, eco3, 255565, 0.95, 1, 0.74, 0.45, 136.12, 0, 340, 
1, WhipMode, eco1, 195264, 1, 1, 0.27, 0.16, 276, 0, 339, 
1, WhipMode, eco2, 399360, 0.99, 1, 0.62, 0.37, 198.87, 0, 365, 
1, WhipMode, eco3, 255216, 1, 1, 0.74, 0.45, 136.12, 0, 340, 
2, ArbuMenz, eco1, 77175, 0.94, 1, 0.41, 0.25, 210.05, 0, 319, 
2, ArbuMenz, eco2, 148021, 0.94, 1, 0.61, 0.37, 173.57, 0, 347, 
2, ArbuMenz, eco3, 89877, 0.98, 1, 0.67, 0.4, 138.88, 0, 314, 
2, Arctosta, eco1, 94906, 0.85, 1, 0.57, 0.34, 211.06, 0, 319, 
2, Arctosta, eco2, 164568, 0.85, 1, 0.7, 0.42, 174.42, 0, 347, 
2, Arctosta, eco3, 97955, 0.93, 1, 0.74, 0.44, 139.08, 0, 314, 
2, CaloDecu, eco1, 184968, 0.43, 1, 0.23, 0.14, 209.37, 0, 319, 
2, CaloDecu, eco2, 367886, 0.42, 1, 0.53, 0.25, 173.43, 0, 347, 
2, CaloDecu, eco3, 241000, 0.66, 1, 0.59, 0.35, 142.13, 0, 314, 
2, Ceanothu, eco1, 77051, 0.81, 1, 0.57, 0.34, 209.96, 0, 319, 
2, Ceanothu, eco2, 148197, 0.81, 1, 0.7, 0.42, 173.6, 0, 347, 
2, Ceanothu, eco3, 90170, 0.9, 1, 0.74, 0.44, 138.88, 0, 314, 
2, ChryChry, eco1, 48663, 0.38, 1, 0.24, 0.14, 207.71, 0, 319, 
2, ChryChry, eco2, 92947, 0.38, 1, 0.54, 0.23, 171.64, 0, 347, 
2, ChryChry, eco3, 70225, 0.61, 1, 0.6, 0.34, 139.97, 0, 314, 
2, Frangula, eco1, 48757, 0.94, 1, 0.43, 0.26, 207.66, 0, 319, 
2, Frangula, eco2, 92683, 0.94, 1, 0.62, 0.37, 171.64, 0, 347, 
2, Frangula, eco3, 70008, 0.98, 1, 0.66, 0.4, 140.05, 0, 314, 
2, Garrya, eco1, 185535, 0.57, 1, 0.52, 0.31, 209.27, 0, 319, 
2, Garrya, eco2, 368179, 0.57, 1, 0.67, 0.34, 173.44, 0, 347, 
2, Garrya, eco3, 241582, 0.78, 1, 0.7, 0.42, 142.14, 0, 314, 
2, GaulShal, eco1, 185359, 0.94, 1, 0.42, 0.25, 209.27, 0, 319, 
2, GaulShal, eco2, 367468, 0.94, 1, 0.61, 0.37, 173.43, 0, 347, 
2, GaulShal, eco3, 241359, 0.98, 1, 0.66, 0.39, 142.13, 0, 314, 
2, MahoNerv, eco1, 185063, 0.9, 1, 0.52, 0.31, 209.27, 0, 319, 
2, MahoNerv, eco2, 368366, 0.9, 1, 0.67, 0.4, 173.44, 0, 347, 
2, MahoNerv, eco3, 241706, 0.96, 1, 0.7, 0.42, 142.09, 0, 314, 
2, NothDens, eco1, 184860, 0, 1, 0.52, 0, 209.34, 0, 319, 
2, NothDens, eco2, 368137, 0, 1, 0.67, 0, 173.46, 0, 347, 
2, NothDens, eco3, 240938, 0.38, 1, 0.7, 0.23, 142.15, 0, 314, 
2, PinuJeff, eco1, 77207, 0.99, 1, 0.52, 0.31, 210, 0, 319, 
2, PinuJeff, eco2, 148668, 0.99, 1, 0.67, 0.4, 173.59, 0, 347, 
2, PinuJeff, eco3, 89897, 0.97, 1, 0.71, 0.43, 138.8, 0, 314, 
2, PinuLamb, eco1, 48608, 0.73, 1, 0.25, 0.15, 207.57, 0, 319, 
2, PinuLamb, eco2, 93081, 0.72, 1, 0.54, 0.32, 171.68, 0, 347, 
2, PinuLamb, eco3, 70176, 0.86, 1, 0.6, 0.36, 139.93, 0, 314, 
2, PinuMont, eco1, 77163, 0, 1, 0.41, 0, 210.03, 0, 319, 
2, PinuMont, eco2, 148116, 0, 1, 0.61, 0, 173.6, 0, 347, 
2, PinuMont, eco3, 89749, 0, 1, 0.67, 0, 138.98, 0, 314, 
2, PseuMenz, eco1, 48528, 0.97, 1, 0.24, 0.15, 207.61, 0, 319, 
2, PseuMenz, eco2, 92860, 0.97, 1, 0.54, 0.32, 171.68, 0, 347, 
2, PseuMenz, eco3, 70395, 0.99, 1, 0.6, 0.36, 140.04, 0, 314, 
2, Quercus, eco1, 77282, 0.96, 1, 0.57, 0.34, 210.04, 0, 319, 
2, Quercus, eco2, 148194, 0.96, 1, 0.7, 0.42, 173.6, 0, 347, 
2, Quercus, eco3, 89916, 0.99, 1, 0.74, 0.44, 138.93, 0, 314, 
2, Rhododen, eco1, 185577, 0, 1, 0.42, 0, 209.31, 0, 319, 
2, Rhododen, eco2, 367526, 0, 1, 0.61, 0, 173.42, 0, 347, 
2, Rhododen, eco3, 241155, 0, 1, 0.66, 0, 142.14, 0, 314, 
2, Rubus, eco1, 48687, 0.9, 1, 0.52, 0.31, 207.67, 0, 319, 
2, Rubus, eco2, 92795, 0.9, 1, 0.67, 0.4, 171.71, 0, 347, 
2, Rubus, eco3, 70506, 0.95, 1, 0.71, 0.43, 140.1, 0, 314, 
2, Vacciniu, eco1, 185144, 1, 1, 0.52, 0.31, 209.3, 0, 319, 
2, Vacciniu, eco2, 368058, 1, 1, 0.67, 0.4, 173.47, 0, 347, 
2, Vacciniu, eco3, 240974, 0.99, 1, 0.7, 0.42, 142.06, 0, 314, 
2, WhipMode, eco1, 184862, 0.94, 1, 0.52, 0.31, 209.29, 0, 319, 
2, WhipMode, eco2, 367736, 0.94, 1, 0.67, 0.4, 173.4, 0, 347, 
2, WhipMode, eco3, 241499, 0.98, 1, 0.7, 0.42, 142.09, 0, 314, 
3, ArbuMenz, eco1, 91781, 0.95, 1, 0.12, 0.07, 255.36, 0, 317, 
3, ArbuMenz, eco2, 172832, 0.95, 1, 0.61, 0.37, 180.15, 0, 365, 
3, ArbuMenz, eco3, 86895, 0.99, 1, 0.7, 0.42, 127.79, 0, 315, 
3, Arctosta, eco1, 120202, 0.87, 1, 0.41, 0.24, 256.19, 0, 317, 
3, Arctosta, eco2, 210048, 0.86, 1, 0.7, 0.42, 181.49, 0, 365, 
3, Arctosta, eco3, 92506, 0.94, 1, 0.77, 0.46, 127.19, 0, 315, 
3, CaloDecu, eco1, 161237, 0.49, 1, 0.07, 0.04, 252.3, 0, 317, 
3, CaloDecu, eco2, 340118, 0.45, 1, 0.54, 0.26, 178.52, 0, 365, 
3, CaloDecu, eco3, 238047, 0.71, 1, 0.63, 0.37, 131.98, 0, 315, 
3, Ceanothu, eco1, 91599, 0.84, 1, 0.41, 0.24, 255.46, 0, 317, 
3, Ceanothu, eco2, 173109, 0.82, 1, 0.7, 0.42, 180.14, 0, 365, 
3, Ceanothu, eco3, 86901, 0.92, 1, 0.76, 0.46, 127.7, 0, 315, 
3, ChryChry, eco1, 40829, 0.45, 1, 0.08, 0.04, 251.37, 0, 317, 
3, ChryChry, eco2, 85752, 0.41, 1, 0.55, 0.24, 176.5, 0, 365, 
3, ChryChry, eco3, 63485, 0.66, 1, 0.63, 0.36, 130.24, 0, 315, 
3, Frangula, eco1, 40973, 0.95, 1, 0.14, 0.08, 251.24, 0, 317, 
3, Frangula, eco2, 85572, 0.94, 1, 0.62, 0.37, 176.5, 0, 365, 
3, Frangula, eco3, 63512, 0.98, 1, 0.69, 0.42, 130.27, 0, 315, 
3, Garrya, eco1, 161379, 0.63, 1, 0.29, 0.17, 252.28, 0, 317, 
3, Garrya, eco2, 340392, 0.6, 1, 0.67, 0.35, 178.49, 0, 365, 
3, Garrya, eco3, 238368, 0.83, 1, 0.73, 0.44, 131.93, 0, 315, 
3, GaulShal, eco1, 161449, 0.95, 1, 0.14, 0.08, 252.37, 0, 317, 
3, GaulShal, eco2, 339164, 0.95, 1, 0.62, 0.37, 178.46, 0, 365, 
3, GaulShal, eco3, 237689, 0.99, 1, 0.69, 0.41, 131.9, 0, 315, 
3, MahoNerv, eco1, 161358, 0.92, 1, 0.29, 0.17, 252.29, 0, 317, 
3, MahoNerv, eco2, 339771, 0.91, 1, 0.67, 0.4, 178.48, 0, 365, 
3, MahoNerv, eco3, 238433, 0.97, 1, 0.73, 0.44, 131.97, 0, 315, 
3, NothDens, eco1, 161824, 0.09, 1, 0.29, 0.05, 252.37, 0, 317, 
3, NothDens, eco2, 339592, 0.01, 1, 0.67, 0.01, 178.43, 0, 365, 
3, NothDens, eco3, 238382, 0.48, 1, 0.73, 0.29, 131.93, 0, 315, 
3, PinuJeff, eco1, 91139, 0.99, 1, 0.28, 0.17, 255.41, 0, 317, 
3, PinuJeff, eco2, 173114, 0.99, 1, 0.67, 0.4, 180.18, 0, 365, 
3, PinuJeff, eco3, 86788, 0.97, 1, 0.74, 0.44, 127.78, 0, 315, 
3, PinuLamb, eco1, 41048, 0.77, 1, 0.08, 0.05, 251.23, 0, 317, 
3, PinuLamb, eco2, 85581, 0.74, 1, 0.55, 0.33, 176.46, 0, 365, 
3, PinuLamb, eco3, 63828, 0.89, 1, 0.63, 0.38, 130.21, 0, 315, 
