Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1533.5, 18275.9, 0, 4, 126.3, 
1, -752.5, 1606, 17586.5, 672.9, 0.44, 850.8, 
2, -534.8, 1690.6, 16689.7, 534.9, 0.43, 1377.8, 
3, -489.5, 1810.7, 15829.7, 532.4, 0.4, 1811.3, 
4, -390.7, 1946.3, 14971, 470.7, 0.41, 2155.1, 
5, -334.9, 2086.8, 14455.4, 437.5, 0.38, 2363.8, 
6, -320.5, 2244.4, 14427.1, 457.4, 0.4, 2426.5, 
7, -334.1, 2419.7, 14526.2, 514.1, 0.4, 2445, 
8, -349, 2574.9, 14686.2, 517.9, 0.35, 2472.6, 
9, -308.3, 2721.3, 14492.9, 479, 0.36, 2579.8, 
10, -284.8, 2870.1, 14128.6, 471.2, 0.42, 2704.6, 
11, -173.8, 3042.7, 13752.6, 449.7, 0.4, 2751.7, 
12, -246.3, 3176, 13893.5, 442.9, 0.36, 2744.3, 
13, -221.1, 3321.9, 14114.4, 469.6, 0.38, 2693.6, 
14, -228.1, 3457.9, 14101.8, 476, 0.4, 2710.3, 
15, -219.8, 3593.1, 13576.9, 485.8, 0.42, 2838.6, 
16, -153.5, 3718.2, 13106.8, 417.6, 0.43, 2928.4, 
17, -121.8, 3857.8, 13237.6, 429.6, 0.48, 2844.7, 
18, -180.5, 3974.6, 13312.3, 447, 0.5, 2825.1, 
19, -129.8, 4085, 13329.6, 409.6, 0.51, 2802.9, 
20, -174.3, 4197.1, 13523.8, 476.5, 0.53, 2746.9, 
21, -188.2, 4301, 13773.1, 484.6, 0.54, 2698.1, 
22, -182.7, 4405.6, 13828.6, 531, 0.57, 2678.9, 
23, -141.9, 4500.1, 13958.1, 480.8, 0.6, 2634.9, 
24, -203.4, 4583.7, 14076, 482.1, 0.62, 2647.5, 
25, -118.9, 4663.2, 13785.7, 427.5, 0.64, 2702.8, 
26, -155.6, 4753.4, 13963.2, 480.6, 0.68, 2668.2, 
27, -193.6, 4832.3, 14066.3, 486.2, 0.69, 2686.3, 
28, -159, 4914.3, 14183.4, 489.1, 0.7, 2675.9, 
29, -108.1, 4989, 14134.1, 428.7, 0.71, 2690.7, 
30, -110.8, 5064.4, 14182.5, 462.7, 0.73, 2670.6, 
31, -130.6, 5127.8, 14201.9, 393.2, 0.74, 2695.8, 
32, -109.5, 5193.2, 13868.9, 423.2, 0.79, 2791.3, 
33, -116.2, 5265.4, 14004, 462.7, 0.79, 2755.2, 
34, -139.8, 5336, 14093.4, 471.5, 0.83, 2751.9, 
35, -75.1, 5403.7, 13933.8, 446.4, 0.88, 2768.4, 
36, -86.9, 5467.6, 13929.9, 455, 0.94, 2755, 
37, -83.3, 5526.5, 13941.6, 455.8, 1, 2739.5, 
38, -130.1, 5582.5, 13942.7, 507.4, 1.09, 2742.3, 
39, -6.7, 5638.5, 13699.7, 477.2, 1.22, 2730.4, 
40, -82.3, 5681.2, 13786.1, 423.7, 1.23, 2685, 
41, -60.8, 5725, 13958, 491.7, 1.41, 2610.8, 
42, -61.4, 5760.2, 14033.5, 409.1, 1.42, 2584.8, 
43, -90.5, 5795.7, 14094.1, 411.5, 1.52, 2586.2, 
44, -131, 5833.7, 14143.2, 452.8, 1.57, 2614.9, 
45, -60.7, 5876.8, 13939.4, 436.9, 1.56, 2659.1, 
46, -64.4, 5914.9, 14090.7, 456.6, 1.64, 2609.8, 
47, -127.9, 5949.8, 14186.1, 457, 1.7, 2622.2, 
48, -73.8, 5984.5, 14226.7, 405.7, 1.82, 2622.5, 
49, -98.1, 6022.7, 14211.6, 472, 1.9, 2649.1, 
50, -19, 6054.5, 13852.7, 357.6, 1.94, 2717.7, 
51, -10.8, 6089.6, 13870.9, 390.6, 2.04, 2682.1, 
