Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, ArbuMenz, eco1, 72017, 1, 1, 0.14, 0.08, 216.8, 20, 284, 
1, ArbuMenz, eco2, 192411, 1, 1, 0.37, 0.22, 227.81, 0, 333, 
1, ArbuMenz, eco3, 116287, 0.97, 1, 0.52, 0.31, 156.97, 19, 289, 
1, Arctosta, eco1, 62481, 0.99, 1, 0.36, 0.21, 217.91, 20, 284, 
1, Arctosta, eco2, 151768, 0.98, 1, 0.55, 0.33, 226.58, 0, 333, 
1, Arctosta, eco3, 116766, 1, 1, 0.64, 0.39, 154.57, 19, 289, 
1, CaloDecu, eco1, 197966, 0.92, 1, 0.03, 0.02, 218.77, 20, 284, 
1, CaloDecu, eco2, 418113, 0.84, 1, 0.15, 0.09, 228.63, 0, 333, 
1, CaloDecu, eco3, 256608, 0.98, 1, 0.38, 0.23, 158.79, 19, 289, 
1, Ceanothu, eco1, 71868, 0.99, 1, 0.36, 0.22, 216.79, 20, 284, 
1, Ceanothu, eco2, 192685, 0.97, 1, 0.55, 0.33, 227.79, 0, 333, 
1, Ceanothu, eco3, 116872, 1, 1, 0.64, 0.38, 156.96, 19, 289, 
1, ChryChry, eco1, 80026, 0.87, 1, 0.04, 0.02, 216.83, 20, 284, 
1, ChryChry, eco2, 220235, 0.8, 1, 0.14, 0.09, 228.52, 0, 333, 
1, ChryChry, eco3, 125561, 0.95, 1, 0.38, 0.23, 159.81, 19, 289, 
1, Frangula, eco1, 80160, 1, 1, 0.14, 0.09, 216.8, 20, 284, 
1, Frangula, eco2, 220532, 1, 1, 0.36, 0.22, 228.48, 0, 333, 
1, Frangula, eco3, 125407, 0.99, 1, 0.5, 0.3, 159.83, 19, 289, 
1, Garrya, eco1, 197569, 0.98, 1, 0.26, 0.16, 218.75, 20, 284, 
1, Garrya, eco2, 418182, 0.93, 1, 0.48, 0.29, 228.65, 0, 333, 
1, Garrya, eco3, 256646, 1, 1, 0.59, 0.35, 158.79, 19, 289, 
1, GaulShal, eco1, 198877, 1, 1, 0.13, 0.08, 218.69, 20, 284, 
1, GaulShal, eco2, 417488, 1, 1, 0.36, 0.22, 228.62, 0, 333, 
1, GaulShal, eco3, 256029, 0.97, 1, 0.51, 0.31, 158.75, 19, 289, 
1, MahoNerv, eco1, 198547, 1, 1, 0.26, 0.16, 218.83, 20, 284, 
1, MahoNerv, eco2, 417095, 1, 1, 0.48, 0.29, 228.64, 0, 333, 
1, MahoNerv, eco3, 255813, 0.99, 1, 0.59, 0.35, 158.77, 19, 289, 
1, NothDens, eco1, 198455, 0.85, 1, 0.26, 0.16, 218.8, 20, 284, 
1, NothDens, eco2, 417975, 0.72, 1, 0.48, 0.29, 228.66, 0, 333, 
1, NothDens, eco3, 256396, 0.96, 1, 0.59, 0.35, 158.74, 19, 289, 
1, PinuJeff, eco1, 72191, 0.91, 1, 0.27, 0.16, 216.96, 20, 284, 
1, PinuJeff, eco2, 192189, 0.94, 1, 0.49, 0.29, 227.8, 0, 333, 
1, PinuJeff, eco3, 116417, 0.87, 1, 0.59, 0.36, 156.92, 19, 289, 
1, PinuLamb, eco1, 79828, 0.99, 1, 0.04, 0.02, 216.78, 20, 284, 
1, PinuLamb, eco2, 220835, 0.96, 1, 0.14, 0.09, 228.46, 0, 333, 
1, PinuLamb, eco3, 125468, 1, 1, 0.38, 0.23, 159.84, 19, 289, 
1, PinuMont, eco1, 72191, 0, 1, 0.14, 0, 216.92, 20, 284, 
1, PinuMont, eco2, 192235, 0, 1, 0.37, 0, 227.75, 0, 333, 
1, PinuMont, eco3, 116754, 0.17, 1, 0.52, 0.1, 157.03, 19, 289, 
1, PseuMenz, eco1, 79953, 1, 1, 0.04, 0.02, 216.77, 20, 284, 
1, PseuMenz, eco2, 220624, 1, 1, 0.14, 0.09, 228.52, 0, 333, 
1, PseuMenz, eco3, 125718, 0.98, 1, 0.38, 0.23, 159.82, 19, 289, 
1, Quercus, eco1, 72206, 0.99, 1, 0.36, 0.22, 216.97, 20, 284, 
1, Quercus, eco2, 192466, 1, 1, 0.55, 0.33, 227.75, 0, 333, 
1, Quercus, eco3, 116426, 0.96, 1, 0.64, 0.38, 156.91, 19, 289, 
1, Rhododen, eco1, 198190, 0.32, 1, 0.13, 0.07, 218.7, 20, 284, 
1, Rhododen, eco2, 417460, 0.09, 1, 0.36, 0.06, 228.67, 0, 333, 
1, Rhododen, eco3, 256494, 0.58, 1, 0.51, 0.29, 158.83, 19, 289, 
1, Rubus, eco1, 80217, 1, 1, 0.27, 0.16, 216.79, 20, 284, 
1, Rubus, eco2, 220564, 0.99, 1, 0.48, 0.29, 228.47, 0, 333, 
1, Rubus, eco3, 125708, 1, 1, 0.58, 0.35, 159.79, 19, 289, 
1, Vacciniu, eco1, 197879, 0.93, 1, 0.26, 0.16, 218.73, 20, 284, 
1, Vacciniu, eco2, 417877, 0.96, 1, 0.48, 0.29, 228.64, 0, 333, 
1, Vacciniu, eco3, 256290, 0.89, 1, 0.59, 0.35, 158.82, 19, 289, 
1, WhipMode, eco1, 197885, 1, 1, 0.26, 0.16, 218.81, 20, 284, 
1, WhipMode, eco2, 417256, 1, 1, 0.48, 0.29, 228.64, 0, 333, 
1, WhipMode, eco3, 256523, 0.97, 1, 0.59, 0.35, 158.77, 19, 289, 
2, ArbuMenz, eco1, 79467, 0.99, 1, 0.05, 0.03, 198.9, 67, 298, 
2, ArbuMenz, eco2, 131296, 1, 1, 0.29, 0.18, 188.88, 45, 307, 
2, ArbuMenz, eco3, 89957, 0.96, 1, 0.44, 0.26, 145.37, 72, 298, 
2, Arctosta, eco1, 102004, 1, 1, 0.34, 0.2, 199.43, 67, 298, 
2, Arctosta, eco2, 136498, 0.99, 1, 0.51, 0.31, 189.49, 45, 307, 
2, Arctosta, eco3, 94008, 1, 1, 0.59, 0.35, 145.31, 72, 298, 
2, CaloDecu, eco1, 166977, 0.95, 1, 0.01, 0.01, 199.47, 67, 298, 
2, CaloDecu, eco2, 378318, 0.91, 1, 0.07, 0.04, 189.22, 45, 307, 
2, CaloDecu, eco3, 242931, 0.99, 1, 0.24, 0.15, 147.26, 72, 298, 
2, Ceanothu, eco1, 79240, 1, 1, 0.34, 0.2, 198.92, 67, 298, 
2, Ceanothu, eco2, 130758, 0.99, 1, 0.51, 0.31, 188.84, 45, 307, 
2, Ceanothu, eco3, 89883, 1, 1, 0.59, 0.35, 145.3, 72, 298, 
2, ChryChry, eco1, 41813, 0.92, 1, 0.02, 0.01, 198.26, 67, 298, 
2, ChryChry, eco2, 92601, 0.87, 1, 0.08, 0.05, 187.68, 45, 307, 
2, ChryChry, eco3, 71932, 0.97, 1, 0.25, 0.15, 146.17, 72, 298, 
2, Frangula, eco1, 41801, 1, 1, 0.06, 0.04, 198.39, 67, 298, 
2, Frangula, eco2, 92229, 1, 1, 0.3, 0.18, 187.78, 45, 307, 
2, Frangula, eco3, 72083, 0.98, 1, 0.44, 0.26, 146.14, 72, 298, 
2, Garrya, eco1, 167036, 1, 1, 0.17, 0.1, 199.47, 67, 298, 
2, Garrya, eco2, 378919, 0.98, 1, 0.44, 0.26, 189.21, 45, 307, 
2, Garrya, eco3, 242949, 1, 1, 0.53, 0.32, 147.29, 72, 298, 
2, GaulShal, eco1, 167381, 0.99, 1, 0.05, 0.03, 199.44, 67, 298, 
2, GaulShal, eco2, 378348, 1, 1, 0.29, 0.17, 189.22, 45, 307, 
2, GaulShal, eco3, 242444, 0.96, 1, 0.43, 0.26, 147.28, 72, 298, 
2, MahoNerv, eco1, 166944, 1, 1, 0.17, 0.1, 199.41, 67, 298, 
2, MahoNerv, eco2, 378621, 1, 1, 0.44, 0.26, 189.24, 45, 307, 
2, MahoNerv, eco3, 243159, 0.98, 1, 0.53, 0.32, 147.27, 72, 298, 
2, NothDens, eco1, 167091, 0.91, 1, 0.17, 0.1, 199.49, 67, 298, 
2, NothDens, eco2, 378594, 0.84, 1, 0.44, 0.26, 189.22, 45, 307, 
2, NothDens, eco3, 242499, 0.98, 1, 0.53, 0.32, 147.28, 72, 298, 
2, PinuJeff, eco1, 79188, 0.89, 1, 0.18, 0.11, 198.91, 67, 298, 
2, PinuJeff, eco2, 131255, 0.91, 1, 0.44, 0.26, 188.83, 45, 307, 
2, PinuJeff, eco3, 89704, 0.85, 1, 0.53, 0.32, 145.34, 72, 298, 
2, PinuLamb, eco1, 41880, 1, 1, 0.02, 0.01, 198.32, 67, 298, 
2, PinuLamb, eco2, 92736, 0.98, 1, 0.08, 0.05, 187.78, 45, 307, 
2, PinuLamb, eco3, 72326, 1, 1, 0.25, 0.15, 146.17, 72, 298, 
2, PinuMont, eco1, 79498, 0, 1, 0.05, 0, 198.92, 67, 298, 
2, PinuMont, eco2, 131096, 0, 1, 0.29, 0, 188.87, 45, 307, 
2, PinuMont, eco3, 89766, 0.27, 1, 0.44, 0.16, 145.35, 72, 298, 
2, PseuMenz, eco1, 42127, 0.99, 1, 0.02, 0.01, 198.32, 67, 298, 
