Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
1, ArbuMenz, 0, 0, 28746, 61913, 
1, Arctosta, 0, 0, 17027, 99335, 
1, CaloDecu, 0, 0, 0, 85757, 
1, Ceanothu, 0, 0, 0, 29142, 
1, ChryChry, 0, 0, 1198, 20165, 
1, Frangula, 0, 0, 227, 22510, 
1, Garrya, 0, 0, 10, 65998, 
1, GaulShal, 0, 0, 808, 24649, 
1, MahoNerv, 0, 0, 1102, 10956, 
1, NothDens, 0, 0, 4001, 180528, 
1, PinuJeff, 0, 0, 0, 68988, 
1, PinuLamb, 0, 0, 0, 30309, 
1, PinuMont, 0, 0, 0, 7689, 
1, PseuMenz, 0, 0, 0, 49540, 
1, Quercus, 0, 0, 3018, 87734, 
1, Rhododen, 0, 0, 277, 33902, 
1, Rubus, 0, 0, 264, 13240, 
1, Vacciniu, 0, 0, 488, 125264, 
1, WhipMode, 0, 0, 802, 66239, 
2, ArbuMenz, 0, 0, 48249, 32357, 
2, Arctosta, 0, 0, 33692, 81285, 
2, CaloDecu, 0, 0, 0, 46644, 
2, Ceanothu, 0, 0, 0, 23853, 
2, ChryChry, 0, 0, 2327, 5984, 
2, Frangula, 0, 0, 507, 9114, 
2, Garrya, 0, 0, 66, 56720, 
2, GaulShal, 0, 0, 1060, 17804, 
2, MahoNerv, 0, 0, 123, 9138, 
2, NothDens, 0, 0, 8095, 143872, 
2, PinuJeff, 0, 0, 0, 49877, 
2, PinuLamb, 0, 0, 0, 12501, 
2, PinuMont, 0, 0, 0, 10131, 
2, PseuMenz, 0, 0, 0, 16268, 
2, Quercus, 0, 0, 7084, 60585, 
2, Rhododen, 0, 0, 175, 36525, 
2, Rubus, 0, 0, 147, 7562, 
2, Vacciniu, 0, 0, 1163, 101448, 
2, WhipMode, 0, 0, 553, 55312, 
3, ArbuMenz, 0, 0, 17705, 79948, 
3, Arctosta, 0, 0, 11612, 127469, 
3, CaloDecu, 0, 0, 0, 184511, 
3, Ceanothu, 0, 0, 0, 30813, 
3, ChryChry, 0, 0, 960, 23340, 
3, Frangula, 0, 0, 223, 15957, 
3, Garrya, 0, 0, 12, 80647, 
3, GaulShal, 0, 0, 494, 34095, 
3, MahoNerv, 0, 0, 13, 13343, 
3, NothDens, 0, 0, 3368, 207641, 
3, PinuJeff, 0, 0, 0, 80480, 
3, PinuLamb, 0, 0, 0, 43517, 
3, PinuMont, 0, 0, 0, 0, 
3, PseuMenz, 0, 0, 0, 57334, 
3, Quercus, 0, 0, 2145, 84272, 
3, Rhododen, 0, 0, 34, 17246, 
3, Rubus, 0, 0, 22, 10196, 
3, Vacciniu, 0, 0, 430, 147402, 
3, WhipMode, 0, 0, 151, 81392, 
4, ArbuMenz, 0, 0, 22770, 86315, 
4, Arctosta, 0, 0, 13451, 126326, 
4, CaloDecu, 0, 0, 0, 180023, 
4, Ceanothu, 0, 0, 0, 28571, 
4, ChryChry, 0, 0, 1380, 19625, 
4, Frangula, 0, 0, 306, 16586, 
4, Garrya, 0, 0, 131, 81037, 
4, GaulShal, 0, 0, 390, 37888, 
4, MahoNerv, 0, 0, 8, 14469, 
4, NothDens, 0, 0, 5966, 59126, 
4, PinuJeff, 0, 0, 0, 81573, 
4, PinuLamb, 0, 0, 0, 47023, 
4, PinuMont, 0, 0, 0, 0, 
4, PseuMenz, 0, 0, 0, 63041, 
4, Quercus, 0, 0, 2704, 84236, 
4, Rhododen, 0, 0, 140, 0, 
4, Rubus, 0, 0, 15, 11095, 
4, Vacciniu, 0, 0, 742, 157114, 
4, WhipMode, 0, 0, 201, 87510, 
5, ArbuMenz, 0, 0, 13898, 66069, 
5, Arctosta, 0, 0, 8603, 97937, 
5, CaloDecu, 49451, 0, 0, 164833, 
5, Ceanothu, 0, 0, 0, 24236, 
5, ChryChry, 0, 0, 886, 19691, 
5, Frangula, 0, 0, 201, 15295, 
5, Garrya, 0, 0, 65, 80689, 
5, GaulShal, 0, 0, 280, 32603, 
5, MahoNerv, 0, 0, 8, 13124, 
5, NothDens, 0, 0, 4468, 116568, 
5, PinuJeff, 0, 0, 0, 66438, 
5, PinuLamb, 0, 0, 0, 41611, 
5, PinuMont, 0, 0, 0, 0, 
5, PseuMenz, 49954, 0, 0, 57529, 
5, Quercus, 0, 0, 1888, 72776, 
5, Rhododen, 0, 0, 118, 0, 
5, Rubus, 0, 0, 8, 17822, 
5, Vacciniu, 0, 0, 395, 140504, 
5, WhipMode, 0, 0, 160, 83177, 
6, ArbuMenz, 0, 0, 12886, 65985, 
6, Arctosta, 0, 0, 6427, 93650, 
6, CaloDecu, 0, 0, 0, 167582, 
6, Ceanothu, 0, 0, 0, 21034, 
6, ChryChry, 0, 0, 711, 18212, 
6, Frangula, 0, 0, 189, 13406, 
6, Garrya, 0, 0, 78, 81848, 
6, GaulShal, 0, 0, 260, 33044, 
6, MahoNerv, 0, 0, 14, 13266, 
6, NothDens, 0, 0, 3735, 144088, 
6, PinuJeff, 0, 0, 0, 59889, 
6, PinuLamb, 0, 0, 0, 34534, 
6, PinuMont, 0, 0, 0, 0, 
6, PseuMenz, 0, 0, 0, 52373, 
6, Quercus, 0, 0, 1242, 67458, 
6, Rhododen, 0, 0, 49, 1597, 
6, Rubus, 0, 0, 17, 19598, 
6, Vacciniu, 0, 0, 456, 140939, 
6, WhipMode, 0, 0, 137, 88692, 
7, ArbuMenz, 0, 0, 11634, 64083, 
7, Arctosta, 0, 0, 5950, 94516, 
7, CaloDecu, 0, 0, 0, 187826, 
7, Ceanothu, 0, 0, 0, 19620, 
7, ChryChry, 0, 0, 1035, 17091, 
7, Frangula, 0, 0, 495, 12823, 
7, Garrya, 0, 0, 693, 88122, 
