Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 1, 457557, 0, 3106.7, 19757.1, 0, 0, 0, 0, 4, 263, 0, 0, 0, 9285.9, 1608, 100, 517.4, 84.2, 14.9, 0, 0, 31.1, 62.1, 1833, 1180.6, 0, 0, 23.2, 8.8, 0.5, 2.6, 0.4, 1.5, 0, 0, 3.1, 6.2, 73.3, 139.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227.9, 0, 0, 
0, eco2, 2, 903912, 0, 832.9, 19056.5, 0, 0, 0, 0, 4, 99.3, 0, 0, 0, 8956.6, 1594.1, 121.7, 548.4, 102.4, 18.1, 0, 0, 8.3, 16.7, 491.4, 316.5, 0, 0, 22, 8.2, 0.6, 2.7, 0.5, 1.8, 0, 0, 0.8, 1.7, 19.7, 37.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65.8, 0, 0, 
0, eco3, 3, 540517, 0, 1373.4, 15716.6, 0, 0, 0, 0, 4, 132.9, 0, 0, 0, 7386.8, 1327.1, 156.4, 463.4, 131.6, 23.2, 0, 0, 13.7, 27.5, 810.3, 521.9, 0, 0, 18.1, 6.6, 0.8, 2.3, 0.7, 2.3, 0, 0, 1.4, 2.7, 32.4, 61.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105.1, 0, 0, 
1, eco1, 1, 457557, -640.9, 3159.2, 17330, 603.9, 174.6, 11.2, 295.4, 0.69, 261.2, 3, 109.6, 75.8, 8033.1, 1401.1, 1175, 601.5, 12.8, 13.9, 3, 2.9, 104.4, 98.6, 1775.9, 1180.3, 2.4, 1.4, 20.1, 7.7, 3.2, 3, 0.1, 1.1, 0, 0.1, 3, 8.8, 70.4, 139.3, 0.1, 0.2, 0, 0, 0.3, 0.4, 0.1, 0, 0.05, 0.03, 0.06, 19.5, 0.5, 4.5, 0.1, 223.4, 0.03, 0, 
1, eco2, 2, 903912, -792.2, 931.1, 17516.3, 702.1, 203.8, 16.4, 329.7, 0.53, 99.8, 1.5, 124, 86.1, 8102.5, 1457.7, 1046.5, 629, 14.3, 18, 4.1, 4.1, 95.4, 31.6, 487.6, 316.4, 2.7, 1.7, 19.8, 7.5, 2.9, 3.1, 0.1, 1.4, 0, 0.2, 1.3, 2.4, 18.8, 37.3, 0.2, 0.3, 0, 0, 0.1, 0.1, 0.1, 0, 0.05, 0.03, 0.08, 10.6, 0.2, 4.3, 0.2, 62, 0.02, 0, 
1, eco3, 3, 540517, -795.8, 1458.3, 15505.5, 714.5, 207.4, 17.9, 295.4, 0.44, 134.3, 2.2, 125, 87, 7152.7, 1304.2, 794.4, 521.5, 15.9, 22.3, 4.5, 4.6, 104.7, 47.5, 784.3, 521.7, 2.7, 1.7, 17.5, 6.4, 2.4, 2.6, 0.1, 1.7, 0, 0.2, 2, 4, 30.9, 61.6, 0.3, 0.4, 0, 0, 0.2, 0.2, 0.2, 0, 0.05, 0.09, 0.11, 2.8, 0.1, 4.7, 0.2, 100.8, 0.01, 0, 
2, eco1, 1, 457557, -314.4, 3249.2, 14301.9, 390.7, 111.3, 29.7, 228, 0.68, 259.6, 3.4, 139.5, 97.1, 6580.2, 1155.3, 2180.3, 664.6, 12.5, 21.5, 11.3, 11.5, 182.7, 142.1, 1744.3, 1180.1, 2.9, 1.8, 16.5, 6.3, 5.7, 3.3, 0.1, 1, 0.1, 0.4, 2.9, 11.3, 67.4, 139.2, 0, 0.1, 0, 0, 0.3, 0.5, 0.4, 0, 0.05, 0.05, 0.04, 47.8, 0.6, 1.6, 0.3, 223, 0.01, 0, 
2, eco2, 2, 903912, -520.4, 1018.8, 17106.8, 496.7, 142.4, 37.3, 297.4, 0.46, 102.7, 1.6, 183.3, 127.6, 7854, 1417.8, 1433.9, 671.9, 14.8, 26.2, 11.7, 12.2, 151.7, 52.3, 498.4, 316.4, 3.9, 2.5, 19.2, 7.2, 3.9, 3.3, 0.1, 1.3, 0.1, 0.5, 1.7, 3.2, 18.1, 37.3, 0, 0.1, 0, 0.1, 0.2, 0.2, 0.1, 0, 0.05, 0.06, 0.05, 11.6, 0.1, 0.8, 0.4, 62.6, 0.01, 0, 
2, eco3, 3, 540517, -466.2, 1511.1, 15277.3, 441.9, 126.9, 35.6, 256.9, 0.36, 136.6, 2, 176.4, 123, 6998.5, 1279, 1124.3, 560.6, 15, 29, 11.8, 12.5, 144.8, 69.4, 775.2, 521.6, 3.8, 2.5, 17.1, 6.3, 3.2, 2.8, 0.1, 1.6, 0.1, 0.5, 2.3, 4.9, 29.6, 61.5, 0, 0.2, 0, 0.1, 0.2, 0.3, 0.3, 0, 0.05, 0.14, 0.07, 9.2, 0.1, 1.2, 0.4, 100.9, 0.01, 0, 
3, eco1, 1, 457557, -266, 3404.9, 12553, 433.2, 122.6, 35.9, 212.6, 0.69, 259.1, 4.6, 170.1, 118.4, 5723.2, 1009.1, 2672.5, 692.9, 15.6, 27.5, 16.1, 17.3, 296.4, 198.4, 1730.4, 1179.8, 3.5, 2.2, 14.4, 5.4, 6.9, 3.5, 0.1, 1, 0.1, 0.6, 3.1, 14.5, 64, 139.2, 0, 0, 0, 0.1, 0.4, 0.9, 0, 0.1, 0.05, 0.21, 0.09, 42, 0.4, 1.7, 0.4, 223.2, 0.01, 0, 
3, eco2, 2, 903912, -467.3, 1173.8, 15592.4, 523, 148.9, 45.9, 284.8, 0.44, 104.2, 2.2, 223.7, 155.9, 7095.5, 1283.9, 1974.2, 713.8, 19.4, 32.8, 18.4, 19.7, 236.9, 84.6, 536.1, 316.3, 4.8, 3.1, 17.4, 6.5, 5.2, 3.5, 0.1, 1.3, 0.1, 0.7, 2.2, 4.3, 17.3, 37.3, 0, 0, 0, 0.1, 0.3, 0.2, 0, 0, 0.05, 0.21, 0.09, 49.8, 0.3, 0.9, 0.5, 63.8, 0.01, 0, 
3, eco3, 3, 540517, -566.2, 1592, 15712.2, 559.2, 159.2, 49.4, 285.4, 0.31, 140.1, 2.7, 240.1, 167.5, 7135.1, 1305.8, 1285.2, 585.7, 20.5, 36.5, 17.5, 19.2, 196.1, 99.9, 774.5, 521.5, 5.1, 3.3, 17.5, 6.4, 3.6, 2.9, 0.1, 1.5, 0.1, 0.7, 2.8, 6.1, 28.2, 61.5, 0, 0, 0, 0.1, 0.4, 0.4, 0.3, 0, 0.05, 0.39, 0.09, 0.9, 0, 1.4, 0.5, 101.3, 0.01, 0, 
4, eco1, 1, 457557, -156.6, 3572.5, 11472.1, 376.2, 107.1, 39.4, 188.9, 0.69, 259, 4.9, 189.6, 132.1, 5198, 920.7, 2893, 700.1, 18.6, 32.9, 19.2, 21.2, 405.2, 253.1, 1734.7, 1179.6, 3.9, 2.4, 13.1, 4.9, 7.4, 3.5, 0.1, 1.1, 0.1, 0.8, 3.4, 17.6, 60.8, 139.1, 0, -0.1, 0, 0.1, 0.5, 1.1, -0.4, 0.1, 0.05, 0.31, 0.11, 31, 0.3, 1.7, 0.4, 223.7, 0.01, 0, 
4, eco2, 2, 903912, -438.2, 1335.4, 15519.8, 515.9, 147.2, 54.7, 281.4, 0.35, 107.3, 2.4, 268.8, 187.3, 7019.6, 1272.7, 2122, 727.6, 25.1, 40.8, 22.7, 24.8, 318.3, 117.5, 583.4, 316.3, 5.7, 3.7, 17.2, 6.4, 5.5, 3.6, 0.1, 1.4, 0.1, 0.9, 2.8, 5.4, 16.7, 37.3, 0, -0.1, 0, 0.1, 0.4, 0.3, -0.1, 0, 0.05, 0.31, 0.09, 12.3, 0.1, 0.9, 0.5, 65.1, 0.01, 0, 
4, eco3, 3, 540517, -542.1, 1683.2, 16147.4, 550.1, 157.3, 58.9, 285.8, 0.26, 143.6, 2.7, 293.5, 204.7, 7287.1, 1335.5, 1425.3, 606.4, 27.2, 45.4, 23.3, 25.9, 246.3, 130.2, 785.4, 521.4, 6.2, 4.1, 17.8, 6.6, 3.9, 3, 0.1, 1.6, 0.1, 1, 3.3, 7.1, 27, 61.5, 0, -0.1, 0, 0.1, 0.4, 0.4, 0.2, 0, 0.05, 0.56, 0.09, 0.7, 0, 1.3, 0.6, 101.9, 0, 0, 
5, eco1, 1, 457557, -138.6, 3732.5, 10471.6, 364.9, 103.6, 41.1, 175, 0.72, 258.9, 4.8, 201.8, 140.7, 4711.7, 837.9, 3062.2, 703.8, 21.2, 37.6, 22.2, 24.8, 497.9, 302.4, 1752.8, 1179.4, 4.1, 2.6, 11.9, 4.4, 7.9, 3.5, 0.1, 1.1, 0.1, 0.9, 3.8, 20.4, 58.3, 139.1, 0, -0.1, 0, 0.1, 0.5, 1.2, -0.6, 0.1, 0.05, 0.25, 0.08, 33.2, 0.3, 1.5, 0.4, 224.5, 0.01, 0, 
5, eco2, 2, 903912, -415.1, 1502.1, 15022.4, 513.5, 146.1, 60.2, 275.7, 0.31, 109.7, 2.5, 298.5, 208.1, 6755.6, 1227.3, 2364.9, 744.2, 30.1, 48.5, 28, 30.8, 394.3, 151.4, 640.1, 316.3, 6.3, 4.1, 16.6, 6.2, 6.1, 3.7, 0.2, 1.5, 0.1, 1.2, 3.4, 6.6, 16.2, 37.3, 0.1, -0.1, 0, 0.2, 0.4, 0.3, -0.2, 0, 0.05, 0.31, 0.07, 26.7, 0.2, 0.9, 0.6, 66.7, 0.01, 0, 
5, eco3, 3, 540517, -566.8, 1788.2, 16375.1, 583.7, 166.5, 68.3, 297, 0.22, 147, 2.8, 339.9, 237.1, 7347, 1348.9, 1630.6, 629.1, 34.3, 55.4, 29.7, 33.3, 298.6, 161.1, 807.2, 521.3, 7.2, 4.7, 18, 6.6, 4.4, 3.1, 0.2, 1.7, 0.2, 1.2, 3.8, 8.1, 26, 61.5, 0.1, -0.1, 0, 0.2, 0.5, 0.5, 0.2, 0, 0.05, 0.55, 0.08, 8.4, 0.1, 1.3, 0.7, 103, 0, 0, 
