SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 67, 1, 1, 2.60486733269989, Lightning, 
1, 130, 1, 1, 10.5363100898568, Rx, 
1, 132, 1, 1, 10.9695800171125, Rx, 
1, 134, 1, 1, 10.2825230821682, Rx, 
1, 135, 1, 1, 10.4318503731104, Rx, 
1, 136, 1, 1, 11.3875661299923, Rx, 
1, 142, 1, 1, 12.3773265284987, Rx, 
1, 143, 1, 1, 11.758242861617, Rx, 
1, 147, 1, 1, 13.261852397694, Rx, 
1, 152, 1, 1, 28.7451662084387, Accidental, 
1, 153, 1, 1, 21.4371438383783, Rx, 
1, 154, 1, 1, 19.1970702750424, Rx, 
1, 155, 1, 1, 16.2899972180281, Rx, 
1, 156, 1, 1, 15.9123933011825, Rx, 
1, 158, 1, 1, 14.8861657017748, Rx, 
1, 165, 1, 1, 19.0338384607396, Rx, 
1, 166, 1, 1, 18.2960191893926, Rx, 
1, 186, 1, 1, 18.49412921526, Lightning, 
1, 198, 1, 1, 18.5559345316717, Accidental, 
1, 255, 1, 1, 17.6085953281763, Lightning, 
1, 330, 1, 1, 34.7286165204205, Lightning, 
1, 339, 1, 1, 16.2858074458695, Accidental, 
2, 105, 1, 1, 4.15156271953811, Lightning, 
2, 135, 1, 1, 11.2596943807026, Rx, 
2, 139, 1, 1, 11.7282852959543, Rx, 
2, 142, 1, 1, 12.6670220107621, Rx, 
2, 153, 1, 1, 14.6931876860081, Lightning, 
2, 160, 1, 1, 10.5937239874185, Rx, 
2, 161, 1, 1, 11.472497376662, Rx, 
2, 168, 1, 1, 15.9760244095064, Rx, 
2, 170, 1, 1, 15.8729432861769, Rx, 
2, 176, 1, 1, 16.8434682527688, Rx, 
2, 177, 1, 1, 15.3365651054968, Rx, 
2, 179, 1, 1, 16.4532708063364, Rx, 
2, 180, 1, 1, 17.2498905446439, Rx, 
2, 182, 1, 1, 17.0390832927761, Rx, 
2, 183, 1, 1, 16.8384426363605, Rx, 
2, 184, 1, 1, 18.5581567773243, Rx, 
2, 191, 1, 1, 22.0986539295842, Lightning, 
2, 191, 1, 1, 22.0986539295842, Rx, 
2, 209, 1, 1, 45.4731498269597, Lightning, 
2, 211, 1, 1, 29.4591606937572, Lightning, 
2, 227, 1, 1, 41.7120395097513, Lightning, 
2, 249, 1, 1, 35.8015199961631, Lightning, 
2, 272, 1, 1, 41.3522601309023, Lightning, 
2, 276, 1, 1, 35.6022495902463, Lightning, 
3, 158, 1, 1, 10.1135254545696, Rx, 
3, 159, 1, 1, 11.184765593201, Rx, 
3, 160, 1, 1, 10.7317882787094, Rx, 
3, 162, 1, 1, 11.1908685233462, Rx, 
3, 163, 1, 1, 10.6179842823946, Rx, 
3, 164, 1, 1, 11.9244868889399, Rx, 
3, 165, 1, 1, 12.6671310147937, Rx, 
3, 168, 1, 1, 11.6255474168126, Rx, 
3, 171, 1, 1, 14.0493905991053, Rx, 
3, 172, 1, 1, 12.7539352408121, Rx, 
3, 173, 1, 1, 11.9315075862877, Rx, 
3, 177, 1, 1, 15.2568767200287, Rx, 
3, 178, 1, 1, 13.7127555961198, Rx, 
3, 182, 1, 1, 11.3432749322098, Rx, 
3, 183, 1, 1, 14.7848197529437, Rx, 
3, 234, 1, 1, 25.2731266683417, Accidental, 
3, 246, 1, 1, 24.4710998243483, Accidental, 
3, 255, 1, 1, 26.0145720402831, Accidental, 
3, 271, 1, 1, 28.7417106174538, Lightning, 
3, 273, 1, 1, 20.1586074496624, Accidental, 
3, 311, 1, 1, 22.9206043708018, Lightning, 
3, 318, 1, 1, 22.4036016097956, Accidental, 
4, 137, 1, 1, 11.4412415428125, Rx, 
4, 146, 1, 1, 14.6476905678371, Rx, 
4, 147, 1, 1, 13.5116908597297, Rx, 
4, 148, 1, 1, 16.3897911687523, Rx, 
4, 149, 1, 1, 15.646132084904, Rx, 
4, 157, 1, 1, 22.1154465546177, Rx, 
4, 158, 1, 1, 14.8378739235296, Rx, 
4, 159, 1, 1, 16.7926468969512, Rx, 
4, 162, 1, 1, 14.7465970529857, Rx, 
4, 164, 1, 1, 16.1400920263367, Rx, 
4, 165, 1, 1, 18.5770170056131, Rx, 
4, 166, 1, 1, 19.4148713034258, Rx, 
4, 173, 1, 1, 33.7847638938575, Lightning, 
4, 183, 1, 1, 24.3446816607991, Rx, 
4, 184, 1, 1, 27.0658835010425, Rx, 
4, 186, 1, 1, 27.231994555868, Rx, 
4, 191, 1, 1, 32.2114670611435, Lightning, 
4, 200, 1, 1, 45.8553193682605, Lightning, 
4, 211, 1, 1, 41.4647499247668, Accidental, 
4, 228, 1, 1, 55.4773058659452, Accidental, 
4, 228, 1, 1, 55.4773058659452, Lightning, 
4, 234, 1, 1, 51.0608515045536, Accidental, 
4, 235, 1, 1, 43.6452303271534, Lightning, 
4, 251, 1, 1, 38.2495427489719, Lightning, 
4, 259, 1, 1, 47.6333504968599, Accidental, 
4, 260, 1, 1, 38.9043270277161, Lightning, 
4, 276, 1, 1, 17.3052641698291, Accidental, 
5, 135, 1, 1, 10.1952246264108, Rx, 
5, 148, 1, 1, 12.2609829716642, Rx, 
5, 149, 1, 1, 12.3473406495969, Rx, 
5, 152, 1, 1, 12.4407630101636, Rx, 
5, 156, 1, 1, 11.7500563875821, Rx, 
5, 157, 1, 1, 12.5879896625389, Rx, 
5, 159, 1, 1, 13.9800281147024, Rx, 
5, 160, 1, 1, 13.2642292409708, Rx, 
5, 161, 1, 1, 13.5096671228776, Rx, 
5, 164, 1, 1, 17.4464293380497, Lightning, 
5, 172, 1, 1, 25.5313479754901, Lightning, 
5, 174, 1, 1, 18.6052637345754, Rx, 
5, 182, 1, 1, 21.0574407388246, Rx, 
5, 184, 1, 1, 19.5391968744893, Accidental, 
5, 184, 1, 1, 19.5391968744893, Rx, 
5, 185, 1, 1, 20.0611484551039, Rx, 
5, 190, 1, 1, 30.937441393692, Lightning, 
5, 199, 1, 1, 26.2832625193942, Rx, 
5, 200, 1, 1, 27.1625327395901, Rx, 
5, 242, 1, 1, 47.6687742913868, Lightning, 
5, 251, 1, 1, 41.5215462497953, Accidental, 
5, 252, 1, 1, 45.2203147030278, Accidental, 
5, 265, 1, 1, 34.2947766794109, Lightning, 
5, 266, 1, 1, 48.5588057946749, Accidental, 
5, 331, 1, 1, 11.2789029515627, Accidental, 
6, 51, 1, 1, 1.48309009117832, Accidental, 
6, 134, 1, 1, 13.0482932222922, Rx, 
6, 135, 1, 1, 15.5081010569895, Lightning, 
6, 139, 1, 1, 14.2025777387019, Rx, 
6, 142, 1, 1, 13.7285335773532, Rx, 
6, 145, 1, 1, 15.4033089870574, Rx, 
6, 149, 1, 1, 17.7045642380763, Rx, 
6, 152, 1, 1, 17.9078682785805, Rx, 
6, 154, 1, 1, 14.642299051351, Rx, 
6, 161, 1, 1, 32.0527084073871, Lightning, 
6, 165, 1, 1, 25.5418287943165, Rx, 
6, 168, 1, 1, 28.2373883340488, Lightning, 
6, 169, 1, 1, 19.7648966055439, Rx, 
6, 170, 1, 1, 22.9270076739592, Rx, 
6, 171, 1, 1, 22.1148546532345, Rx, 
6, 174, 1, 1, 20.6229434948542, Rx, 
6, 175, 1, 1, 20.4174441474081, Rx, 
6, 176, 1, 1, 21.6236804835396, Rx, 
6, 177, 1, 1, 22.719109796304, Rx, 
