Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
1, ArbuMenz, 0, 0, 58945, 61847, 
1, Arctosta, 0, 0, 54957, 105159, 
1, CaloDecu, 0, 0, 0, 80755, 
1, Ceanothu, 0, 0, 0, 28367, 
1, ChryChry, 0, 0, 2099, 18876, 
1, Frangula, 0, 0, 513, 20752, 
1, Garrya, 0, 0, 64, 59543, 
1, GaulShal, 0, 0, 1813, 22374, 
1, MahoNerv, 0, 0, 1890, 10243, 
1, NothDens, 0, 0, 7741, 165889, 
1, PinuJeff, 0, 0, 0, 67034, 
1, PinuLamb, 0, 0, 0, 28371, 
1, PinuMont, 0, 0, 0, 7761, 
1, PseuMenz, 0, 0, 0, 46903, 
1, Quercus, 0, 0, 12563, 85838, 
1, Rhododen, 0, 0, 745, 31390, 
1, Rubus, 0, 0, 455, 12206, 
1, Vacciniu, 0, 0, 968, 110810, 
1, WhipMode, 0, 0, 1671, 62031, 
2, ArbuMenz, 0, 0, 31699, 37741, 
2, Arctosta, 0, 0, 26557, 101215, 
2, CaloDecu, 0, 0, 0, 44425, 
2, Ceanothu, 0, 0, 0, 24546, 
2, ChryChry, 0, 0, 1392, 5807, 
2, Frangula, 0, 0, 367, 8635, 
2, Garrya, 0, 0, 17, 52530, 
2, GaulShal, 0, 0, 797, 17145, 
2, MahoNerv, 0, 0, 22, 9094, 
2, NothDens, 0, 0, 5348, 137994, 
2, PinuJeff, 0, 0, 0, 55078, 
2, PinuLamb, 0, 0, 0, 12128, 
2, PinuMont, 0, 0, 0, 10569, 
2, PseuMenz, 0, 0, 0, 15688, 
2, Quercus, 0, 0, 5739, 66459, 
2, Rhododen, 0, 0, 61, 34219, 
2, Rubus, 0, 0, 29, 7446, 
2, Vacciniu, 0, 0, 692, 95066, 
2, WhipMode, 0, 0, 304, 52754, 
3, ArbuMenz, 0, 0, 44827, 87408, 
3, Arctosta, 0, 0, 29574, 152958, 
3, CaloDecu, 0, 0, 0, 166636, 
3, Ceanothu, 0, 0, 0, 32084, 
3, ChryChry, 0, 0, 2485, 20985, 
3, Frangula, 0, 0, 567, 14598, 
3, Garrya, 0, 0, 73, 72210, 
3, GaulShal, 0, 0, 1029, 31043, 
3, MahoNerv, 0, 0, 66, 12973, 
3, NothDens, 0, 0, 9933, 186579, 
3, PinuJeff, 0, 0, 0, 87320, 
3, PinuLamb, 0, 0, 0, 40601, 
3, PinuMont, 0, 0, 0, 0, 
3, PseuMenz, 0, 0, 0, 54510, 
3, Quercus, 0, 0, 6401, 89780, 
3, Rhododen, 0, 0, 210, 16001, 
3, Rubus, 0, 0, 73, 9538, 
3, Vacciniu, 0, 0, 1047, 130428, 
3, WhipMode, 0, 0, 538, 73286, 
4, ArbuMenz, 0, 0, 18624, 102845, 
4, Arctosta, 0, 0, 11165, 165177, 
4, CaloDecu, 0, 0, 0, 166421, 
