Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 1, 457557, 0, 3106.7, 19757.1, 0, 0, 0, 0, 4, 263, 0, 0, 0, 9285.9, 1608, 100, 517.4, 84.2, 14.9, 0, 0, 31.1, 62.1, 1833, 1180.6, 0, 0, 23.2, 8.8, 0.5, 2.6, 0.4, 1.5, 0, 0, 3.1, 6.2, 73.3, 139.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227.9, 0, 0, 
0, eco2, 2, 903912, 0, 832.9, 19056.5, 0, 0, 0, 0, 4, 99.3, 0, 0, 0, 8956.6, 1594.1, 121.7, 548.4, 102.4, 18.1, 0, 0, 8.3, 16.7, 491.4, 316.5, 0, 0, 22, 8.2, 0.6, 2.7, 0.5, 1.8, 0, 0, 0.8, 1.7, 19.7, 37.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65.8, 0, 0, 
0, eco3, 3, 540517, 0, 1373.4, 15716.6, 0, 0, 0, 0, 4, 132.9, 0, 0, 0, 7386.8, 1327.1, 156.4, 463.4, 131.6, 23.2, 0, 0, 13.7, 27.5, 810.3, 521.9, 0, 0, 18.1, 6.6, 0.8, 2.3, 0.7, 2.3, 0, 0, 1.4, 2.7, 32.4, 61.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105.1, 0, 0, 
1, eco1, 1, 457557, -653.5, 3155.4, 17535.9, 611.4, 176.8, 11.4, 299, 0.65, 261.4, 3, 110.9, 76.7, 8128.9, 1420.2, 1127.3, 599, 12.7, 13.9, 3, 2.9, 101.9, 98.4, 1774.8, 1180.3, 2.4, 1.4, 20.3, 7.8, 3.1, 3, 0.1, 1.1, 0, 0.1, 3, 8.8, 70.3, 139.3, 0.1, 0.2, 0, 0, 0.3, 0.4, 0.1, 0, 0.05, 0.03, 0.06, 20.9, 0.5, 4.6, 0.1, 223.3, 0.03, 0, 
1, eco2, 2, 903912, -736.6, 941.5, 16656, 665.8, 193.2, 15.6, 312.2, 0.68, 98.7, 1.5, 117.6, 81.6, 7703.9, 1385.3, 1222.5, 637.2, 13.4, 16.9, 3.9, 3.9, 101.3, 32.5, 491.3, 316.4, 2.6, 1.6, 18.8, 7.1, 3.4, 3.2, 0.1, 1.3, 0, 0.1, 1.3, 2.4, 18.8, 37.3, 0.2, 0.2, 0, 0, 0.1, 0.1, 0.1, 0, 0.05, 0.03, 0.1, 22.3, 0.4, 4.1, 0.2, 62.1, 0.02, 0, 
1, eco3, 3, 540517, -791.6, 1458.9, 15442.1, 711.6, 206.6, 17.8, 293.8, 0.46, 134.2, 2.2, 124.5, 86.7, 7123.4, 1298.8, 801.8, 522, 15.9, 22.2, 4.4, 4.5, 105.1, 47.6, 784.5, 521.7, 2.7, 1.7, 17.4, 6.4, 2.4, 2.6, 0.1, 1.7, 0, 0.2, 2, 4, 30.9, 61.6, 0.3, 0.4, 0, 0, 0.2, 0.2, 0.2, 0, 0.05, 0.09, 0.11, 3.2, 0.1, 4.7, 0.2, 100.9, 0.01, 0, 
2, eco1, 1, 457557, -306.9, 3244.8, 14293.3, 385.2, 109.8, 29.2, 227.3, 0.67, 259.5, 3.4, 137, 95.3, 6578.7, 1155.1, 2210.2, 666, 12.4, 21.2, 11.6, 11.8, 179.7, 142.2, 1742.8, 1180.1, 2.9, 1.8, 16.5, 6.3, 5.8, 3.3, 0.1, 1, 0.1, 0.4, 2.8, 11.3, 67.4, 139.2, 0, 0.1, 0, 0, 0.3, 0.5, 0.3, 0, 0.05, 0.05, 0.04, 54.6, 0.7, 1.5, 0.3, 222.9, 0.01, 0, 
2, eco2, 2, 903912, -499.9, 1028.9, 16751.5, 481.6, 137.9, 36.4, 289.7, 0.56, 102, 1.5, 177.6, 123.6, 7692.9, 1386.4, 1439.7, 670.8, 14.3, 25.2, 11, 11.5, 157.5, 53, 502.1, 316.4, 3.8, 2.5, 18.8, 7.1, 3.9, 3.3, 0.1, 1.3, 0.1, 0.4, 1.7, 3.2, 18.1, 37.3, 0, 0.1, 0, 0.1, 0.2, 0.2, 0.1, 0, 0.05, 0.06, 0.07, 5.8, 0.1, 0.7, 0.4, 62.7, 0.01, 0, 
2, eco3, 3, 540517, -490.2, 1502, 15777, 453.8, 130.3, 36.7, 265.8, 0.35, 137.1, 2, 181.2, 126.4, 7228.8, 1320, 986.6, 555.2, 15.3, 29.3, 11.5, 12.2, 139.5, 68.7, 772.2, 521.6, 3.9, 2.5, 17.7, 6.5, 2.9, 2.8, 0.1, 1.6, 0.1, 0.5, 2.3, 4.9, 29.6, 61.5, 0, 0.2, 0, 0.1, 0.2, 0.3, 0.3, 0, 0.05, 0.14, 0.06, 0.1, 0, 1.2, 0.4, 100.9, 0.01, 0, 
3, eco1, 1, 457557, -179.8, 3424.2, 11216.4, 386.4, 109.4, 31.6, 188.8, 0.73, 257.2, 4.7, 150.7, 104.9, 5113.1, 903.7, 2987.9, 705.9, 14.2, 25.1, 16.4, 17.6, 307.4, 201.5, 1735.6, 1179.8, 3.1, 1.9, 12.8, 4.9, 7.7, 3.5, 0.1, 0.9, 0.1, 0.6, 2.9, 14.8, 63.9, 139.2, 0, 0, 0, 0, 0.4, 0.9, -0.2, 0.1, 0.05, 0.22, 0.09, 70.8, 0.8, 1.5, 0.3, 223.2, 0.01, 0, 
3, eco2, 2, 903912, -494.3, 1166.4, 16014.8, 532, 151.3, 46.8, 293.7, 0.46, 104.5, 2.2, 227.4, 158.4, 7290.7, 1318.3, 1819.5, 704.2, 19.5, 32.7, 17.5, 18.7, 233.3, 83.4, 533.4, 316.3, 4.8, 3.2, 17.8, 6.7, 4.8, 3.5, 0.1, 1.3, 0.1, 0.7, 2.2, 4.3, 17.3, 37.3, 0, 0, 0, 0.1, 0.3, 0.2, 0, 0, 0.05, 0.21, 0.1, 26.4, 0.2, 0.9, 0.5, 63.7, 0.01, 0, 
3, eco3, 3, 540517, -585.8, 1574.9, 16059.5, 568.8, 162, 50.1, 292.2, 0.3, 140.5, 2.7, 244.2, 170.4, 7294.1, 1334.5, 1209.5, 584.5, 20.9, 36.9, 17.8, 19.5, 185.8, 99, 768.6, 521.5, 5.2, 3.4, 17.8, 6.6, 3.4, 2.9, 0.1, 1.5, 0.1, 0.7, 2.7, 6, 28.2, 61.5, 0, 0, 0, 0.1, 0.4, 0.4, 0.3, 0, 0.05, 0.39, 0.09, 6.5, 0.1, 1.4, 0.5, 101.2, 0.01, 0, 
4, eco1, 1, 457557, -80.1, 3610.5, 10104.8, 333.5, 94.8, 34.7, 165.2, 0.75, 256.9, 5, 166.1, 115.7, 4578, 812.5, 3140.1, 707.1, 16.6, 29.3, 18, 20, 428.1, 257.6, 1745.3, 1179.6, 3.4, 2.1, 11.5, 4.3, 8.1, 3.5, 0.1, 0.9, 0.1, 0.7, 3.3, 18.2, 60.7, 139.1, 0, -0.1, 0, 0.1, 0.5, 1.1, -0.6, 0.1, 0.05, 0.32, 0.11, 30.9, 0.3, 1.5, 0.3, 223.9, 0.01, 0, 
4, eco2, 2, 903912, -456, 1316.2, 15821, 521.6, 148.7, 55.4, 287.7, 0.35, 107.5, 2.4, 271.4, 189.2, 7158.7, 1296.8, 2020.5, 722.8, 25.3, 40.9, 22.6, 24.7, 308.1, 115.6, 576.3, 316.3, 5.7, 3.8, 17.5, 6.6, 5.3, 3.6, 0.1, 1.4, 0.1, 0.9, 2.8, 5.5, 16.6, 37.3, 0, -0.1, 0, 0.1, 0.4, 0.3, -0.1, 0, 0.05, 0.31, 0.09, 17.4, 0.1, 0.9, 0.6, 65, 0.01, 0, 
4, eco3, 3, 540517, -559.8, 1662.4, 16499.8, 559.6, 160.1, 59.8, 292.5, 0.25, 144.1, 2.7, 298.6, 208.4, 7447.5, 1364.6, 1365.5, 606.7, 27.7, 46, 23.6, 26.3, 234.4, 129.2, 777.5, 521.4, 6.4, 4.2, 18.2, 6.7, 3.8, 3, 0.1, 1.6, 0.1, 1, 3.3, 7.1, 27, 61.5, 0, -0.1, 0, 0.1, 0.4, 0.4, 0.3, 0, 0.05, 0.56, 0.09, 0.6, 0, 1.3, 0.6, 101.9, 0, 0, 
5, eco1, 1, 457557, -49.5, 3785.9, 8772.2, 312, 88.4, 34.8, 145.8, 0.8, 256.3, 4.9, 170, 118.4, 3943.8, 703.1, 3341.1, 708.4, 18.3, 32.7, 20.4, 22.9, 529.5, 307.6, 1769.4, 1179.4, 3.5, 2.2, 10, 3.7, 8.5, 3.5, 0.1, 1, 0.1, 0.8, 3.6, 21.2, 58.1, 139.1, 0, -0.1, 0, 0.1, 0.5, 1.2, -0.9, 0.1, 0.05, 0.26, 0.09, 39.6, 0.3, 1.3, 0.3, 224.8, 0.01, 0, 
5, eco2, 2, 903912, -430.6, 1477.1, 15296.2, 519.6, 147.8, 60.9, 282.4, 0.31, 110, 2.5, 301.9, 210.5, 6880.8, 1249.6, 2284.1, 741.7, 30.4, 48.9, 28, 30.9, 381.7, 149.1, 630.1, 316.3, 6.4, 4.2, 16.8, 6.3, 5.9, 3.7, 0.2, 1.5, 0.1, 1.2, 3.3, 6.6, 16.2, 37.3, 0.1, -0.2, 0, 0.2, 0.4, 0.3, -0.2, 0, 0.05, 0.31, 0.07, 25.7, 0.2, 0.9, 0.6, 66.7, 0.01, 0, 
5, eco3, 3, 540517, -598.1, 1761.9, 16956.5, 601.3, 171.6, 70.4, 308.4, 0.2, 148, 2.8, 350.4, 244.5, 7609.8, 1396.3, 1528.5, 628.9, 35.2, 56.7, 30, 33.6, 284.7, 159.7, 796.3, 521.3, 7.4, 4.9, 18.6, 6.8, 4.2, 3.1, 0.2, 1.8, 0.2, 1.2, 3.8, 8.1, 26, 61.5, 0.1, -0.1, 0, 0.2, 0.5, 0.5, 0.2, 0, 0.05, 0.54, 0.07, 0.8, 0, 1.3, 0.7, 102.9, 0, 0, 
