Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,SoilWaterContent,
1, 7, eco1, 1, 457557, 3.1, 17.6, 75.8, 2.95, 20.51, -72.84, 0, 0, 1.24, 
1, 7, eco2, 2, 903912, 5.9, 17.9, 150.95, 6.84, 39.83, -144.12, 0, 0, 2.33, 
1, 7, eco3, 3, 540517, 9.3, 17, 235.92, 16.66, 63.57, -219.25, 0, 0, 3.73, 
1, 8, eco1, 1, 457557, 0.9, 20.2, 20.38, 2.25, 6.03, -18.13, 0, 0, 1.24, 
1, 8, eco2, 2, 903912, 2, 19.9, 72.8, 4.09, 19.28, -68.71, 0, 0, 2.4, 
1, 8, eco3, 3, 540517, 3.2, 19.6, 108.72, 8.6, 29.5, -100.11, 0, 0, 3.84, 
1, 9, eco1, 1, 457557, 1.8, 17.6, 94.52, 3.74, 25.55, -90.78, 0, 0, 1.6, 
1, 9, eco2, 2, 903912, 3, 18.2, 113.1, 7.8, 29.96, -105.3, 0, 0, 2.86, 
1, 9, eco3, 3, 540517, 4.5, 17.4, 106.47, 15.36, 30.35, -91.1, 0, 0, 4.4, 
1, 10, eco1, 1, 457557, 5.4, 10.8, 138.67, 17.33, 41.67, -121.35, 0, 0, 3.7, 
1, 10, eco2, 2, 903912, 10.1, 11.8, 91.65, 15.76, 26, -75.89, 0, 0, 7.52, 
1, 10, eco3, 3, 540517, 13.5, 10.8, 75.06, 13.26, 22.54, -61.79, 0, 0, 9.42, 
1, 11, eco1, 1, 457557, 6.4, 7, 54.4, 12.8, 19.12, -41.61, 0, 0, 6.42, 
1, 11, eco2, 2, 903912, 11.5, 8.1, 52.69, 11.06, 15.9, -41.63, 0, 0, 11.34, 
1, 11, eco3, 3, 540517, 14.8, 7.1, 45.42, 9.48, 14.57, -35.94, 0, 0.01, 12.24, 
1, 12, eco1, 1, 457557, 23.4, 3.3, 10.76, 9.5, 6.89, -1.26, 0, 0, 10.13, 
1, 12, eco2, 2, 903912, 39.5, 5, 24.09, 8.36, 8.28, -15.72, 0, 0.03, 9.81, 
1, 12, eco3, 3, 540517, 48.6, 3.6, 12.44, 7.16, 5.69, -5.28, 0, 0.02, 12.96, 
1, 1, eco1, 1, 457557, 22.2, 4.5, 21.7, 9.98, 10.09, -11.72, 0, 0.03, 12.25, 
1, 1, eco2, 2, 903912, 40.1, 5.7, 30.51, 8.4, 10.11, -22.11, 0, 0.03, 9.91, 
1, 1, eco3, 3, 540517, 47.6, 4.5, 20.15, 7.25, 7.87, -12.9, 0, 0.03, 4.64, 
1, 2, eco1, 1, 457557, 6.2, 8.5, 64.61, 12.83, 22.58, -51.78, 0, 0, 12.77, 
1, 2, eco2, 2, 903912, 9.7, 8.7, 53.04, 10.08, 16.54, -42.96, 0, 0, 11.94, 
1, 2, eco3, 3, 540517, 12.1, 7.9, 49.66, 8.63, 16.17, -41.02, 0, 0.01, 14.21, 
1, 3, eco1, 1, 457557, 19, 7.3, 48.72, 11.5, 18.14, -37.22, 0, 0.02, 11.75, 
1, 3, eco2, 2, 903912, 35.4, 7.7, 46.27, 9.14, 14.72, -37.13, 0, 0.02, 9.92, 
1, 3, eco3, 3, 540517, 42.6, 6.2, 36.03, 7.47, 12.4, -28.55, 0, 0.02, 6.84, 
1, 4, eco1, 1, 457557, 10.2, 12.6, 84.2, 16.29, 29.27, -67.91, 0, 0, 10.7, 
1, 4, eco2, 2, 903912, 18.7, 12, 70.15, 12.16, 21.64, -57.99, 0, 0.01, 11.3, 
1, 4, eco3, 3, 540517, 24.2, 11.2, 69.65, 9.99, 22.08, -59.66, 0, 0.01, 10.03, 
1, 5, eco1, 1, 457557, 4.4, 14.3, 86.84, 17.31, 30.42, -69.53, 0, 0, 9.14, 
1, 5, eco2, 2, 903912, 7.3, 13.9, 77.02, 13.52, 23.68, -63.5, 0, 0, 9.85, 
1, 5, eco3, 3, 540517, 10.6, 13, 77.7, 10.87, 24.49, -66.83, 0, 0, 9.41, 
1, 6, eco1, 1, 457557, 5.4, 15.5, 87.53, 18.17, 31.17, -69.35, 0, 0, 8.5, 
1, 6, eco2, 2, 903912, 8.8, 15.9, 76.72, 15.2, 24.38, -61.52, 0, 0, 9.5, 
1, 6, eco3, 3, 540517, 12, 14.7, 80.95, 11.78, 25.83, -69.18, 0, 0, 9.02, 
2, 7, eco1, 1, 457557, 0.7, 20.5, 54.1, 16.99, 20.65, -37.11, 0, 0, 6.26, 
2, 7, eco2, 2, 903912, 0.8, 20, 62.97, 11.25, 19.72, -51.73, 0, 0, 6.99, 
2, 7, eco3, 3, 540517, 1.5, 19.9, 66.74, 8.44, 20.85, -58.3, 0, 0, 6.94, 
2, 8, eco1, 1, 457557, 0.3, 21, 44.91, 10.45, 15.68, -34.47, 0, 0, 4.49, 
