SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 148, 1, 1, 16.4906922823501, Accidental, 
1, 160, 1, 1, 24.8810258825675, Lightning, 
1, 174, 1, 1, 25.4781370206404, Accidental, 
1, 175, 1, 1, 27.3505077824862, Accidental, 
1, 267, 1, 1, 27.9849488473222, Lightning, 
1, 269, 1, 1, 22.1767475533905, Lightning, 
1, 309, 1, 1, 21.7464198588216, Lightning, 
2, 143, 1, 1, 13.8862563805983, Accidental, 
2, 147, 1, 1, 7.22789733019869, Accidental, 
2, 206, 1, 1, 41.1461619982151, Lightning, 
2, 226, 1, 1, 42.5704697182968, Lightning, 
2, 276, 1, 1, 35.6022495902463, Lightning, 
2, 281, 1, 1, 35.5110292817987, Lightning, 
3, 128, 1, 1, 7.20091342552676, Lightning, 
3, 149, 1, 1, 8.59134602840069, Lightning, 
3, 152, 1, 1, 8.16817878988093, Accidental, 
3, 271, 1, 1, 28.7417106174538, Lightning, 
3, 272, 1, 1, 21.9993855498609, Lightning, 
3, 310, 1, 1, 21.8480221271839, Accidental, 
4, 177, 1, 1, 30.4369007028618, Lightning, 
4, 178, 1, 1, 26.4629332269736, Accidental, 
4, 191, 1, 1, 32.2114670611435, Lightning, 
4, 200, 1, 1, 45.8553193682605, Accidental, 
4, 204, 1, 1, 34.8058228991286, Lightning, 
4, 211, 1, 1, 41.4647499247668, Lightning, 
4, 247, 1, 1, 32.039005636242, Lightning, 
4, 258, 1, 1, 49.1709263341448, Accidental, 
4, 259, 1, 1, 47.6333504968599, Accidental, 
4, 264, 1, 1, 45.8976581880558, Lightning, 
4, 265, 1, 1, 48.5047043692379, Lightning, 
4, 273, 1, 1, 24.0529635493035, Lightning, 
4, 310, 1, 1, 6.94211781509657, Lightning, 
4, 334, 1, 1, 10.8184449083421, Accidental, 
5, 53, 1, 1, 1.53973133404404, Accidental, 
5, 63, 1, 1, 6.33643204679577, Accidental, 
5, 166, 1, 1, 25.0738901587924, Accidental, 
5, 169, 1, 1, 29.3938193929503, Accidental, 
5, 172, 1, 1, 25.5313479754901, Accidental, 
5, 174, 1, 1, 18.6052637345754, Lightning, 
5, 204, 1, 1, 33.5152672869288, Lightning, 
5, 208, 1, 1, 28.5835670169149, Lightning, 
5, 213, 1, 1, 31.8184949773983, Lightning, 
5, 225, 1, 1, 37.3421144546008, Accidental, 
5, 232, 1, 1, 35.2454211900455, Lightning, 
5, 263, 1, 1, 25.1131609863138, Lightning, 
6, 131, 1, 1, 9.47115565734318, Accidental, 
6, 144, 1, 1, 15.760271291729, Lightning, 
6, 150, 1, 1, 20.8184582071469, Lightning, 
6, 159, 1, 1, 34.665130559214, Lightning, 
6, 174, 1, 1, 20.6229434948542, Lightning, 
6, 183, 1, 1, 26.4798728987794, Lightning, 
6, 194, 1, 1, 33.449448831203, Lightning, 
6, 216, 1, 1, 25.8182511170721, Lightning, 
6, 228, 1, 1, 36.8180501581605, Lightning, 
6, 236, 1, 1, 34.058820748946, Accidental, 
6, 239, 1, 1, 33.1569560969726, Lightning, 
6, 251, 1, 1, 26.4646500636606, Lightning, 
6, 325, 1, 1, 17.4229265973681, Lightning, 
7, 25, 1, 1, 3.52824509969158, Accidental, 
7, 110, 1, 1, 7.12536820320023, Accidental, 
7, 186, 1, 1, 29.2040469862594, Lightning, 
7, 211, 1, 1, 46.1489731284762, Accidental, 
7, 215, 1, 1, 39.7676123748838, Lightning, 
7, 240, 1, 1, 36.944547361201, Accidental, 
8, 75, 1, 1, 4.60014178161677, Lightning, 
8, 114, 1, 1, 6.87154564811445, Accidental, 
8, 131, 1, 1, 7.62910737879613, Lightning, 
8, 191, 1, 1, 25.9642901401185, Accidental, 
8, 198, 1, 1, 40.032427338076, Accidental, 
8, 200, 1, 1, 31.0754554427152, Lightning, 
8, 243, 1, 1, 28.8809799870268, Lightning, 
8, 271, 1, 1, 29.1160908839072, Accidental, 
8, 286, 1, 1, 21.650885784329, Lightning, 
8, 303, 1, 1, 6.26876319167575, Lightning, 
9, 64, 1, 1, 2.24294944878776, Lightning, 
9, 204, 1, 1, 40.0175960829703, Lightning, 
9, 237, 1, 1, 35.0359976336549, Lightning, 
9, 240, 1, 1, 43.3312052157706, Lightning, 
9, 249, 1, 1, 35.5830584918239, Accidental, 
9, 250, 1, 1, 32.2891629806339, Accidental, 
9, 250, 1, 1, 32.2891629806339, Lightning, 
9, 262, 1, 1, 24.795360177629, Lightning, 
10, 116, 1, 1, 11.890478436882, Lightning, 
10, 187, 1, 1, 21.2285412954495, Lightning, 
10, 195, 1, 1, 19.3578805789107, Accidental, 
10, 219, 1, 1, 24.8765052953374, Lightning, 
10, 247, 1, 1, 24.6607929114466, Lightning, 
10, 260, 1, 1, 26.9747447496266, Accidental, 
10, 276, 1, 1, 32.3893301856063, Lightning, 
10, 301, 1, 1, 22.0258872309048, Lightning, 
11, 148, 1, 1, 15.3771019786629, Accidental, 
11, 161, 1, 1, 21.9195821628273, Accidental, 
11, 187, 1, 1, 24.2563094501423, Lightning, 
11, 188, 1, 1, 23.9178983187723, Accidental, 
11, 203, 1, 1, 30.3361261900536, Accidental, 
11, 211, 1, 1, 23.9020526849655, Accidental, 
11, 218, 1, 1, 43.5069427431956, Lightning, 
11, 231, 1, 1, 43.6820976291774, Lightning, 
11, 234, 1, 1, 38.9222852189109, Accidental, 
11, 248, 1, 1, 52.3702859977939, Accidental, 
11, 248, 1, 1, 52.3702859977939, Lightning, 
11, 282, 1, 1, 20.7613304222824, Lightning, 
11, 290, 1, 1, 17.9628563953046, Lightning, 
12, 75, 1, 1, 7.36046684160613, Accidental, 
12, 206, 1, 1, 33.5076428609202, Lightning, 
12, 211, 1, 1, 45.9314846569464, Lightning, 
12, 257, 1, 1, 30.0110373916647, Accidental, 
12, 294, 1, 1, 13.8966970288571, Lightning, 
13, 116, 1, 1, 2.82594964147984, Lightning, 
13, 182, 1, 1, 21.9348374751604, Accidental, 
13, 194, 1, 1, 29.4066837451778, Lightning, 
13, 239, 1, 1, 35.6951733803193, Accidental, 
13, 240, 1, 1, 34.6559762541188, Lightning, 
13, 250, 1, 1, 47.7518267864856, Accidental, 
14, 59, 1, 1, 6.21337319922255, Lightning, 
14, 152, 1, 1, 26.1524362272636, Lightning, 
14, 224, 1, 1, 38.2170100044439, Lightning, 
14, 245, 1, 1, 28.8307704267752, Lightning, 
14, 273, 1, 1, 28.0045239932264, Accidental, 
14, 284, 1, 1, 29.0847667694813, Accidental, 
15, 181, 1, 1, 20.8305650102837, Lightning, 
15, 208, 1, 1, 35.133059238096, Lightning, 
15, 214, 1, 1, 36.7758334640236, Accidental, 
15, 221, 1, 1, 40.7740917869543, Lightning, 
15, 227, 1, 1, 40.3301596572215, Lightning, 
15, 237, 1, 1, 31.0183726336905, Accidental, 
15, 242, 1, 1, 29.6997787371551, Accidental, 
15, 248, 1, 1, 42.0124883456965, Lightning, 
15, 258, 1, 1, 53.9260407516629, Accidental, 
15, 280, 1, 1, 41.7398603228196, Accidental, 
15, 289, 1, 1, 47.9488289373126, Lightning, 
15, 290, 1, 1, 60.3230350732491, Accidental, 
15, 291, 1, 1, 62.7024007503641, Lightning, 
15, 293, 1, 1, 25.1850260764709, Accidental, 
16, 6, 1, 1, 3.22691812980916, Accidental, 
16, 130, 1, 1, 12.2626382917431, Lightning, 
16, 163, 1, 1, 25.4661014703605, Lightning, 
16, 215, 1, 1, 34.4212734680258, Accidental, 
16, 218, 1, 1, 30.9104239613177, Lightning, 
16, 273, 1, 1, 27.7726487245801, Lightning, 
17, 61, 1, 1, 1.14479252235754, Lightning, 
17, 128, 1, 1, 14.661378234857, Lightning, 
17, 152, 1, 1, 22.6415991361703, Lightning, 
17, 186, 1, 1, 34.2093118232558, Accidental, 
17, 209, 1, 1, 30.8867256357387, Lightning, 
17, 223, 1, 1, 31.8095999136898, Accidental, 
17, 224, 1, 1, 29.2969729348642, Accidental, 
17, 263, 1, 1, 55.2277929968371, Accidental, 
17, 264, 1, 1, 54.2422509206901, Accidental, 
17, 280, 1, 1, 26.587141802545, Lightning, 
18, 192, 1, 1, 31.4143698635708, Lightning, 
18, 193, 1, 1, 37.3777131511253, Lightning, 
18, 196, 1, 1, 39.0377715545321, Lightning, 
18, 207, 1, 1, 36.3575070054198, Accidental, 
18, 211, 1, 1, 29.9473847733376, Lightning, 
18, 218, 1, 1, 48.0778361283711, Accidental, 
18, 331, 1, 1, 10.509496597058, Accidental, 
19, 142, 1, 1, 15.1670292937426, Lightning, 
19, 162, 1, 1, 15.536676611573, Lightning, 
19, 173, 1, 1, 18.7621365460007, Accidental, 
19, 208, 1, 1, 36.8506845422064, Accidental, 
19, 236, 1, 1, 31.5425867691089, Lightning, 
19, 240, 1, 1, 22.467972760215, Lightning, 
19, 241, 1, 1, 26.6403098303848, Accidental, 
19, 252, 1, 1, 33.8240207520133, Accidental, 
19, 253, 1, 1, 33.2007021386425, Accidental, 
19, 255, 1, 1, 44.3545874520931, Accidental, 
19, 261, 1, 1, 35.6321918686434, Accidental, 
20, 3, 1, 1, 1.96175302477667, Accidental, 
20, 38, 1, 1, 8.55682247851754, Accidental, 
20, 126, 1, 1, 8.92620984325045, Lightning, 
20, 144, 1, 1, 21.5766678976823, Accidental, 
20, 144, 1, 1, 21.5766678976823, Lightning, 
20, 156, 1, 1, 30.1059962004238, Lightning, 
20, 164, 1, 1, 43.3788405985968, Accidental, 
20, 174, 1, 1, 20.8690915611821, Lightning, 
20, 177, 1, 1, 32.8068594946994, Lightning, 
20, 185, 1, 1, 20.7645060868821, Lightning, 
20, 211, 1, 1, 35.3751023707927, Lightning, 
20, 219, 1, 1, 30.1409830014756, Accidental, 
20, 222, 1, 1, 33.2084142969047, Accidental, 
20, 224, 1, 1, 34.2773809471136, Lightning, 
20, 226, 1, 1, 38.5829842047005, Lightning, 
20, 231, 1, 1, 28.2671582923312, Accidental, 
20, 238, 1, 1, 28.4333833111709, Lightning, 
20, 260, 1, 1, 47.9109017516019, Accidental, 
20, 266, 1, 1, 32.2736949972233, Lightning, 
20, 273, 1, 1, 28.9697488051566, Lightning, 
20, 330, 1, 1, 13.8133417521484, Lightning, 
21, 128, 1, 1, 6.78955401930694, Accidental, 
21, 137, 1, 1, 13.2391496503242, Accidental, 
21, 145, 1, 1, 12.913096617328, Accidental, 
21, 151, 1, 1, 14.7386202721998, Lightning, 
21, 176, 1, 1, 19.111159560036, Lightning, 
21, 181, 1, 1, 25.5960332365322, Accidental, 
21, 189, 1, 1, 29.2113972997592, Lightning, 
21, 225, 1, 1, 27.3256525747766, Accidental, 
21, 250, 1, 1, 54.4406396959116, Accidental, 
21, 259, 1, 1, 33.9018278624012, Accidental, 
22, 97, 1, 1, 7.0814505365065, Accidental, 
22, 148, 1, 1, 14.324133181925, Lightning, 
22, 181, 1, 1, 24.8375908890523, Accidental, 
22, 221, 1, 1, 31.354987447391, Lightning, 
22, 265, 1, 1, 43.3066934360579, Accidental, 
22, 271, 1, 1, 22.8476131516388, Accidental, 
22, 276, 1, 1, 28.6045754574957, Accidental, 
22, 288, 1, 1, 25.4816965499055, Lightning, 
23, 143, 1, 1, 20.6387004619165, Accidental, 
23, 161, 1, 1, 26.3529125823678, Lightning, 
23, 172, 1, 1, 35.5047980420523, Lightning, 
23, 179, 1, 1, 37.3017655173645, Lightning, 
23, 181, 1, 1, 53.5001257388128, Accidental, 
23, 185, 1, 1, 44.7954586254128, Lightning, 
23, 186, 1, 1, 48.8939819692429, Lightning, 
23, 189, 1, 1, 39.982039814514, Accidental, 
23, 196, 1, 1, 28.0009952205325, Lightning, 
23, 226, 1, 1, 42.8966306707856, Accidental, 
23, 226, 1, 1, 42.8966306707856, Lightning, 
23, 231, 1, 1, 53.9988561827686, Lightning, 
