Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, ArbuMenz, eco1, 79183, 1, 1, 0.14, 0.08, 217.4, 20, 284, 
1, ArbuMenz, eco2, 193693, 1, 1, 0.37, 0.22, 227.63, 0, 333, 
1, ArbuMenz, eco3, 116835, 0.97, 1, 0.52, 0.31, 156.89, 19, 289, 
1, Arctosta, eco1, 83086, 0.99, 1, 0.36, 0.21, 217.44, 20, 284, 
1, Arctosta, eco2, 163530, 0.98, 1, 0.55, 0.33, 226.93, 0, 333, 
1, Arctosta, eco3, 117115, 1, 1, 0.64, 0.39, 154.54, 19, 289, 
1, CaloDecu, eco1, 161477, 0.92, 1, 0.03, 0.02, 219.48, 20, 284, 
1, CaloDecu, eco2, 392457, 0.84, 1, 0.15, 0.09, 228.41, 0, 333, 
1, CaloDecu, eco3, 255509, 0.98, 1, 0.38, 0.23, 158.78, 19, 289, 
1, Ceanothu, eco1, 79030, 0.99, 1, 0.36, 0.21, 217.41, 20, 284, 
1, Ceanothu, eco2, 192878, 0.97, 1, 0.55, 0.33, 227.73, 0, 333, 
1, Ceanothu, eco3, 116774, 1, 1, 0.64, 0.38, 156.96, 19, 289, 
1, ChryChry, eco1, 67251, 0.87, 1, 0.04, 0.02, 217.7, 20, 284, 
1, ChryChry, eco2, 208331, 0.8, 1, 0.15, 0.09, 228.18, 0, 333, 
1, ChryChry, eco3, 125188, 0.95, 1, 0.38, 0.23, 159.86, 19, 289, 
1, Frangula, eco1, 67320, 1, 1, 0.14, 0.08, 217.83, 20, 284, 
1, Frangula, eco2, 208176, 1, 1, 0.36, 0.22, 228.17, 0, 333, 
1, Frangula, eco3, 124901, 0.99, 1, 0.5, 0.3, 159.81, 19, 289, 
1, Garrya, eco1, 160827, 0.98, 1, 0.26, 0.15, 219.52, 20, 284, 
1, Garrya, eco2, 393021, 0.93, 1, 0.48, 0.29, 228.37, 0, 333, 
1, Garrya, eco3, 255274, 1, 1, 0.59, 0.35, 158.8, 19, 289, 
1, GaulShal, eco1, 160777, 1, 1, 0.13, 0.08, 219.45, 20, 284, 
1, GaulShal, eco2, 392797, 1, 1, 0.36, 0.22, 228.39, 0, 333, 
1, GaulShal, eco3, 255066, 0.97, 1, 0.51, 0.31, 158.83, 19, 289, 
1, MahoNerv, eco1, 160844, 1, 1, 0.26, 0.16, 219.4, 20, 284, 
1, MahoNerv, eco2, 392720, 1, 1, 0.48, 0.29, 228.36, 0, 333, 
1, MahoNerv, eco3, 255455, 0.99, 1, 0.59, 0.35, 158.85, 19, 289, 
1, NothDens, eco1, 161195, 0.85, 1, 0.26, 0.16, 219.46, 20, 284, 
1, NothDens, eco2, 392830, 0.72, 1, 0.48, 0.29, 228.39, 0, 333, 
1, NothDens, eco3, 255540, 0.96, 1, 0.59, 0.35, 158.83, 19, 289, 
1, PinuJeff, eco1, 78996, 0.91, 1, 0.27, 0.16, 217.39, 20, 284, 
1, PinuJeff, eco2, 193135, 0.94, 1, 0.49, 0.29, 227.64, 0, 333, 
1, PinuJeff, eco3, 116472, 0.87, 1, 0.59, 0.36, 156.83, 19, 289, 
1, PinuLamb, eco1, 67346, 0.99, 1, 0.03, 0.02, 217.79, 20, 284, 
1, PinuLamb, eco2, 208439, 0.96, 1, 0.15, 0.09, 228.13, 0, 333, 
1, PinuLamb, eco3, 125043, 1, 1, 0.38, 0.23, 159.84, 19, 289, 
1, PinuMont, eco1, 79483, 0, 1, 0.14, 0, 217.28, 20, 284, 
1, PinuMont, eco2, 193078, 0, 1, 0.37, 0, 227.64, 0, 333, 
1, PinuMont, eco3, 116668, 0.17, 1, 0.52, 0.1, 156.99, 19, 289, 
1, PseuMenz, eco1, 67110, 1, 1, 0.04, 0.02, 217.8, 20, 284, 
1, PseuMenz, eco2, 208427, 1, 1, 0.15, 0.09, 228.2, 0, 333, 
1, PseuMenz, eco3, 125371, 0.98, 1, 0.38, 0.23, 159.83, 19, 289, 
1, Quercus, eco1, 79138, 0.99, 1, 0.36, 0.21, 217.35, 20, 284, 
1, Quercus, eco2, 193003, 1, 1, 0.55, 0.33, 227.63, 0, 333, 
1, Quercus, eco3, 116656, 0.96, 1, 0.64, 0.38, 156.87, 19, 289, 
1, Rhododen, eco1, 161280, 0.32, 1, 0.13, 0.07, 219.47, 20, 284, 
1, Rhododen, eco2, 392654, 0.09, 1, 0.36, 0.06, 228.39, 0, 333, 
1, Rhododen, eco3, 255382, 0.58, 1, 0.51, 0.29, 158.8, 19, 289, 
1, Rubus, eco1, 67407, 1, 1, 0.27, 0.16, 217.78, 20, 284, 
1, Rubus, eco2, 207974, 0.99, 1, 0.48, 0.29, 228.18, 0, 333, 
1, Rubus, eco3, 125504, 1, 1, 0.58, 0.35, 159.84, 19, 289, 
1, Vacciniu, eco1, 160975, 0.93, 1, 0.26, 0.16, 219.46, 20, 284, 
1, Vacciniu, eco2, 391890, 0.96, 1, 0.48, 0.29, 228.41, 0, 333, 
1, Vacciniu, eco3, 255844, 0.89, 1, 0.59, 0.35, 158.84, 19, 289, 
1, WhipMode, eco1, 160663, 1, 1, 0.26, 0.16, 219.44, 20, 284, 
1, WhipMode, eco2, 391817, 1, 1, 0.48, 0.29, 228.37, 0, 333, 
1, WhipMode, eco3, 255512, 0.97, 1, 0.59, 0.35, 158.78, 19, 289, 
2, ArbuMenz, eco1, 109685, 0.99, 1, 0.06, 0.04, 198.01, 67, 298, 
2, ArbuMenz, eco2, 148092, 1, 1, 0.29, 0.17, 189.23, 45, 307, 
2, ArbuMenz, eco3, 90290, 0.96, 1, 0.44, 0.26, 145.31, 72, 298, 
2, Arctosta, eco1, 150661, 1, 1, 0.34, 0.21, 198.03, 67, 298, 
2, Arctosta, eco2, 162554, 0.99, 1, 0.51, 0.31, 189.88, 45, 307, 
2, Arctosta, eco3, 94938, 1, 1, 0.59, 0.35, 145.29, 72, 298, 
2, CaloDecu, eco1, 155394, 0.95, 1, 0.01, 0.01, 200.12, 67, 298, 
