Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1533.5, 18275.9, 0, 4, 126.3, 
1, -729.7, 1620.2, 16342.6, 664.1, 0.6, 1113.1, 
2, -466.4, 1692, 16074.7, 459.1, 0.49, 1429.2, 
3, -462.9, 1818.3, 15097.6, 518.4, 0.46, 1863.5, 
4, -400.1, 1959.2, 14715, 490.8, 0.42, 2084, 
5, -417.7, 2098.5, 14742.7, 509.8, 0.38, 2196.4, 
6, -391.1, 2248.9, 14656.3, 512.7, 0.38, 2320.5, 
7, -368.6, 2389.9, 14852.5, 488.5, 0.38, 2373.4, 
8, -307.4, 2540.4, 14785.3, 468.6, 0.37, 2450.8, 
9, -261.3, 2690.5, 14132, 446.1, 0.4, 2649.3, 
10, -304, 2852.4, 14131.8, 500.7, 0.4, 2683.8, 
11, -236.8, 3015.5, 14295.4, 474.3, 0.38, 2646.3, 
12, -236.4, 3161.5, 13911.5, 462.5, 0.42, 2759.2, 
13, -191.6, 3306.7, 13889.2, 438.4, 0.4, 2751.2, 
14, -229.8, 3448.2, 13895.5, 478.8, 0.44, 2755.7, 
15, -230.2, 3573.3, 13968.9, 458.7, 0.45, 2757.2, 
16, -218.2, 3708.4, 14109.4, 488.3, 0.46, 2735.3, 
17, -231.5, 3835.1, 14107.5, 498.7, 0.46, 2765.1, 
18, -192.2, 3963.8, 14207.2, 502.2, 0.47, 2738.4, 
19, -232.2, 4069.2, 14359.8, 478.7, 0.48, 2744.2, 
20, -218.4, 4172.2, 14477.7, 481.5, 0.47, 2733.4, 
21, -180.6, 4261.7, 14463.6, 389.1, 0.54, 2787.4, 
22, -171.5, 4370, 13975, 474, 0.54, 2919.6, 
23, -127.8, 4481.1, 13971.2, 433.4, 0.57, 2907.9, 
24, -68.8, 4582.5, 13885, 387.2, 0.59, 2889.2, 
25, -143.5, 4681.5, 14102.1, 469.1, 0.61, 2822, 
26, -163.5, 4777.5, 14257, 508.9, 0.65, 2786.9, 
27, -180.9, 4860.8, 14448.9, 491.3, 0.64, 2763.7, 
28, -153.8, 4944.9, 14573.6, 486.2, 0.69, 2746.9, 
29, -113.2, 5021.6, 14634.5, 438, 0.73, 2733.9, 
30, -132.2, 5092.3, 14675.6, 425.3, 0.74, 2734.4, 
31, -145.3, 5163.4, 14812.3, 458.2, 0.77, 2726.5, 
32, -142.7, 5235.2, 14837.9, 488.5, 0.78, 2743.9, 
33, -152, 5299.9, 14911.8, 437.1, 0.85, 2762.8, 
34, -154.3, 5373.9, 15064.7, 515.4, 0.89, 2752.1, 
35, -194.6, 5440.3, 15147, 496.3, 0.95, 2786.5, 
36, -191.4, 5510.9, 15359.5, 520.6, 0.96, 2785, 
37, -173.8, 5574.1, 15319.3, 493.3, 0.98, 2843.1, 
38, -146, 5645.7, 15487.7, 523.4, 1.01, 2821.6, 
39, -160.6, 5713.6, 15671.1, 545.4, 1, 2805.1, 
40, -149, 5773.7, 15642.6, 477.1, 1.03, 2847.8, 
41, -146.6, 5832.7, 15638.1, 443.7, 1.03, 2894.1, 
42, -179.6, 5900.8, 15797.1, 525.3, 1.01, 2906.7, 
43, -158, 5958.5, 15159.4, 516, 1.12, 3091.1, 
44, -95.3, 6037, 15328.2, 492.4, 1.15, 3030.6, 
45, -134.6, 6102.6, 15466.8, 507, 1.19, 2996.6, 
46, -147.1, 6161.6, 15531.4, 466.6, 1.25, 3016.2, 
47, -121.1, 6229.1, 15651.7, 529.7, 1.18, 2998.8, 
48, -110, 6289.3, 15783.3, 537.2, 1.27, 2964.8, 
49, -51.3, 6338.8, 15796.9, 511.9, 1.32, 2930.8, 
50, -104.2, 6388.5, 15763.7, 494.2, 1.34, 2941.1, 
51, -116.2, 6432.6, 15878.8, 484.9, 1.37, 2933.5, 
