SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 20658, 228791, 780, 3, 6, 5, 369341781, -283544748, 14389046, 
2, 99136, 125121, 780, 5, 4, 5, 1699560255, 1618486787, 12334379, 
3, 44982, 89440, 780, 2, 2, 5, 494485242, 877932422, 7224841, 
4, 10154, 39220, 780, 4, 5, 5, 109231939, 246436005, 13303187, 
5, 51273, 163107, 780, 5, 13, 5, 604530072, 1208705796, 9098869, 
6, 37604, 187667, 780, 5, 9, 5, 370159264, 1198884401, 10547176, 
7, 19554, 59329, 780, 3, 3, 5, 137695947, 259585717, 8668010, 
8, 13724, 53866, 780, 1, 3, 5, 62145981, 163574202, 8820374, 
9, 92807, 197591, 780, 3, 11, 5, 1060676245, 841014575, 6008734, 
10, 67449, 49065, 780, 3, 2, 5, 229897800, 129295571, 7795625, 
11, 33948, 111069, 780, 6, 9, 5, 82286046, 326421738, 7096848, 
12, 99939, 78097, 780, 5, 3, 5, 648500629, 154780261, 5592492, 
13, 2447, 76202, 780, 2, 3, 5, 12864032, 124626788, 9899362, 
14, 99726, 160366, 780, 4, 8, 5, 724370658, 460685980, 9235494, 
15, 98620, 63884, 780, 5, 5, 5, 291973316, 52160715, 5793479, 
16, 92783, 84603, 780, 5, 3, 5, 521867627, 78166576, 12511058, 
17, 66626, 144192, 780, 4, 6, 5, 418934460, 311186603, 3509804, 
18, 61190, 85226, 780, 2, 4, 5, 430095236, 245288091, 9108350, 
19, 24759, 24858, 780, 1, 4, 5, 159810577, 13586781, 6295955, 
20, 55093, 176518, 780, 3, 7, 5, 121317815, 453134941, 9598692, 
21, 79437, 35669, 780, 5, 2, 5, 308244328, 53904837, 4174940, 
22, 75735, 83392, 780, 4, 4, 5, 276885884, 85004720, 8013797, 
23, 120960, 102378, 780, 8, 5, 5, 308806065, 84284624, 13239435, 
24, 78483, 130214, 780, 4, 7, 5, 437328496, 187515943, 3415261, 
25, 71015, 578, 780, 4, 1, 5, 70608327, 519337, 13311237, 
26, 130050, 55790, 780, 9, 5, 5, 288024089, 88401450, 8650406, 
27, 100939, 96802, 780, 9, 7, 5, 98171114, 122639970, 2630771, 
28, 86935, 148894, 780, 8, 13, 5, 192670447, 160296097, 955441, 
29, 21229, 59957, 780, 3, 2, 5, 9140532, 42279454, 1249601, 
30, 58305, 19688, 780, 3, 3, 5, 49909215, 12670432, 5071822, 
31, 5603, 91184, 780, 2, 4, 5, 19009348, 153379663, 9405619, 
32, 46062, 115550, 780, 2, 4, 5, 158804496, 243171582, 9455390, 
33, 58215, 88588, 780, 6, 9, 5, 56000602, 59065486, 5800085, 
34, 16506, 38627, 780, 3, 2, 5, 8434632, 14714886, 2344857, 
35, 0, 135991, 780, 0, 6, 5, 0, 94364042, 6682744, 
36, 155849, 46830, 780, 5, 3, 5, 918822167, 53041515, 11775828, 
37, 115174, 101099, 780, 7, 6, 5, 194863571, 93642824, 7719535, 
38, 21733, 48343, 780, 3, 4, 5, 17010972, 65112909, 4846694, 
39, 106079, 75009, 780, 5, 5, 5, 99093884, 85535709, 11211206, 
40, 71893, 129408, 780, 4, 6, 5, 116825857, 120024292, 4586108, 
41, 44248, 148823, 780, 3, 10, 5, 54050556, 242368433, 3813134, 
42, 84450, 131232, 780, 2, 6, 5, 985298199, 134548470, 8659883, 
43, 229927, 72991, 780, 8, 9, 5, 341210589, 65606960, 9048257, 
44, 94988, 147759, 780, 6, 9, 5, 145441268, 101487605, 3812125, 
45, 69375, 147228, 780, 9, 8, 5, 67779758, 196977899, 8036268, 
46, 14701, 120507, 780, 2, 7, 5, 17874213, 47895473, 9663374, 
47, 81110, 108797, 780, 4, 6, 5, 84712687, 77109989, 2067779, 
48, 107417, 149940, 780, 13, 10, 5, 171811722, 73364056, 6756250, 
49, 21825, 34332, 780, 3, 1, 5, 3112696, 11074901, 9629893, 
50, 19006, 137269, 780, 4, 6, 5, 6490471, 88687882, 9178385, 
51, 25414, 72196, 780, 3, 5, 5, 24436244, 19453375, 8039950, 
