Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1533.5, 18275.9, 0, 4, 126.3, 
1, -716.8, 1623.3, 16286.6, 655.3, 0.66, 1126.5, 
2, -398.2, 1717.8, 14785.3, 423.3, 0.6, 1739.4, 
3, -414.8, 1854.3, 14274.3, 490.8, 0.52, 1993.4, 
4, -365, 1997.5, 14012.2, 468.8, 0.44, 2149.5, 
5, -366.8, 2141.4, 13687.9, 478.7, 0.4, 2322.2, 
6, -353.7, 2291.2, 13762.9, 487, 0.39, 2372.4, 
7, -310.2, 2433.9, 13578.9, 451, 0.41, 2484.8, 
8, -240.6, 2587.8, 13262.6, 425.9, 0.41, 2572.8, 
9, -240.3, 2734.4, 13310.5, 425.6, 0.4, 2581.4, 
10, -235.3, 2887.9, 12564.4, 452.7, 0.43, 2766.5, 
11, -172.2, 3049.8, 12569.3, 428.5, 0.41, 2720.6, 
12, -189.8, 3191, 12414, 423.8, 0.43, 2744.8, 
13, -163, 3323.6, 12579.3, 407.8, 0.4, 2677.9, 
14, -210.7, 3451.1, 12710.3, 452.9, 0.43, 2650.1, 
15, -195.6, 3563, 12537, 425.6, 0.44, 2697.4, 
16, -166, 3688.2, 12409.1, 444.3, 0.46, 2716.6, 
17, -179.9, 3805.1, 12259.4, 454.4, 0.46, 2748.1, 
18, -149.6, 3925.8, 12378.1, 460.8, 0.46, 2686.6, 
19, -197.2, 4022.4, 12565.6, 442.1, 0.47, 2663.6, 
20, -181.9, 4114.5, 12598.3, 443.6, 0.46, 2662.5, 
21, -154, 4195.3, 12617.2, 359.3, 0.52, 2690.7, 
22, -176.8, 4295.8, 12725.3, 458.1, 0.51, 2685.3, 
23, -138.7, 4388.8, 12758.5, 423.4, 0.53, 2683.1, 
24, -91.7, 4477, 12854.7, 386.1, 0.54, 2644.1, 
25, -164.1, 4561.8, 13057.7, 467.7, 0.55, 2607.6, 
26, -200, 4647.4, 13334.3, 517.9, 0.58, 2574.6, 
27, -203.6, 4723.8, 13435.3, 496.2, 0.58, 2601.4, 
28, -173.1, 4804.3, 13498, 491, 0.62, 2617.7, 
29, -133.8, 4879.2, 13551.4, 444.8, 0.65, 2622.6, 
30, -145, 4950.5, 13543.3, 428.5, 0.66, 2646.6, 
31, -152.9, 5024.4, 13640.5, 459.5, 0.69, 2655.3, 
32, -157.1, 5097.5, 13667.3, 493.7, 0.7, 2681.2, 
33, -162.7, 5164.5, 13736, 441.6, 0.75, 2706.5, 
34, -162.7, 5242.6, 13859.8, 518.6, 0.79, 2707.1, 
35, -198.2, 5312.1, 13878.7, 497, 0.85, 2749.8, 
36, -164, 5387.9, 13725.7, 503, 0.87, 2827.4, 
37, -163.2, 5458, 13844.5, 484.3, 0.88, 2829, 
38, -136.2, 5531.3, 13998.5, 514.2, 0.91, 2799.9, 
39, -158, 5599.3, 14208.4, 540, 0.9, 2770.1, 
40, -158.7, 5658.6, 14258.5, 479.4, 0.92, 2786, 
41, -141.1, 5718.9, 14176, 437.5, 0.93, 2850.7, 
42, -157.8, 5788.6, 14182.5, 508.7, 0.93, 2890.1, 
43, -184.5, 5857.8, 14206.5, 527.1, 1.04, 2936, 
44, -98.5, 5929.2, 14174, 491, 1.09, 2937.9, 
45, -129.5, 5992.8, 14268.8, 501.3, 1.14, 2923.9, 
46, -137, 6050.6, 14288.7, 457.7, 1.2, 2950.3, 
47, -107.7, 6115, 14361.9, 517.2, 1.15, 2936.7, 
48, -89.6, 6174.3, 14414, 520.1, 1.23, 2913.1, 
49, -28, 6222.7, 14348.6, 491.8, 1.3, 2886.7, 
50, -84.9, 6269.2, 14310.4, 475.3, 1.32, 2888, 
51, -100.6, 6309.7, 14418.5, 467.7, 1.36, 2870.9, 
